Date,Talento y Compromiso
1950-01,11
1950-02,3
1950-03,2
1950-04,2
1950-05,6
1950-06,5
1950-07,1
1950-08,3
1950-09,3
1950-10,4
1950-11,4
1950-12,10
1951-01,12
1951-02,5
1951-03,4
1951-04,7
1951-05,10
1951-06,9
1951-07,4
1951-08,2
1951-09,4
1951-10,5
1951-11,7
1951-12,14
1952-01,10
1952-02,3
1952-03,5
1952-04,3
1952-05,3
1952-06,0
1952-07,1
1952-08,2
1952-09,5
1952-10,6
1952-11,7
1952-12,15
1953-01,10
1953-02,4
1953-03,6
1953-04,5
1953-05,8
1953-06,9
1953-07,2
1953-08,0
1953-09,4
1953-10,5
1953-11,8
1953-12,16
1954-01,13
1954-02,8
1954-03,7
1954-04,4
1954-05,4
1954-06,4
1954-07,2
1954-08,5
1954-09,4
1954-10,2
1954-11,7
1954-12,14
1955-01,9
1955-02,3
1955-03,1
1955-04,1
1955-05,5
1955-06,4
1955-07,4
1955-08,8
1955-09,5
1955-10,3
1955-11,7
1955-12,10
1956-01,6
1956-02,4
1956-03,5
1956-04,3
1956-05,3
1956-06,4
1956-07,3
1956-08,0
1956-09,1
1956-10,3
1956-11,5
1956-12,6
1957-01,5
1957-02,5
1957-03,5
1957-04,5
1957-05,3
1957-06,5
1957-07,11
1957-08,7
1957-09,6
1957-10,5
1957-11,5
1957-12,15
1958-01,7
1958-02,3
1958-03,2
1958-04,3
1958-05,5
1958-06,6
1958-07,5
1958-08,7
1958-09,6
1958-10,3
1958-11,4
1958-12,14
1959-01,12
1959-02,4
1959-03,4
1959-04,2
1959-05,3
1959-06,4
1959-07,3
1959-08,2
1959-09,6
1959-10,7
1959-11,6
1959-12,13
1960-01,9
1960-02,6
1960-03,7
1960-04,3
1960-05,7
1960-06,9
1960-07,3
1960-08,5
1960-09,8
1960-10,6
1960-11,8
1960-12,14
1961-01,12
1961-02,7
1961-03,7
1961-04,10
1961-05,10
1961-06,13
1961-07,9
1961-08,2
1961-09,9
1961-10,7
1961-11,1
1961-12,10
1962-01,9
1962-02,5
1962-03,7
1962-04,3
1962-05,4
1962-06,9
1962-07,5
1962-08,5
1962-09,6
1962-10,3
1962-11,5
1962-12,16
1963-01,13
1963-02,9
1963-03,11
1963-04,10
1963-05,10
1963-06,9
1963-07,6
1963-08,8
1963-09,8
1963-10,3
1963-11,5
1963-12,23
1964-01,18
1964-02,4
1964-03,3
1964-04,2
1964-05,5
1964-06,9
1964-07,8
1964-08,5
1964-09,8
1964-10,5
1964-11,5
1964-12,25
1965-01,18
1965-02,3
1965-03,9
1965-04,6
1965-05,1
1965-06,2
1965-07,2
1965-08,2
1965-09,2
1965-10,2
1965-11,4
1965-12,25
1966-01,24
1966-02,7
1966-03,6
1966-04,6
1966-05,5
1966-06,17
1966-07,15
1966-08,10
1966-09,18
1966-10,9
1966-11,13
1966-12,37
1967-01,31
1967-02,14
1967-03,13
1967-04,17
1967-05,13
1967-06,6
1967-07,10
1967-08,11
1967-09,8
1967-10,12
1967-11,15
1967-12,35
1968-01,38
1968-02,16
1968-03,12
1968-04,11
1968-05,11
1968-06,11
1968-07,13
1968-08,13
1968-09,9
1968-10,12
1968-11,14
1968-12,27
1969-01,31
1969-02,17
1969-03,8
1969-04,12
1969-05,13
1969-06,7
1969-07,16
1969-08,23
1969-09,17
1969-10,17
1969-11,15
1969-12,126
1970-01,113
1970-02,21
1970-03,23
1970-04,14
1970-05,17
1970-06,24
1970-07,22
1970-08,16
1970-09,18
1970-10,15
1970-11,14
1970-12,25
1971-01,21
1971-02,21
1971-03,23
1971-04,16
1971-05,16
1971-06,16
1971-07,14
1971-08,16
1971-09,18
1971-10,14
1971-11,13
1971-12,29
1972-01,42
1972-02,24
1972-03,22
1972-04,22
1972-05,22
1972-06,23
1972-07,30
1972-08,27
1972-09,15
1972-10,17
1972-11,25
1972-12,56
1973-01,52
1973-02,31
1973-03,33
1973-04,23
1973-05,23
1973-06,26
1973-07,22
1973-08,23
1973-09,29
1973-10,27
1973-11,25
1973-12,47
1974-01,38
1974-02,24
1974-03,30
1974-04,24
1974-05,20
1974-06,24
1974-07,27
1974-08,26
1974-09,26
1974-10,21
1974-11,21
1974-12,55
1975-01,46
1975-02,21
1975-03,33
1975-04,30
1975-05,32
1975-06,31
1975-07,29
1975-08,35
1975-09,34
1975-10,30
1975-11,40
1975-12,77
1976-01,57
1976-02,22
1976-03,47
1976-04,39
1976-05,22
1976-06,30
1976-07,34
1976-08,34
1976-09,29
1976-10,26
1976-11,31
1976-12,87
1977-01,79
1977-02,32
1977-03,31
1977-04,28
1977-05,41
1977-06,38
1977-07,29
1977-08,30
1977-09,26
1977-10,19
1977-11,35
1977-12,83
1978-01,67
1978-02,27
1978-03,30
1978-04,25
1978-05,28
1978-06,32
1978-07,36
1978-08,41
1978-09,38
1978-10,29
1978-11,44
1978-12,133
1979-01,92
1979-02,55
1979-03,54
1979-04,37
1979-05,35
1979-06,41
1979-07,38
1979-08,41
1979-09,43
1979-10,32
1979-11,32
1979-12,99
1980-01,88
1980-02,46
1980-03,53
1980-04,38
1980-05,42
1980-06,41
1980-07,37
1980-08,44
1980-09,48
1980-10,27
1980-11,31
1980-12,95
1981-01,74
1981-02,59
1981-03,65
1981-04,43
1981-05,50
1981-06,69
1981-07,39
1981-08,50
1981-09,58
1981-10,37
1981-11,35
1981-12,141
1982-01,127
1982-02,52
1982-03,54
1982-04,43
1982-05,42
1982-06,33
1982-07,31
1982-08,42
1982-09,53
1982-10,44
1982-11,49
1982-12,213
1983-01,182
1983-02,54
1983-03,56
1983-04,45
1983-05,53
1983-06,55
1983-07,46
1983-08,64
1983-09,81
1983-10,55
1983-11,33
1983-12,111
1984-01,107
1984-02,37
1984-03,48
1984-04,54
1984-05,61
1984-06,46
1984-07,34
1984-08,47
1984-09,56
1984-10,38
1984-11,48
1984-12,134
1985-01,109
1985-02,49
1985-03,59
1985-04,48
1985-05,44
1985-06,52
1985-07,40
1985-08,49
1985-09,64
1985-10,68
1985-11,55
1985-12,133
1986-01,124
1986-02,40
1986-03,46
1986-04,65
1986-05,58
1986-06,66
1986-07,43
1986-08,56
1986-09,60
1986-10,42
1986-11,52
1986-12,167
1987-01,154
1987-02,60
1987-03,75
1987-04,55
1987-05,48
1987-06,68
1987-07,65
1987-08,51
1987-09,0
1987-10,46
1987-11,63
1987-12,186
1988-01,179
1988-02,79
1988-03,84
1988-04,51
1988-05,62
1988-06,82
1988-07,48
1988-08,93
1988-09,81
1988-10,53
1988-11,75
1988-12,255
1989-01,184
1989-02,97
1989-03,99
1989-04,68
1989-05,87
1989-06,77
1989-07,64
1989-08,106
1989-09,83
1989-10,64
1989-11,59
1989-12,201
1990-01,250
1990-02,111
1990-03,89
1990-04,62
1990-05,117
1990-06,117
1990-07,59
1990-08,88
1990-09,100
1990-10,73
1990-11,77
1990-12,210
1991-01,191
1991-02,100
1991-03,132
1991-04,95
1991-05,79
1991-06,83
1991-07,52
1991-08,88
1991-09,97
1991-10,49
1991-11,85
1991-12,305
1992-01,198
1992-02,145
1992-03,166
1992-04,86
1992-05,107
1992-06,110
1992-07,52
1992-08,91
1992-09,106
1992-10,49
1992-11,102
1992-12,271
1993-01,227
1993-02,109
1993-03,126
1993-04,101
1993-05,97
1993-06,91
1993-07,79
1993-08,114
1993-09,117
1993-10,68
1993-11,139
1993-12,292
1994-01,260
1994-02,125
1994-03,123
1994-04,66
1994-05,102
1994-06,120
1994-07,73
1994-08,103
1994-09,116
1994-10,90
1994-11,98
1994-12,322
1995-01,269
1995-02,120
1995-03,143
1995-04,100
1995-05,123
1995-06,125
1995-07,83
1995-08,135
1995-09,143
1995-10,68
1995-11,135
1995-12,408
1996-01,368
1996-02,130
1996-03,150
1996-04,116
1996-05,132
1996-06,140
1996-07,94
1996-08,131
1996-09,141
1996-10,75
1996-11,110
1996-12,422
1997-01,392
1997-02,97
1997-03,134
1997-04,102
1997-05,120
1997-06,112
1997-07,78
1997-08,93
1997-09,101
1997-10,115
1997-11,90
1997-12,466
1998-01,427
1998-02,118
1998-03,148
1998-04,108
1998-05,113
1998-06,134
1998-07,110
1998-08,115
1998-09,122
1998-10,84
1998-11,125
1998-12,525
1999-01,449
1999-02,130
1999-03,155
1999-04,107
1999-05,130
1999-06,165
1999-07,105
1999-08,129
1999-09,158
1999-10,109
1999-11,131
1999-12,646
2000-01,606
2000-02,193
2000-03,149
2000-04,116
2000-05,137
2000-06,155
2000-07,137
2000-08,168
2000-09,179
2000-10,110
2000-11,143
2000-12,539
2001-01,485
2001-02,179
2001-03,180
2001-04,119
2001-05,168
2001-06,171
2001-07,127
2001-08,196
2001-09,224
2001-10,100
2001-11,134
2001-12,813
2002-01,688
2002-02,172
2002-03,206
2002-04,183
2002-05,210
2002-06,200
2002-07,125
2002-08,175
2002-09,192
2002-10,138
2002-11,155
2002-12,786
2003-01,679
2003-02,185
2003-03,192
2003-04,134
2003-05,181
2003-06,194
2003-07,151
2003-08,179
2003-09,177
2003-10,143
2003-11,186
2003-12,717
2004-01,668
2004-02,215
2004-03,248
2004-04,186
2004-05,197
2004-06,265
2004-07,206
2004-08,259
2004-09,226
2004-10,175
2004-11,233
2004-12,873
2005-01,813
2005-02,229
2005-03,227
2005-04,240
2005-05,215
2005-06,236
2005-07,207
2005-08,242
2005-09,247
2005-10,191
2005-11,217
2005-12,1014
2006-01,982
2006-02,254
2006-03,297
2006-04,241
2006-05,267
2006-06,273
2006-07,220
