Year,Benchmarking
1950-01,6.28E-10
1951-01,9.55E-11
1952-01,1.88E-10
1953-01,1.82E-09
1954-01,3.01E-09
1955-01,7.17E-10
1956-01,0.00E+00
1957-01,2.43E-10
1958-01,1.68E-08
1959-01,4.61E-10
1960-01,1.88E-09
1961-01,8.78E-09
1962-01,1.33E-09
1963-01,4.48E-10
1964-01,1.24E-08
1965-01,1.36E-09
1966-01,3.35E-09
1967-01,1.36E-08
1968-01,7.76E-09
1969-01,1.36E-09
1970-01,2.17E-09
1971-01,5.05E-09
1972-01,4.30E-09
1973-01,6.55E-09
1974-01,2.55E-08
1975-01,1.79E-08
1976-01,2.43E-08
1977-01,3.06E-08
1978-01,4.34E-08
1979-01,2.48E-08
1980-01,2.79E-08
1981-01,3.70E-08
1982-01,5.05E-08
1983-01,9.88E-08
1984-01,1.14E-07
1985-01,9.48E-08
1986-01,8.00E-08
1987-01,9.38E-08
1988-01,1.12E-07
1989-01,1.05E-07
1990-01,1.08E-07
1991-01,1.78E-07
1992-01,2.30E-07
1993-01,3.67E-07
1994-01,5.12E-07
1995-01,5.32E-07
1996-01,6.03E-07
1997-01,5.53E-07
1998-01,5.91E-07
1999-01,4.99E-07
2000-01,5.93E-07
2001-01,6.76E-07
2002-01,6.06E-07
2003-01,5.29E-07
2004-01,6.14E-07
2005-01,6.08E-07
2006-01,6.43E-07
2007-01,6.34E-07
2008-01,6.35E-07
2009-01,6.58E-07
2010-01,6.30E-07
2011-01,5.26E-07
2012-01,5.99E-07
2013-01,5.54E-07
2014-01,5.69E-07
2015-01,5.30E-07
2016-01,5.85E-07
2017-01,5.82E-07
2018-01,5.64E-07
2019-01,4.99E-07
2020-01,4.57E-07
2021-01,4.77E-07
2022-01,4.82E-07
