Year,Calidad Total
1950-01,0
1951-01,0
1952-01,0
1953-01,0
1954-01,1
1955-01,0
1956-01,0
1957-01,0
1958-01,2
1959-01,1
1960-01,0
1961-01,0
1962-01,2
1963-01,1
1964-01,1
1965-01,0
1966-01,0
1967-01,1
1968-01,1
1969-01,0
1970-01,0
1971-01,1
1972-01,1
1973-01,1
1974-01,0
1975-01,0
1976-01,1
1977-01,1
1978-01,1
1979-01,0
1980-01,1
1981-01,1
1982-01,1
1983-01,1
1984-01,2
1985-01,2
1986-01,2
1987-01,4
1988-01,6
1989-01,16
1990-01,36
1991-01,60
1992-01,90
1993-01,95
1994-01,100
1995-01,79
1996-01,73
1997-01,56
1998-01,44
1999-01,40
2000-01,35
2001-01,33
2002-01,33
2003-01,27
2004-01,24
2005-01,32
2006-01,27
2007-01,24
2008-01,23
2009-01,24
2010-01,24
2011-01,20
2012-01,29
2013-01,25
2014-01,20
2015-01,19
2016-01,19
2017-01,23
2018-01,22
2019-01,21
2020-01,18
2021-01,14
2022-01,14
