Year,Gestión de Costos
1950-01,0
1951-01,0
1952-01,0
1953-01,0
1954-01,0
1955-01,0
1956-01,0
1957-01,0
1958-01,1
1959-01,0
1960-01,1
1961-01,0
1962-01,0
1963-01,0
1964-01,0
1965-01,0
1966-01,0
1967-01,0
1968-01,0
1969-01,1
1970-01,0
1971-01,0
1972-01,0
1973-01,2
1974-01,0
1975-01,0
1976-01,0
1977-01,3
1978-01,0
1979-01,0
1980-01,1
1981-01,0
1982-01,2
1983-01,1
1984-01,0
1985-01,2
1986-01,1
1987-01,1
1988-01,1
1989-01,3
1990-01,8
1991-01,14
1992-01,23
1993-01,45
1994-01,76
1995-01,94
1996-01,80
1997-01,71
1998-01,78
1999-01,81
2000-01,82
2001-01,62
2002-01,59
2003-01,67
2004-01,98
2005-01,100
2006-01,91
2007-01,81
2008-01,80
2009-01,69
2010-01,94
2011-01,55
2012-01,58
2013-01,59
2014-01,53
2015-01,27
2016-01,31
2017-01,31
2018-01,61
2019-01,42
2020-01,28
2021-01,36
2022-01,20
