Year,Gestión de la Cadena de Suministro
1950-01,0
1951-01,0
1952-01,0
1953-01,0
1954-01,1
1955-01,0
1956-01,0
1957-01,0
1958-01,0
1959-01,0
1960-01,0
1961-01,0
1962-01,0
1963-01,0
1964-01,0
1965-01,0
1966-01,0
1967-01,0
1968-01,0
1969-01,0
1970-01,0
1971-01,0
1972-01,0
1973-01,0
1974-01,0
1975-01,0
1976-01,0
1977-01,1
1978-01,0
1979-01,0
1980-01,0
1981-01,0
1982-01,0
1983-01,0
1984-01,0
1985-01,0
1986-01,1
1987-01,1
1988-01,0
1989-01,0
1990-01,1
1991-01,1
1992-01,1
1993-01,2
1994-01,4
1995-01,6
1996-01,7
1997-01,11
1998-01,20
1999-01,26
2000-01,33
2001-01,48
2002-01,52
2003-01,53
2004-01,61
2005-01,67
2006-01,82
2007-01,86
2008-01,81
2009-01,86
2010-01,99
2011-01,79
2012-01,75
2013-01,68
2014-01,71
2015-01,71
2016-01,78
2017-01,75
2018-01,80
2019-01,97
2020-01,75
2021-01,97
2022-01,100
