Year,Outsourcing
 1950-01,9.34E-11
 1951-01,1.11E-09
 1952-01,3.95E-10
 1953-01,1.20E-08
 1954-01,2.66E-09
 1955-01,8.49E-10
 1956-01,0
 1957-01,5.04E-10
 1958-01,1.14E-08
 1959-01,1.61E-10
 1960-01,1.22E-09
 1961-01,2.21E-09
 1962-01,7.64E-10
 1963-01,4.00E-10
 1964-01,2.10E-09
 1965-01,3.20E-09
 1966-01,1.74E-09
 1967-01,2.59E-09
 1968-01,2.87E-09
 1969-01,2.54E-09
 1970-01,1.85E-08
 1971-01,6.70E-09
 1972-01,3.83E-09
 1973-01,2.14E-09
 1974-01,7.02E-09
 1975-01,2.93E-09
 1976-01,6.93E-10
 1977-01,4.62E-09
 1978-01,4.96E-09
 1979-01,7.62E-09
 1980-01,4.98E-09
 1981-01,2.86E-09
 1982-01,1.27E-08
 1983-01,1.44E-08
 1984-01,9.92E-07
 1985-01,6.90E-07
 1986-01,2.08E-06
 1987-01,2.72E-06
 1988-01,4.59E-06
 1989-01,6.27E-06
 1990-01,3.70E-06
 1991-01,9.66E-06
 1992-01,1.21E-05
 1993-01,1.48E-05
 1994-01,2.13E-05
 1995-01,2.85E-05
 1996-01,4.32E-05
 1997-01,5.72E-05
 1998-01,6.62E-05
 1999-01,6.36E-05
 2000-01,5.99E-05
 2001-01,7.79E-05
 2002-01,7.81E-05
 2003-01,7.75E-05
 2004-01,1.05E-04
 2005-01,1.25E-04
 2006-01,1.41E-04
 2007-01,1.43E-04
 2008-01,1.30E-04
 2009-01,1.08E-04
 2010-01,9.25E-05
 2011-01,7.71E-05
 2012-01,7.22E-05
 2013-01,6.90E-05
 2014-01,6.41E-05
 2015-01,7.12E-05
 2016-01,8.40E-05
 2017-01,5.92E-05
 2018-01,4.98E-05
 2019-01,4.61E-05
 2020-01,4.63E-05
 2021-01,5.25E-05
 2022-01,4.73E-05
