Year,Outsourcing
1950-01,0
1951-01,0
1952-01,0
1953-01,1
1954-01,0
1955-01,0
1956-01,0
1957-01,0
1958-01,0
1959-01,0
1960-01,0
1961-01,0
1962-01,0
1963-01,0
1964-01,0
1965-01,0
1966-01,0
1967-01,0
1968-01,0
1969-01,0
1970-01,1
1971-01,0
1972-01,0
1973-01,0
1974-01,1
1975-01,0
1976-01,0
1977-01,0
1978-01,0
1979-01,0
1980-01,0
1981-01,0
1982-01,4
1983-01,1
1984-01,1
1985-01,0
1986-01,1
1987-01,2
1988-01,2
1989-01,4
1990-01,3
1991-01,6
1992-01,8
1993-01,11
1994-01,15
1995-01,20
1996-01,31
1997-01,40
1998-01,47
1999-01,47
2000-01,44
2001-01,55
2002-01,56
2003-01,55
2004-01,78
2005-01,87
2006-01,100
2007-01,100
2008-01,89
2009-01,76
2010-01,65
2011-01,56
2012-01,56
2013-01,51
2014-01,50
2015-01,52
2016-01,62
2017-01,44
2018-01,37
2019-01,34
2020-01,34
2021-01,39
2022-01,35
