Year,Planificación de Escenarios
1950-01,0
1951-01,2
1952-01,0
1953-01,0
1954-01,1
1955-01,0
1956-01,0
1957-01,1
1958-01,1
1959-01,0
1960-01,0
1961-01,3
1962-01,2
1963-01,1
1964-01,2
1965-01,3
1966-01,4
1967-01,16
1968-01,7
1969-01,7
1970-01,6
1971-01,10
1972-01,16
1973-01,26
1974-01,23
1975-01,29
1976-01,39
1977-01,40
1978-01,41
1979-01,45
1980-01,52
1981-01,88
1982-01,67
1983-01,56
1984-01,65
1985-01,59
1986-01,49
1987-01,55
1988-01,53
1989-01,55
1990-01,65
1991-01,60
1992-01,52
1993-01,42
1994-01,38
1995-01,42
1996-01,45
1997-01,46
1998-01,60
1999-01,100
2000-01,49
2001-01,56
2002-01,57
2003-01,58
2004-01,47
2005-01,54
2006-01,56
2007-01,67
2008-01,66
2009-01,65
2010-01,71
2011-01,74
2012-01,66
2013-01,62
2014-01,50
2015-01,65
2016-01,67
2017-01,63
2018-01,56
2019-01,56
2020-01,48
2021-01,62
2022-01,49
