Year,Project Management
 1950-01,4.43E-09
 1951-01,4.04E-09
 1952-01,4.28E-09
 1953-01,5.33E-09
 1954-01,8.27E-09
 1955-01,4.88E-09
 1956-01,6.09E-09
 1957-01,1.03E-08
 1958-01,3.31E-08
 1959-01,2.66E-08
 1960-01,3.10E-08
 1961-01,3.80E-08
 1962-01,3.84E-08
 1963-01,4.33E-08
 1964-01,6.98E-08
 1965-01,6.03E-08
 1966-01,7.81E-08
 1967-01,1.49E-07
 1968-01,1.03E-07
 1969-01,1.49E-07
 1970-01,1.60E-07
 1971-01,1.73E-07
 1972-01,2.07E-07
 1973-01,2.38E-07
 1974-01,2.32E-07
 1975-01,2.61E-07
 1976-01,3.30E-07
 1977-01,3.51E-07
 1978-01,3.99E-07
 1979-01,4.68E-07
 1980-01,5.76E-07
 1981-01,5.68E-07
 1982-01,4.63E-07
 1983-01,5.91E-07
 1984-01,7.07E-07
 1985-01,5.60E-07
 1986-01,7.10E-07
 1987-01,5.70E-07
 1988-01,7.60E-07
 1989-01,5.87E-07
 1990-01,6.25E-07
 1991-01,5.99E-07
 1992-01,6.64E-07
 1993-01,5.49E-07
 1994-01,7.69E-07
 1995-01,7.49E-07
 1996-01,8.01E-07
 1997-01,8.20E-07
 1998-01,8.89E-07
 1999-01,8.73E-07
 2000-01,1.03E-06
 2001-01,1.01E-06
 2002-01,1.13E-06
 2003-01,1.08E-06
 2004-01,1.14E-06
 2005-01,1.17E-06
 2006-01,1.19E-06
 2007-01,1.19E-06
 2008-01,1.09E-06
 2009-01,1.21E-06
 2010-01,1.41E-06
 2011-01,1.26E-06
 2012-01,9.88E-07
 2013-01,1.47E-06
 2014-01,1.02E-06
 2015-01,1.02E-06
 2016-01,1.31E-06
 2017-01,1.19E-06
 2018-01,1.28E-06
 2019-01,1.00E-06
 2020-01,8.58E-07
 2021-01,8.15E-07
 2022-01,8.80E-07
