Year,Reingeniería de Procesos
1950-01,0
1951-01,0
1952-01,0
1953-01,0
1954-01,0
1955-01,0
1956-01,0
1957-01,0
1958-01,2
1959-01,0
1960-01,0
1961-01,0
1962-01,0
1963-01,0
1964-01,0
1965-01,0
1966-01,0
1967-01,0
1968-01,1
1969-01,0
1970-01,0
1971-01,1
1972-01,1
1973-01,1
1974-01,0
1975-01,0
1976-01,0
1977-01,1
1978-01,0
1979-01,0
1980-01,0
1981-01,0
1982-01,0
1983-01,0
1984-01,0
1985-01,0
1986-01,1
1987-01,1
1988-01,1
1989-01,1
1990-01,2
1991-01,4
1992-01,8
1993-01,23
1994-01,58
1995-01,88
1996-01,100
1997-01,74
1998-01,64
1999-01,56
2000-01,45
2001-01,43
2002-01,40
2003-01,40
2004-01,34
2005-01,34
2006-01,35
2007-01,30
2008-01,30
2009-01,30
2010-01,31
2011-01,28
2012-01,34
2013-01,26
2014-01,22
2015-01,18
2016-01,21
2017-01,18
2018-01,18
2019-01,18
2020-01,12
2021-01,15
2022-01,11
