Year,Segmentación de Clientes
1950-01,0
1951-01,1
1952-01,0
1953-01,0
1954-01,2
1955-01,0
1956-01,0
1957-01,0
1958-01,1
1959-01,1
1960-01,1
1961-01,2
1962-01,1
1963-01,2
1964-01,5
1965-01,3
1966-01,5
1967-01,7
1968-01,9
1969-01,8
1970-01,11
1971-01,10
1972-01,18
1973-01,16
1974-01,23
1975-01,20
1976-01,25
1977-01,28
1978-01,36
1979-01,35
1980-01,30
1981-01,32
1982-01,31
1983-01,34
1984-01,32
1985-01,32
1986-01,39
1987-01,39
1988-01,39
1989-01,34
1990-01,31
1991-01,100
1992-01,34
1993-01,46
1994-01,31
1995-01,30
1996-01,33
1997-01,24
1998-01,41
1999-01,42
2000-01,28
2001-01,51
2002-01,28
2003-01,24
2004-01,29
2005-01,26
2006-01,28
2007-01,29
2008-01,36
2009-01,33
2010-01,32
2011-01,36
2012-01,33
2013-01,29
2014-01,30
2015-01,27
2016-01,28
2017-01,28
2018-01,27
2019-01,26
2020-01,21
2021-01,25
2022-01,24
