Year,Talento y Compromiso
1950-01,0
1951-01,0
1952-01,0
1953-01,0
1954-01,0
1955-01,0
1956-01,0
1957-01,0
1958-01,0
1959-01,0
1960-01,0
1961-01,0
1962-01,0
1963-01,0
1964-01,0
1965-01,0
1966-01,0
1967-01,0
1968-01,0
1969-01,0
1970-01,0
1971-01,0
1972-01,0
1973-01,0
1974-01,0
1975-01,0
1976-01,0
1977-01,0
1978-01,0
1979-01,0
1980-01,0
1981-01,0
1982-01,0
1983-01,0
1984-01,0
1985-01,1
1986-01,0
1987-01,0
1988-01,0
1989-01,0
1990-01,0
1991-01,7
1992-01,0
1993-01,3
1994-01,0
1995-01,1
1996-01,1
1997-01,0
1998-01,1
1999-01,1
2000-01,1
2001-01,1
2002-01,2
2003-01,5
2004-01,4
2005-01,8
2006-01,8
2007-01,23
2008-01,20
2009-01,28
2010-01,30
2011-01,41
2012-01,41
2013-01,52
2014-01,57
2015-01,74
2016-01,73
2017-01,79
2018-01,66
2019-01,100
2020-01,55
2021-01,85
2022-01,77
