Month,Benchmarking
2004-01,86
2004-02,95
2004-03,100
2004-04,97
2004-05,95
2004-06,98
2004-07,83
2004-08,76
2004-09,86
2004-10,87
2004-11,90
2004-12,70
2005-01,72
2005-02,83
2005-03,75
2005-04,78
2005-05,84
2005-06,70
2005-07,65
2005-08,62
2005-09,68
2005-10,71
2005-11,74
2005-12,55
2006-01,61
2006-02,60
2006-03,66
2006-04,60
2006-05,65
2006-06,54
2006-07,50
2006-08,51
2006-09,56
2006-10,58
2006-11,58
2006-12,40
2007-01,49
2007-02,50
2007-03,51
2007-04,51
2007-05,54
2007-06,49
2007-07,41
2007-08,43
2007-09,40
2007-10,45
2007-11,50
2007-12,36
2008-01,41
2008-02,45
2008-03,43
2008-04,45
2008-05,44
2008-06,40
2008-07,35
2008-08,35
2008-09,39
2008-10,40
2008-11,41
2008-12,35
2009-01,35
2009-02,35
2009-03,38
2009-04,38
2009-05,42
2009-06,38
2009-07,30
2009-08,32
2009-09,37
2009-10,40
2009-11,45
2009-12,33
2010-01,30
2010-02,38
2010-03,41
2010-04,43
2010-05,44
2010-06,37
2010-07,28
2010-08,27
2010-09,35
2010-10,40
2010-11,39
2010-12,26
2011-01,31
2011-02,33
2011-03,36
2011-04,34
2011-05,40
2011-06,35
2011-07,27
2011-08,27
2011-09,34
2011-10,35
2011-11,39
2011-12,27
2012-01,29
2012-02,30
2012-03,33
2012-04,32
2012-05,36
2012-06,31
2012-07,26
2012-08,26
2012-09,31
2012-10,32
2012-11,32
2012-12,24
2013-01,25
2013-02,29
2013-03,29
2013-04,31
2013-05,31
2013-06,29
2013-07,24
2013-08,22
2013-09,27
2013-10,31
2013-11,30
2013-12,23
2014-01,24
2014-02,27
2014-03,27
2014-04,27
2014-05,29
2014-06,26
2014-07,22
2014-08,22
2014-09,27
2014-10,29
2014-11,29
2014-12,22
2015-01,23
2015-02,26
2015-03,27
2015-04,26
2015-05,27
2015-06,26
2015-07,21
2015-08,20
2015-09,25
2015-10,28
2015-11,26
2015-12,19
2016-01,19
2016-02,22
2016-03,22
2016-04,24
2016-05,25
2016-06,22
2016-07,17
2016-08,17
2016-09,22
2016-10,22
2016-11,24
2016-12,17
2017-01,18
2017-02,22
2017-03,24
2017-04,21
2017-05,23
2017-06,20
2017-07,18
2017-08,19
2017-09,21
2017-10,24
2017-11,24
2017-12,18
2018-01,19
2018-02,22
2018-03,23
2018-04,23
2018-05,25
2018-06,21
2018-07,18
2018-08,18
2018-09,21
2018-10,22
2018-11,22
2018-12,16
2019-01,17
2019-02,21
2019-03,21
2019-04,22
2019-05,22
2019-06,20
2019-07,18
2019-08,17
2019-09,21
2019-10,22
2019-11,22
2019-12,16
2020-01,18
2020-02,20
2020-03,18
2020-04,20
2020-05,20
2020-06,20
2020-07,18
2020-08,17
2020-09,21
2020-10,19
2020-11,20
2020-12,16
2021-01,16
2021-02,17
2021-03,19
2021-04,19
2021-05,19
2021-06,20
2021-07,15
2021-08,14
2021-09,17
2021-10,18
2021-11,19
2021-12,15
2022-01,19
2022-02,24
2022-03,26
2022-04,24
2022-05,24
2022-06,22
2022-07,20
2022-08,19
2022-09,22
2022-10,23
2022-11,24
2022-12,18
2023-01,19
2023-02,22
2023-03,24
2023-04,19
2023-05,23
2023-06,21
2023-07,18
2023-08,18
2023-09,21
2023-10,21
2023-11,21
2023-12,16
2024-01,19
2024-02,23
2024-03,22
2024-04,24
2024-05,22
2024-06,20
2024-07,19
2024-08,18
2024-09,22
2024-10,22
2024-11,23
2024-12,18
2025-01,19
2025-02,21
