Month,Cuadro de Mando Integral
2004-01,79
2004-02,84
2004-03,100
2004-04,93
2004-05,89
2004-06,84
2004-07,72
2004-08,70
2004-09,81
2004-10,81
2004-11,84
2004-12,64
2005-01,64
2005-02,75
2005-03,69
2005-04,78
2005-05,70
2005-06,66
2005-07,53
2005-08,54
2005-09,63
2005-10,60
2005-11,69
2005-12,52
2006-01,48
2006-02,51
2006-03,57
2006-04,58
2006-05,56
2006-06,47
2006-07,41
2006-08,39
2006-09,45
2006-10,45
2006-11,48
2006-12,36
2007-01,39
2007-02,39
2007-03,44
2007-04,42
2007-05,44
2007-06,40
2007-07,35
2007-08,33
2007-09,40
2007-10,40
2007-11,44
2007-12,30
2008-01,33
2008-02,36
2008-03,36
2008-04,39
2008-05,37
2008-06,34
2008-07,28
2008-08,27
2008-09,31
2008-10,33
2008-11,36
2008-12,26
2009-01,27
2009-02,30
2009-03,32
2009-04,33
2009-05,37
2009-06,34
2009-07,26
2009-08,27
2009-09,31
2009-10,35
2009-11,40
2009-12,31
2010-01,31
2010-02,34
2010-03,34
2010-04,35
2010-05,39
2010-06,33
2010-07,27
2010-08,23
2010-09,28
2010-10,31
2010-11,31
2010-12,26
2011-01,27
2011-02,28
2011-03,29
2011-04,33
2011-05,29
2011-06,28
2011-07,25
2011-08,22
2011-09,26
2011-10,27
2011-11,33
2011-12,25
2012-01,24
2012-02,24
2012-03,26
2012-04,27
2012-05,29
2012-06,25
2012-07,21
2012-08,20
2012-09,23
2012-10,26
2012-11,29
2012-12,20
2013-01,21
2013-02,23
2013-03,24
2013-04,29
2013-05,27
2013-06,23
2013-07,19
2013-08,17
2013-09,20
2013-10,25
2013-11,29
2013-12,20
2014-01,21
2014-02,22
2014-03,24
2014-04,25
2014-05,25
2014-06,20
2014-07,17
2014-08,16
2014-09,17
2014-10,22
2014-11,26
2014-12,20
2015-01,18
2015-02,19
2015-03,22
2015-04,24
2015-05,23
2015-06,20
2015-07,15
2015-08,15
2015-09,18
2015-10,19
2015-11,24
2015-12,17
2016-01,14
2016-02,15
2016-03,16
2016-04,20
2016-05,19
2016-06,17
2016-07,11
2016-08,12
2016-09,13
2016-10,15
2016-11,19
2016-12,15
2017-01,12
2017-02,14
2017-03,18
2017-04,17
2017-05,18
2017-06,15
2017-07,12
2017-08,11
2017-09,13
2017-10,16
2017-11,20
2017-12,14
2018-01,13
2018-02,14
2018-03,16
2018-04,17
2018-05,15
2018-06,13
2018-07,10
2018-08,10
2018-09,12
2018-10,14
2018-11,16
2018-12,12
2019-01,11
2019-02,12
2019-03,12
2019-04,13
2019-05,13
2019-06,12
2019-07,10
2019-08,9
2019-09,11
2019-10,11
2019-11,13
2019-12,11
2020-01,10
2020-02,10
2020-03,10
2020-04,11
2020-05,12
2020-06,11
2020-07,9
2020-08,8
2020-09,10
2020-10,10
2020-11,11
2020-12,9
2021-01,9
2021-02,9
2021-03,10
2021-04,11
2021-05,10
2021-06,9
2021-07,8
2021-08,7
2021-09,8
2021-10,10
2021-11,11
2021-12,10
2022-01,11
2022-02,12
2022-03,15
2022-04,14
2022-05,14
2022-06,12
2022-07,9
2022-08,8
2022-09,9
2022-10,11
2022-11,13
2022-12,11
2023-01,9
2023-02,9
2023-03,10
2023-04,11
2023-05,11
2023-06,10
2023-07,8
2023-08,8
2023-09,8
2023-10,9
2023-11,10
2023-12,8
2024-01,8
2024-02,9
2024-03,9
2024-04,11
2024-05,10
2024-06,9
2024-07,7
2024-08,7
2024-09,7
2024-10,9
2024-11,11
2024-12,8
2025-01,7
2025-02,8
