Month,Gestión de Costos
2004-01,75
2004-02,75
2004-03,100
2004-04,96
2004-05,75
2004-06,65
2004-07,61
2004-08,55
2004-09,70
2004-10,65
2004-11,77
2004-12,52
2005-01,62
2005-02,65
2005-03,65
2005-04,61
2005-05,68
2005-06,46
2005-07,40
2005-08,42
2005-09,58
2005-10,56
2005-11,54
2005-12,43
2006-01,44
2006-02,45
2006-03,49
2006-04,48
2006-05,45
2006-06,34
2006-07,29
2006-08,29
2006-09,33
2006-10,37
2006-11,36
2006-12,32
2007-01,35
2007-02,35
2007-03,35
2007-04,33
2007-05,36
2007-06,27
2007-07,24
2007-08,27
2007-09,27
2007-10,32
2007-11,32
2007-12,26
2008-01,31
2008-02,29
2008-03,33
2008-04,34
2008-05,31
2008-06,22
2008-07,21
2008-08,21
2008-09,22
2008-10,31
2008-11,28
2008-12,23
2009-01,23
2009-02,29
2009-03,26
2009-04,27
2009-05,27
2009-06,23
2009-07,19
2009-08,19
2009-09,21
2009-10,28
2009-11,33
2009-12,21
2010-01,23
2010-02,26
2010-03,26
2010-04,27
2010-05,26
2010-06,20
2010-07,17
2010-08,16
2010-09,19
2010-10,21
2010-11,25
2010-12,20
2011-01,19
2011-02,20
2011-03,24
2011-04,24
2011-05,25
2011-06,18
2011-07,15
2011-08,15
2011-09,18
2011-10,23
2011-11,23
2011-12,20
2012-01,19
2012-02,22
2012-03,24
2012-04,22
2012-05,22
2012-06,16
2012-07,15
2012-08,12
2012-09,18
2012-10,23
2012-11,21
2012-12,17
2013-01,17
2013-02,18
2013-03,20
2013-04,23
2013-05,21
2013-06,15
2013-07,12
2013-08,11
2013-09,15
2013-10,20
2013-11,19
2013-12,17
2014-01,14
2014-02,18
2014-03,20
2014-04,19
2014-05,19
2014-06,14
2014-07,11
2014-08,11
2014-09,16
2014-10,20
2014-11,19
2014-12,15
2015-01,12
2015-02,17
2015-03,19
2015-04,19
2015-05,18
2015-06,13
2015-07,11
2015-08,10
2015-09,14
2015-10,18
2015-11,17
2015-12,13
2016-01,11
2016-02,15
2016-03,17
2016-04,16
2016-05,14
2016-06,12
2016-07,7
2016-08,8
2016-09,13
2016-10,14
2016-11,16
2016-12,11
2017-01,10
2017-02,14
2017-03,16
2017-04,14
2017-05,16
2017-06,10
2017-07,8
2017-08,8
2017-09,12
2017-10,15
2017-11,14
2017-12,11
2018-01,10
2018-02,13
2018-03,15
2018-04,14
2018-05,14
2018-06,8
2018-07,8
2018-08,7
2018-09,11
2018-10,13
2018-11,12
2018-12,10
2019-01,8
2019-02,11
2019-03,13
2019-04,12
2019-05,12
2019-06,8
2019-07,7
2019-08,6
2019-09,10
2019-10,12
2019-11,12
2019-12,10
2020-01,9
2020-02,12
2020-03,11
2020-04,10
2020-05,10
2020-06,9
2020-07,7
2020-08,6
2020-09,10
2020-10,11
2020-11,9
2020-12,8
2021-01,7
2021-02,10
2021-03,12
2021-04,10
2021-05,10
2021-06,8
2021-07,7
2021-08,5
2021-09,7
2021-10,9
2021-11,10
2021-12,7
2022-01,9
2022-02,12
2022-03,17
2022-04,13
2022-05,12
2022-06,11
2022-07,9
2022-08,6
2022-09,10
2022-10,11
2022-11,11
2022-12,10
2023-01,9
2023-02,11
2023-03,13
2023-04,9
2023-05,11
2023-06,9
2023-07,7
2023-08,6
2023-09,8
2023-10,10
2023-11,9
2023-12,7
2024-01,6
2024-02,9
2024-03,9
2024-04,9
2024-05,8
2024-06,6
2024-07,5
2024-08,4
2024-09,6
2024-10,7
2024-11,7
2024-12,6
2025-01,5
2025-02,6
