Month,Innovación Colaborativa
2004-01,0.0
2004-02,0.0
2004-03,0.0
2004-04,4.0
2004-05,0.0
2004-06,0.0
2004-07,0.0
2004-08,0.0
2004-09,0.0
2004-10,0.0
2004-11,0.0
2004-12,3.0
2005-01,0.0
2005-02,3.0
2005-03,3.0
2005-04,3.0
2005-05,2.0
2005-06,0.0
2005-07,2.0
2005-08,3.0
2005-09,3.0
2005-10,2.0
2005-11,4.0
2005-12,3.0
2006-01,2.0
2006-02,3.0
2006-03,3.0
2006-04,3.0
2006-05,2.0
2006-06,3.0
2006-07,3.0
2006-08,2.0
2006-09,5.0
2006-10,5.0
2006-11,4.0
2006-12,3.0
2007-01,5.0
2007-02,4.0
2007-03,5.0
2007-04,5.0
2007-05,5.0
2007-06,5.0
2007-07,5.0
2007-08,5.0
2007-09,5.0
2007-10,6.0
2007-11,7.000000000000001
2007-12,5.0
2008-01,6.0
2008-02,6.0
2008-03,6.0
2008-04,6.0
2008-05,6.0
2008-06,8.0
2008-07,7.000000000000001
2008-08,6.0
2008-09,7.000000000000001
2008-10,8.0
2008-11,8.0
2008-12,7.000000000000001
2009-01,8.0
2009-02,9.0
2009-03,10.0
2009-04,8.0
2009-05,8.0
2009-06,7.000000000000001
2009-07,8.0
2009-08,8.0
2009-09,9.0
2009-10,12.0
2009-11,12.0
2009-12,10.0
2010-01,11.0
2010-02,12.0
2010-03,11.0
2010-04,12.0
2010-05,13.0
2010-06,11.0
2010-07,10.0
2010-08,10.0
2010-09,11.0
2010-10,12.0
2010-11,14.000000000000002
2010-12,11.0
2011-01,11.0
2011-02,14.000000000000002
2011-03,15.0
2011-04,15.0
2011-05,15.0
2011-06,14.000000000000002
2011-07,11.0
2011-08,13.0
2011-09,14.000000000000002
2011-10,16.0
2011-11,16.0
2011-12,12.0
2012-01,15.0
2012-02,16.0
2012-03,16.0
2012-04,16.0
2012-05,18.0
2012-06,16.0
2012-07,15.0
2012-08,16.0
2012-09,20.0
2012-10,20.0
2012-11,19.0
2012-12,14.000000000000002
2013-01,20.0
2013-02,20.0
2013-03,21.0
2013-04,21.0
2013-05,20.0
2013-06,21.0
2013-07,20.0
2013-08,20.0
2013-09,21.0
2013-10,23.0
2013-11,23.0
2013-12,19.0
2014-01,22.0
2014-02,22.0
2014-03,25.0
2014-04,24.0
2014-05,26.0
2014-06,23.0
2014-07,20.0
2014-08,22.0
2014-09,25.0
2014-10,26.0
2014-11,28.999999999999996
2014-12,24.0
2015-01,25.0
2015-02,26.0
2015-03,28.999999999999996
2015-04,30.0
2015-05,28.999999999999996
2015-06,28.000000000000004
2015-07,25.0
2015-08,27.0
2015-09,34.0
2015-10,36.0
2015-11,37.0
2015-12,27.0
2016-01,30.0
2016-02,34.0
2016-03,35.0
2016-04,39.0
2016-05,37.0
2016-06,36.0
2016-07,31.0
2016-08,33.0
2016-09,41.0
2016-10,44.0
2016-11,47.0
2016-12,34.0
2017-01,44.0
2017-02,51.0
2017-03,54.0
2017-04,50.0
2017-05,53.0
2017-06,50.0
2017-07,46.0
2017-08,49.0
2017-09,60.0
2017-10,61.0
2017-11,64.0
2017-12,45.0
2018-01,55.00000000000001
2018-02,64.0
2018-03,64.0
2018-04,63.0
2018-05,63.0
2018-06,59.0
2018-07,55.00000000000001
2018-08,56.00000000000001
2018-09,66.0
2018-10,68.0
2018-11,68.0
2018-12,46.0
2019-01,60.0
2019-02,65.0
2019-03,66.0
2019-04,70.0
2019-05,65.0
2019-06,64.0
2019-07,60.0
2019-08,59.0
2019-09,71.0
2019-10,76.0
2019-11,72.0
2019-12,51.0
2020-01,61.0
2020-02,72.0
2020-03,60.0
2020-04,60.0
2020-05,65.0
2020-06,75.0
2020-07,65.0
2020-08,59.0
2020-09,73.0
2020-10,59.0
2020-11,53.0
2020-12,44.0
2021-01,48.0
2021-02,53.0
2021-03,62.0
2021-04,77.0
2021-05,66.0
2021-06,70.0
2021-07,56.00000000000001
2021-08,52.0
2021-09,62.0
2021-10,60.0
2021-11,61.0
2021-12,51.0
2022-01,68.0
2022-02,81.0
2022-03,100.0
2022-04,96.0
2022-05,88.0
2022-06,84.0
2022-07,70.0
2022-08,72.0
2022-09,87.0
2022-10,86.0
2022-11,84.0
2022-12,71.0
2023-01,75.0
2023-02,85.0
2023-03,90.0
2023-04,75.0
2023-05,80.0
2023-06,78.0
2023-07,63.0
2023-08,71.0
2023-09,81.0
2023-10,80.0
2023-11,75.0
2023-12,60.0
2024-01,66.0
2024-02,79.0
2024-03,77.0
2024-04,77.0
2024-05,76.0
2024-06,66.0
2024-07,57.99999999999999
2024-08,63.0
2024-09,70.0
2024-10,71.0
2024-11,67.0
2024-12,52.0
2025-01,56.99999999999999
2025-02,68.0
