Month,Outsourcing
2004-01,79
2004-02,90
2004-03,99
2004-04,100
2004-05,85
2004-06,78
2004-07,75
2004-08,68
2004-09,82
2004-10,83
2004-11,78
2004-12,65
2005-01,62
2005-02,68
2005-03,67
2005-04,74
2005-05,66
2005-06,65
2005-07,55
2005-08,50
2005-09,58
2005-10,58
2005-11,60
2005-12,48
2006-01,49
2006-02,61
2006-03,62
2006-04,58
2006-05,55
2006-06,46
2006-07,45
2006-08,46
2006-09,50
2006-10,52
2006-11,50
2006-12,35
2007-01,41
2007-02,45
2007-03,45
2007-04,48
2007-05,45
2007-06,42
2007-07,40
2007-08,38
2007-09,42
2007-10,44
2007-11,44
2007-12,34
2008-01,36
2008-02,39
2008-03,38
2008-04,41
2008-05,36
2008-06,36
2008-07,33
2008-08,32
2008-09,33
2008-10,35
2008-11,37
2008-12,30
2009-01,31
2009-02,34
2009-03,35
2009-04,36
2009-05,34
2009-06,31
2009-07,30
2009-08,30
2009-09,32
2009-10,34
2009-11,35
2009-12,28
2010-01,28
2010-02,33
2010-03,33
2010-04,33
2010-05,32
2010-06,30
2010-07,26
2010-08,26
2010-09,30
2010-10,30
2010-11,31
2010-12,24
2011-01,26
2011-02,28
2011-03,29
2011-04,28
2011-05,28
2011-06,26
2011-07,24
2011-08,24
2011-09,27
2011-10,26
2011-11,26
2011-12,22
2012-01,25
2012-02,27
2012-03,26
2012-04,25
2012-05,28
2012-06,25
2012-07,24
2012-08,22
2012-09,26
2012-10,29
2012-11,26
2012-12,21
2013-01,21
2013-02,24
2013-03,22
2013-04,25
2013-05,24
2013-06,21
2013-07,19
2013-08,19
2013-09,21
2013-10,22
2013-11,22
2013-12,18
2014-01,20
2014-02,23
2014-03,22
2014-04,21
2014-05,21
2014-06,19
2014-07,18
2014-08,18
2014-09,20
2014-10,21
2014-11,20
2014-12,17
2015-01,18
2015-02,20
2015-03,20
2015-04,21
2015-05,19
2015-06,19
2015-07,17
2015-08,16
2015-09,19
2015-10,19
2015-11,19
2015-12,16
2016-01,18
2016-02,20
2016-03,19
2016-04,20
2016-05,19
2016-06,18
2016-07,16
2016-08,16
2016-09,19
2016-10,19
2016-11,20
2016-12,16
2017-01,18
2017-02,19
2017-03,19
2017-04,19
2017-05,20
2017-06,17
2017-07,17
2017-08,16
2017-09,19
2017-10,20
2017-11,20
2017-12,16
2018-01,17
2018-02,18
2018-03,18
2018-04,18
2018-05,18
2018-06,16
2018-07,16
2018-08,18
2018-09,20
2018-10,19
2018-11,19
2018-12,16
2019-01,18
2019-02,19
2019-03,19
2019-04,19
2019-05,20
2019-06,18
2019-07,18
2019-08,16
2019-09,19
2019-10,19
2019-11,24
2019-12,19
2020-01,22
2020-02,22
2020-03,20
2020-04,16
2020-05,18
2020-06,18
2020-07,19
2020-08,17
2020-09,20
2020-10,22
2020-11,21
2020-12,18
2021-01,18
2021-02,18
2021-03,18
2021-04,22
2021-05,19
2021-06,19
2021-07,18
2021-08,17
2021-09,18
2021-10,18
2021-11,19
2021-12,16
2022-01,18
2022-02,20
2022-03,21
2022-04,19
2022-05,19
2022-06,18
2022-07,16
2022-08,16
2022-09,19
2022-10,18
2022-11,18
2022-12,17
2023-01,18
2023-02,19
2023-03,18
2023-04,16
2023-05,19
2023-06,18
2023-07,18
2023-08,18
2023-09,18
2023-10,19
2023-11,20
2023-12,17
2024-01,19
2024-02,20
2024-03,20
2024-04,19
2024-05,18
2024-06,18
2024-07,17
2024-08,18
2024-09,18
2024-10,19
2024-11,18
2024-12,14
2025-01,17
2025-02,20
