Month,Planificación Estratégica
2004-01,83
2004-02,97
2004-03,96
2004-04,100
2004-05,94
2004-06,84
2004-07,74
2004-08,88
2004-09,88
2004-10,98
2004-11,86
2004-12,70
2005-01,78
2005-02,86
2005-03,86
2005-04,87
2005-05,79
2005-06,70
2005-07,66
2005-08,69
2005-09,71
2005-10,73
2005-11,70
2005-12,58
2006-01,64
2006-02,69
2006-03,68
2006-04,62
2006-05,60
2006-06,56
2006-07,54
2006-08,55
2006-09,58
2006-10,55
2006-11,57
2006-12,43
2007-01,55
2007-02,55
2007-03,54
2007-04,54
2007-05,53
2007-06,49
2007-07,47
2007-08,50
2007-09,54
2007-10,53
2007-11,47
2007-12,39
2008-01,47
2008-02,50
2008-03,50
2008-04,54
2008-05,49
2008-06,39
2008-07,43
2008-08,45
2008-09,46
2008-10,50
2008-11,43
2008-12,37
2009-01,46
2009-02,46
2009-03,45
2009-04,45
2009-05,45
2009-06,39
2009-07,39
2009-08,48
2009-09,41
2009-10,49
2009-11,53
2009-12,39
2010-01,47
2010-02,44
2010-03,55
2010-04,49
2010-05,43
2010-06,39
2010-07,39
2010-08,43
2010-09,46
2010-10,52
2010-11,48
2010-12,37
2011-01,47
2011-02,46
2011-03,50
2011-04,48
2011-05,46
2011-06,41
2011-07,40
2011-08,43
2011-09,49
2011-10,50
2011-11,50
2011-12,40
2012-01,45
2012-02,48
2012-03,47
2012-04,45
2012-05,45
2012-06,40
2012-07,37
2012-08,39
2012-09,47
2012-10,48
2012-11,45
2012-12,35
2013-01,40
2013-02,43
2013-03,44
2013-04,45
2013-05,40
2013-06,36
2013-07,35
2013-08,34
2013-09,43
2013-10,43
2013-11,41
2013-12,35
2014-01,40
2014-02,44
2014-03,43
2014-04,41
2014-05,40
2014-06,36
2014-07,32
2014-08,35
2014-09,40
2014-10,41
2014-11,43
2014-12,34
2015-01,36
2015-02,43
2015-03,42
2015-04,41
2015-05,38
2015-06,35
2015-07,32
2015-08,31
2015-09,39
2015-10,41
2015-11,37
2015-12,32
2016-01,34
2016-02,41
2016-03,39
2016-04,41
2016-05,38
2016-06,32
2016-07,28
2016-08,31
2016-09,38
2016-10,37
2016-11,39
2016-12,31
2017-01,34
2017-02,38
2017-03,39
2017-04,37
2017-05,35
2017-06,28
2017-07,27
2017-08,29
2017-09,34
2017-10,36
2017-11,38
2017-12,29
2018-01,32
2018-02,36
2018-03,36
2018-04,33
2018-05,34
2018-06,27
2018-07,27
2018-08,28
2018-09,35
2018-10,34
2018-11,33
2018-12,28
2019-01,30
2019-02,36
2019-03,34
2019-04,31
2019-05,31
2019-06,27
2019-07,28
2019-08,27
2019-09,35
2019-10,32
2019-11,33
2019-12,28
2020-01,28
2020-02,35
2020-03,27
2020-04,25
2020-05,24
2020-06,25
2020-07,23
2020-08,26
2020-09,37
2020-10,34
2020-11,28
2020-12,27
2021-01,28
2021-02,32
2021-03,33
2021-04,30
2021-05,28
2021-06,29
2021-07,26
2021-08,27
2021-09,32
2021-10,32
2021-11,32
2021-12,27
2022-01,34
2022-02,48
2022-03,49
2022-04,44
2022-05,40
2022-06,35
2022-07,29
2022-08,35
2022-09,40
2022-10,38
2022-11,38
2022-12,32
2023-01,37
2023-02,41
2023-03,40
2023-04,31
2023-05,33
2023-06,29
2023-07,26
2023-08,28
2023-09,35
2023-10,36
2023-11,32
2023-12,29
2024-01,33
2024-02,36
2024-03,33
2024-04,31
2024-05,29
2024-06,24
2024-07,23
2024-08,26
2024-09,31
2024-10,31
2024-11,29
2024-12,24
2025-01,28
2025-02,29
