Month,Presupuesto Base Cero
2004-01,0.0
2004-02,0.0
2004-03,0.0
2004-04,0.0
2004-05,54.0
2004-06,46.0
2004-07,0.0
2004-08,0.0
2004-09,0.0
2004-10,60.0
2004-11,53.0
2004-12,35.0
2005-01,33.0
2005-02,60.0
2005-03,40.0
2005-04,55.00000000000001
2005-05,34.0
2005-06,36.0
2005-07,35.0
2005-08,0.0
2005-09,41.0
2005-10,41.0
2005-11,25.0
2005-12,38.0
2006-01,21.0
2006-02,40.0
2006-03,41.0
2006-04,27.0
2006-05,35.0
2006-06,45.0
2006-07,32.0
2006-08,30.0
2006-09,36.0
2006-10,25.0
2006-11,28.000000000000004
2006-12,23.0
2007-01,36.0
2007-02,35.0
2007-03,26.0
2007-04,20.0
2007-05,17.0
2007-06,22.0
2007-07,17.0
2007-08,23.0
2007-09,23.0
2007-10,32.0
2007-11,28.000000000000004
2007-12,21.0
2008-01,20.0
2008-02,28.999999999999996
2008-03,30.0
2008-04,33.0
2008-05,28.000000000000004
2008-06,24.0
2008-07,25.0
2008-08,17.0
2008-09,25.0
2008-10,47.0
2008-11,38.0
2008-12,30.0
2009-01,25.0
2009-02,39.0
2009-03,35.0
2009-04,31.0
2009-05,41.0
2009-06,31.0
2009-07,34.0
2009-08,32.0
2009-09,40.0
2009-10,33.0
2009-11,42.0
2009-12,28.999999999999996
2010-01,33.0
2010-02,37.0
2010-03,42.0
2010-04,39.0
2010-05,42.0
2010-06,32.0
2010-07,31.0
2010-08,36.0
2010-09,36.0
2010-10,31.0
2010-11,55.00000000000001
2010-12,37.0
2011-01,35.0
2011-02,33.0
2011-03,34.0
2011-04,44.0
2011-05,35.0
2011-06,32.0
2011-07,32.0
2011-08,30.0
2011-09,32.0
2011-10,31.0
2011-11,46.0
2011-12,33.0
2012-01,44.0
2012-02,39.0
2012-03,44.0
2012-04,43.0
2012-05,45.0
2012-06,37.0
2012-07,34.0
2012-08,30.0
2012-09,40.0
2012-10,37.0
2012-11,42.0
2012-12,39.0
2013-01,37.0
2013-02,39.0
2013-03,45.0
2013-04,45.0
2013-05,46.0
2013-06,33.0
2013-07,33.0
2013-08,31.0
2013-09,32.0
2013-10,41.0
2013-11,41.0
2013-12,41.0
2014-01,33.0
2014-02,41.0
2014-03,40.0
2014-04,44.0
2014-05,46.0
2014-06,34.0
2014-07,33.0
2014-08,36.0
2014-09,40.0
2014-10,47.0
2014-11,43.0
2014-12,40.0
2015-01,46.0
2015-02,46.0
2015-03,52.0
2015-04,53.0
2015-05,49.0
2015-06,43.0
2015-07,41.0
2015-08,49.0
2015-09,51.0
2015-10,71.0
2015-11,100.0
2015-12,57.99999999999999
2016-01,39.0
2016-02,54.0
2016-03,45.0
2016-04,47.0
2016-05,46.0
2016-06,33.0
2016-07,34.0
2016-08,32.0
2016-09,32.0
2016-10,41.0
2016-11,46.0
2016-12,43.0
2017-01,41.0
2017-02,49.0
2017-03,51.0
2017-04,54.0
2017-05,54.0
2017-06,38.0
2017-07,39.0
2017-08,43.0
2017-09,51.0
2017-10,57.99999999999999
2017-11,56.99999999999999
2017-12,50.0
2018-01,48.0
2018-02,48.0
2018-03,55.00000000000001
2018-04,54.0
2018-05,60.0
2018-06,48.0
2018-07,39.0
2018-08,44.0
2018-09,51.0
2018-10,56.99999999999999
2018-11,56.99999999999999
2018-12,56.00000000000001
2019-01,46.0
2019-02,50.0
2019-03,55.00000000000001
2019-04,54.0
2019-05,56.00000000000001
2019-06,51.0
2019-07,45.0
2019-08,41.0
2019-09,46.0
2019-10,50.0
2019-11,64.0
2019-12,54.0
2020-01,51.0
2020-02,50.0
2020-03,47.0
2020-04,42.0
2020-05,45.0
2020-06,51.0
2020-07,42.0
2020-08,37.0
2020-09,51.0
2020-10,45.0
2020-11,45.0
2020-12,41.0
2021-01,38.0
2021-02,46.0
2021-03,46.0
2021-04,42.0
2021-05,32.0
2021-06,39.0
2021-07,40.0
2021-08,34.0
2021-09,37.0
2021-10,33.0
2021-11,40.0
2021-12,33.0
2022-01,43.0
2022-02,53.0
2022-03,61.0
2022-04,55.00000000000001
2022-05,56.00000000000001
2022-06,53.0
2022-07,42.0
2022-08,40.0
2022-09,53.0
2022-10,44.0
2022-11,48.0
2022-12,51.0
2023-01,46.0
2023-02,53.0
2023-03,45.0
2023-04,50.0
2023-05,56.00000000000001
2023-06,45.0
2023-07,32.0
2023-08,37.0
2023-09,39.0
2023-10,45.0
2023-11,49.0
2023-12,51.0
2024-01,40.0
2024-02,43.0
2024-03,40.0
2024-04,47.0
2024-05,49.0
2024-06,33.0
2024-07,28.000000000000004
2024-08,31.0
2024-09,36.0
2024-10,40.0
2024-11,41.0
2024-12,39.0
2025-01,39.0
2025-02,47.0
