Month,Propósito y Visión
2004-01,79
2004-02,100
2004-03,82
2004-04,84
2004-05,69
2004-06,63
2004-07,53
2004-08,58
2004-09,90
2004-10,91
2004-11,78
2004-12,57
2005-01,75
2005-02,87
2005-03,73
2005-04,79
2005-05,62
2005-06,55
2005-07,48
2005-08,53
2005-09,79
2005-10,73
2005-11,71
2005-12,51
2006-01,74
2006-02,74
2006-03,65
2006-04,62
2006-05,55
2006-06,49
2006-07,46
2006-08,46
2006-09,64
2006-10,65
2006-11,61
2006-12,46
2007-01,55
2007-02,57
2007-03,55
2007-04,47
2007-05,47
2007-06,38
2007-07,38
2007-08,40
2007-09,61
2007-10,66
2007-11,60
2007-12,40
2008-01,53
2008-02,61
2008-03,53
2008-04,56
2008-05,44
2008-06,36
2008-07,35
2008-08,36
2008-09,61
2008-10,58
2008-11,57
2008-12,35
2009-01,50
2009-02,55
2009-03,56
2009-04,55
2009-05,45
2009-06,40
2009-07,38
2009-08,42
2009-09,61
2009-10,61
2009-11,61
2009-12,43
2010-01,52
2010-02,61
2010-03,58
2010-04,54
2010-05,47
2010-06,42
2010-07,39
2010-08,40
2010-09,56
2010-10,57
2010-11,56
2010-12,40
2011-01,49
2011-02,55
2011-03,56
2011-04,52
2011-05,43
2011-06,38
2011-07,35
2011-08,38
2011-09,57
2011-10,54
2011-11,50
2011-12,36
2012-01,46
2012-02,52
2012-03,48
2012-04,46
2012-05,42
2012-06,36
2012-07,35
2012-08,36
2012-09,52
2012-10,51
2012-11,49
2012-12,33
2013-01,44
2013-02,53
2013-03,47
2013-04,47
2013-05,40
2013-06,34
2013-07,32
2013-08,34
2013-09,49
2013-10,50
2013-11,45
2013-12,32
2014-01,42
2014-02,51
2014-03,47
2014-04,44
2014-05,39
2014-06,34
2014-07,36
2014-08,36
2014-09,51
2014-10,49
2014-11,44
2014-12,34
2015-01,40
2015-02,47
2015-03,43
2015-04,44
2015-05,38
2015-06,34
2015-07,34
2015-08,34
2015-09,50
2015-10,49
2015-11,43
2015-12,32
2016-01,38
2016-02,45
2016-03,40
2016-04,42
2016-05,37
2016-06,30
2016-07,29
2016-08,34
2016-09,46
2016-10,44
2016-11,43
2016-12,29
2017-01,38
2017-02,44
2017-03,41
2017-04,38
2017-05,36
2017-06,30
2017-07,28
2017-08,35
2017-09,45
2017-10,45
2017-11,41
2017-12,31
2018-01,40
2018-02,46
2018-03,41
2018-04,39
2018-05,37
2018-06,30
2018-07,28
2018-08,32
2018-09,45
2018-10,45
2018-11,39
2018-12,28
2019-01,37
2019-02,40
2019-03,38
2019-04,39
2019-05,33
2019-06,31
2019-07,28
2019-08,31
2019-09,45
2019-10,41
2019-11,39
2019-12,29
2020-01,37
2020-02,42
2020-03,32
2020-04,29
2020-05,28
2020-06,31
2020-07,40
2020-08,34
2020-09,46
2020-10,36
2020-11,29
2020-12,22
2021-01,27
2021-02,30
2021-03,31
2021-04,29
2021-05,27
2021-06,26
2021-07,22
2021-08,23
2021-09,31
2021-10,30
2021-11,29
2021-12,22
2022-01,34
2022-02,40
2022-03,41
2022-04,40
2022-05,36
2022-06,30
2022-07,27
2022-08,32
2022-09,43
2022-10,39
2022-11,35
2022-12,28
2023-01,35
2023-02,40
2023-03,36
2023-04,30
2023-05,33
2023-06,27
2023-07,24
2023-08,31
2023-09,37
2023-10,34
2023-11,31
2023-12,23
2024-01,31
2024-02,36
2024-03,33
2024-04,31
2024-05,28
2024-06,24
2024-07,21
2024-08,27
2024-09,34
2024-10,33
2024-11,30
2024-12,23
2025-01,31
2025-02,32
