Mes,Strategic Planning,Outsourcing
2004-01,11,75
2004-02,12,95
2004-03,12,100
2004-04,12,99
2004-05,11,83
2004-06,11,72
2004-07,10,76
2004-08,11,70
2004-09,11,80
2004-10,12,87
2004-11,10,77
2004-12,9,64
2005-01,10,61
2005-02,11,71
2005-03,10,71
2005-04,10,68
2005-05,10,67
2005-06,9,58
2005-07,9,51
2005-08,9,47
2005-09,9,57
2005-10,9,57
2005-11,9,60
2005-12,7,47
2006-01,8,50
2006-02,8,56
2006-03,8,61
2006-04,8,58
2006-05,8,54
2006-06,7,46
2006-07,7,41
2006-08,7,45
2006-09,7,47
2006-10,7,50
2006-11,7,50
2006-12,6,36
2007-01,7,40
2007-02,7,42
2007-03,7,43
2007-04,7,47
2007-05,7,46
2007-06,7,41
2007-07,6,40
2007-08,6,37
2007-09,6,39
2007-10,7,44
2007-11,6,42
2007-12,5,34
2008-01,6,36
2008-02,6,39
2008-03,6,39
2008-04,7,37
2008-05,6,36
2008-06,5,35
2008-07,6,32
2008-08,6,28
2008-09,6,35
2008-10,6,35
2008-11,6,35
2008-12,5,29
2009-01,6,31
2009-02,6,34
2009-03,6,34
2009-04,6,34
2009-05,6,33
2009-06,5,31
2009-07,5,29
2009-08,5,29
2009-09,6,30
2009-10,6,33
2009-11,6,37
2009-12,5,26
2010-01,6,27
2010-02,5,31
2010-03,6,32
2010-04,6,31
2010-05,5,32
2010-06,5,30
2010-07,5,25
2010-08,5,25
2010-09,5,30
2010-10,6,29
2010-11,5,32
2010-12,4,23
2011-01,6,25
2011-02,5,28
2011-03,5,29
2011-04,5,28
2011-05,5,27
2011-06,5,25
2011-07,5,23
2011-08,5,22
2011-09,5,25
2011-10,5,26
2011-11,5,26
2011-12,4,21
2012-01,5,25
2012-02,5,27
2012-03,5,26
2012-04,5,24
2012-05,5,27
2012-06,5,24
2012-07,4,24
2012-08,4,22
2012-09,5,25
2012-10,5,28
2012-11,4,25
2012-12,3,20
2013-01,4,23
2013-02,4,23
2013-03,4,22
2013-04,4,24
2013-05,4,23
2013-06,4,21
2013-07,4,19
2013-08,4,18
2013-09,4,21
2013-10,5,22
2013-11,5,22
2013-12,3,17
2014-01,4,20
2014-02,5,22
2014-03,4,22
2014-04,4,21
2014-05,4,22
2014-06,3,20
2014-07,3,18
2014-08,4,18
2014-09,4,20
2014-10,5,21
2014-11,4,20
2014-12,3,16
2015-01,3,18
2015-02,4,19
2015-03,5,20
2015-04,4,21
2015-05,4,20
2015-06,4,18
2015-07,3,17
2015-08,3,16
2015-09,4,19
2015-10,4,20
2015-11,4,19
2015-12,3,15
2016-01,4,18
2016-02,4,20
2016-03,4,19
2016-04,4,19
2016-05,3,19
2016-06,3,18
2016-07,3,15
2016-08,3,16
2016-09,4,19
2016-10,4,19
2016-11,4,19
2016-12,3,16
2017-01,4,18
2017-02,4,19
2017-03,4,20
2017-04,4,19
2017-05,3,19
2017-06,3,17
2017-07,3,15
2017-08,3,17
2017-09,4,18
2017-10,4,19
2017-11,4,19
2017-12,3,15
2018-01,3,16
2018-02,4,20
2018-03,3,17
2018-04,3,17
2018-05,3,17
2018-06,3,15
2018-07,3,15
2018-08,3,17
2018-09,4,18
2018-10,4,19
2018-11,3,19
2018-12,3,15
2019-01,3,17
2019-02,3,17
2019-03,4,19
2019-04,3,19
2019-05,3,19
2019-06,3,17
2019-07,3,18
2019-08,3,17
2019-09,4,19
2019-10,4,19
2019-11,3,23
2019-12,3,19
2020-01,3,23
2020-02,4,22
2020-03,3,20
2020-04,2,17
2020-05,3,17
2020-06,3,17
2020-07,2,19
2020-08,3,16
2020-09,4,20
2020-10,3,22
2020-11,3,21
2020-12,2,18
2021-01,3,16
2021-02,3,18
2021-03,3,17
2021-04,3,20
2021-05,3,19
2021-06,3,18
2021-07,3,18
2021-08,2,17
2021-09,3,18
2021-10,3,17
2021-11,3,18
2021-12,3,16
2022-01,3,18
2022-02,4,19
2022-03,5,20
2022-04,4,19
2022-05,4,18
2022-06,3,18
2022-07,3,16
2022-08,3,16
2022-09,4,18
2022-10,4,17
2022-11,4,18
2022-12,3,16
2023-01,4,17
2023-02,4,18
2023-03,4,18
2023-04,3,16
2023-05,3,19
2023-06,3,17
2023-07,3,17
2023-08,3,17
2023-09,4,19
2023-10,4,19
2023-11,3,19
2023-12,3,16
2024-01,3,19
2024-02,4,20
2024-03,4,20
2024-04,3,18
2024-05,3,19
2024-06,2,16
2024-07,3,17
2024-08,3,17
2024-09,4,18
