Month,Just in Time
2004-01,0
2004-02,60
2004-03,0
2004-04,100
2004-05,57
2004-06,53
2004-07,61
2004-08,0
2004-09,65
2004-10,72
2004-11,76
2004-12,51
2005-01,0
2005-02,50
2005-03,45
2005-04,70
2005-05,49
2005-06,38
2005-07,47
2005-08,32
2005-09,42
2005-10,62
2005-11,57
2005-12,47
2006-01,31
2006-02,45
2006-03,39
2006-04,39
2006-05,30
2006-06,22
2006-07,28
2006-08,30
2006-09,27
2006-10,25
2006-11,39
2006-12,20
2007-01,23
2007-02,29
2007-03,26
2007-04,30
2007-05,23
2007-06,25
2007-07,14
2007-08,23
2007-09,33
2007-10,23
2007-11,32
2007-12,25
2008-01,18
2008-02,27
2008-03,45
2008-04,26
2008-05,34
2008-06,21
2008-07,21
2008-08,24
2008-09,21
2008-10,24
2008-11,34
2008-12,20
2009-01,23
2009-02,21
2009-03,31
2009-04,31
2009-05,24
2009-06,21
2009-07,17
2009-08,22
2009-09,26
2009-10,21
2009-11,38
2009-12,28
2010-01,23
2010-02,35
2010-03,31
2010-04,33
2010-05,30
2010-06,21
2010-07,18
2010-08,20
2010-09,24
2010-10,26
2010-11,30
2010-12,19
2011-01,19
2011-02,18
2011-03,22
2011-04,26
2011-05,23
2011-06,14
2011-07,15
2011-08,13
2011-09,24
2011-10,23
2011-11,25
2011-12,21
2012-01,17
2012-02,20
2012-03,21
2012-04,20
2012-05,16
2012-06,16
2012-07,11
2012-08,13
2012-09,18
2012-10,17
2012-11,22
2012-12,14
2013-01,15
2013-02,16
2013-03,20
2013-04,23
2013-05,18
2013-06,19
2013-07,11
2013-08,13
2013-09,18
2013-10,26
2013-11,23
2013-12,17
2014-01,14
2014-02,18
2014-03,20
2014-04,23
2014-05,21
2014-06,14
2014-07,14
2014-08,14
2014-09,19
2014-10,23
2014-11,29
2014-12,15
2015-01,17
2015-02,20
2015-03,21
2015-04,27
2015-05,19
2015-06,14
2015-07,12
2015-08,15
2015-09,17
2015-10,20
2015-11,23
2015-12,14
2016-01,13
2016-02,18
2016-03,24
2016-04,21
2016-05,17
2016-06,14
2016-07,10
2016-08,9
2016-09,12
2016-10,17
2016-11,20
2016-12,15
2017-01,13
2017-02,19
2017-03,20
2017-04,19
2017-05,20
2017-06,10
2017-07,11
2017-08,12
2017-09,14
2017-10,17
2017-11,17
2017-12,14
2018-01,12
2018-02,19
2018-03,19
2018-04,21
2018-05,16
2018-06,10
2018-07,8
2018-08,10
2018-09,15
2018-10,18
2018-11,17
2018-12,16
2019-01,13
2019-02,16
2019-03,16
2019-04,20
2019-05,18
2019-06,11
2019-07,12
2019-08,13
2019-09,14
2019-10,18
2019-11,21
2019-12,16
2020-01,13
2020-02,20
2020-03,18
2020-04,21
2020-05,16
2020-06,14
2020-07,15
2020-08,12
2020-09,16
2020-10,17
2020-11,17
2020-12,13
2021-01,12
2021-02,16
2021-03,17
2021-04,16
2021-05,12
2021-06,12
2021-07,11
2021-08,9
2021-09,11
2021-10,17
2021-11,16
2021-12,15
2022-01,15
2022-02,18
2022-03,22
2022-04,20
2022-05,23
2022-06,16
2022-07,14
2022-08,11
2022-09,14
2022-10,17
2022-11,20
2022-12,16
2023-01,15
2023-02,14
2023-03,17
2023-04,16
2023-05,19
2023-06,14
2023-07,12
2023-08,13
2023-09,17
2023-10,16
2023-11,18
2023-12,14
2024-01,12
2024-02,14
2024-03,16
2024-04,17
2024-05,15
2024-06,13
2024-07,9
2024-08,9
2024-09,13
