Date,Optimización de Precios
1950-01,4
1950-02,1
1950-03,0
1950-04,2
1950-05,0
1950-06,1
1950-07,1
1950-08,1
1950-09,1
1950-10,0
1950-11,1
1950-12,3
1951-01,1
1951-02,0
1951-03,2
1951-04,2
1951-05,1
1951-06,3
1951-07,0
1951-08,1
1951-09,2
1951-10,5
1951-11,3
1951-12,3
1952-01,6
1952-02,4
1952-03,1
1952-04,0
1952-05,2
1952-06,2
1952-07,2
1952-08,4
1952-09,2
1952-10,2
1952-11,1
1952-12,1
1953-01,8
1953-02,2
1953-03,2
1953-04,5
1953-05,2
1953-06,3
1953-07,2
1953-08,2
1953-09,0
1953-10,0
1953-11,1
1953-12,1
1954-01,8
1954-02,0
1954-03,0
1954-04,1
1954-05,3
1954-06,3
1954-07,0
1954-08,3
1954-09,4
1954-10,4
1954-11,1
1954-12,12
1955-01,9
1955-02,2
1955-03,1
1955-04,2
1955-05,1
1955-06,1
1955-07,3
1955-08,1
1955-09,4
1955-10,1
1955-11,2
1955-12,2
1956-01,7
1956-02,10
1956-03,3
1956-04,4
1956-05,4
1956-06,3
1956-07,1
1956-08,1
1956-09,4
1956-10,3
1956-11,0
1956-12,0
1957-01,8
1957-02,3
1957-03,1
1957-04,4
1957-05,1
1957-06,2
1957-07,2
1957-08,2
1957-09,0
1957-10,1
1957-11,1
1957-12,4
1958-01,5
1958-02,2
1958-03,3
1958-04,3
1958-05,1
1958-06,1
1958-07,1
1958-08,5
1958-09,2
1958-10,6
1958-11,6
1958-12,3
1959-01,7
1959-02,3
1959-03,3
1959-04,4
1959-05,1
1959-06,2
1959-07,5
1959-08,1
1959-09,4
1959-10,5
1959-11,2
1959-12,1
1960-01,10
1960-02,1
1960-03,3
1960-04,5
1960-05,0
1960-06,2
1960-07,6
1960-08,4
1960-09,8
1960-10,0
1960-11,6
1960-12,5
1961-01,10
1961-02,5
1961-03,1
1961-04,5
1961-05,2
1961-06,5
1961-07,5
1961-08,5
1961-09,6
1961-10,3
1961-11,2
1961-12,5
1962-01,19
1962-02,5
1962-03,4
1962-04,5
1962-05,6
1962-06,7
1962-07,9
1962-08,2
1962-09,8
1962-10,3
1962-11,14
1962-12,12
1963-01,23
1963-02,5
1963-03,7
1963-04,8
1963-05,5
1963-06,5
1963-07,2
1963-08,1
1963-09,2
1963-10,8
1963-11,4
1963-12,11
1964-01,17
1964-02,6
1964-03,5
1964-04,15
1964-05,7
1964-06,13
1964-07,6
1964-08,7
1964-09,8
1964-10,4
1964-11,7
1964-12,5
1965-01,16
1965-02,10
1965-03,5
1965-04,4
1965-05,5
1965-06,14
1965-07,12
1965-08,9
1965-09,4
1965-10,8
1965-11,10
1965-12,10
1966-01,19
1966-02,15
1966-03,10
1966-04,14
1966-05,9
1966-06,7
1966-07,14
1966-08,10
1966-09,9
1966-10,9
1966-11,10
1966-12,10
1967-01,17
1967-02,9
1967-03,7
1967-04,6
1967-05,12
1967-06,12
1967-07,4
1967-08,17
1967-09,9
1967-10,11
1967-11,7
1967-12,16
1968-01,32
1968-02,10
1968-03,12
1968-04,13
1968-05,15
1968-06,16
1968-07,5
1968-08,15
1968-09,18
1968-10,10
1968-11,14
1968-12,8
