Date,Planificación Estratégica
1950-01,3
1950-02,1
1950-03,4
1950-04,2
1950-05,3
1950-06,5
1950-07,0
1950-08,1
1950-09,5
1950-10,6
1950-11,1
1950-12,6
1951-01,9
1951-02,3
1951-03,3
1951-04,4
1951-05,3
1951-06,2
1951-07,6
1951-08,2
1951-09,6
1951-10,3
1951-11,1
1951-12,23
1952-01,5
1952-02,3
1952-03,2
1952-04,3
1952-05,1
1952-06,2
1952-07,4
1952-08,1
1952-09,2
1952-10,1
1952-11,2
1952-12,5
1953-01,6
1953-02,0
1953-03,5
1953-04,3
1953-05,4
1953-06,2
1953-07,1
1953-08,1
1953-09,3
1953-10,5
1953-11,1
1953-12,6
1954-01,5
1954-02,4
1954-03,5
1954-04,7
1954-05,5
1954-06,4
1954-07,1
1954-08,4
1954-09,4
1954-10,4
1954-11,4
1954-12,25
1955-01,8
1955-02,4
1955-03,8
1955-04,10
1955-05,4
1955-06,3
1955-07,7
1955-08,3
1955-09,1
1955-10,6
1955-11,7
1955-12,2
1956-01,9
1956-02,4
1956-03,4
1956-04,8
1956-05,5
1956-06,6
1956-07,1
1956-08,1
1956-09,6
1956-10,7
1956-11,1
1956-12,9
1957-01,4
1957-02,8
1957-03,6
1957-04,11
1957-05,4
1957-06,7
1957-07,3
1957-08,5
1957-09,5
1957-10,6
1957-11,5
1957-12,5
1958-01,2
1958-02,7
1958-03,5
1958-04,13
1958-05,5
1958-06,8
1958-07,3
1958-08,10
1958-09,3
1958-10,7
1958-11,1
1958-12,12
1959-01,8
1959-02,3
1959-03,2
1959-04,11
1959-05,1
1959-06,5
1959-07,5
1959-08,4
1959-09,7
1959-10,3
1959-11,4
1959-12,12
1960-01,15
1960-02,7
1960-03,7
1960-04,6
1960-05,5
1960-06,6
1960-07,10
1960-08,3
1960-09,12
1960-10,9
1960-11,1
1960-12,16
1961-01,13
1961-02,11
1961-03,5
1961-04,9
1961-05,3
1961-06,4
1961-07,4
1961-08,8
1961-09,10
1961-10,10
1961-11,7
1961-12,24
1962-01,11
1962-02,7
1962-03,14
1962-04,9
1962-05,10
1962-06,10
1962-07,12
1962-08,4
1962-09,11
1962-10,9
1962-11,8
1962-12,24
1963-01,14
1963-02,10
1963-03,10
1963-04,9
1963-05,10
1963-06,10
1963-07,11
1963-08,5
1963-09,14
1963-10,13
1963-11,6
1963-12,48
1964-01,12
1964-02,5
1964-03,11
1964-04,10
1964-05,10
1964-06,19
1964-07,10
1964-08,8
1964-09,12
1964-10,18
1964-11,12
1964-12,57
1965-01,23
1965-02,10
1965-03,10
1965-04,16
1965-05,9
1965-06,13
1965-07,19
1965-08,9
1965-09,17
1965-10,13
1965-11,11
1965-12,21
1966-01,28
1966-02,10
1966-03,18
1966-04,11
1966-05,5
1966-06,13
1966-07,23
1966-08,15
1966-09,8
1966-10,13
1966-11,12
1966-12,47
1967-01,31
1967-02,10
1967-03,27
1967-04,13
1967-05,15
1967-06,21
1967-07,19
1967-08,11
1967-09,13
1967-10,18
1967-11,11
1967-12,40
1968-01,26
1968-02,11
1968-03,36
1968-04,17
1968-05,19
1968-06,18
1968-07,22
1968-08,12
1968-09,26
1968-10,27
1968-11,14
1968-12,34
1969-01,44
1969-02,17
1969-03,20
1969-04,21
1969-05,22
1969-06,21
1969-07,21
1969-08,22
1969-09,19
1969-10,17
1969-11,11
1969-12,51
1970-01,193
1970-02,18
1970-03,32
1970-04,24
1970-05,23
1970-06,21
1970-07,12
1970-08,18
1970-09,27
1970-10,26
1970-11,17
1970-12,21
1971-01,65
1971-02,24
1971-03,29
1971-04,32
1971-05,18
1971-06,30
1971-07,27
