Month,Outsourcing
2004-01,73
2004-02,86
2004-03,100
2004-04,96
2004-05,83
2004-06,70
2004-07,74
2004-08,67
2004-09,79
2004-10,84
2004-11,74
2004-12,65
2005-01,59
2005-02,71
2005-03,69
2005-04,69
2005-05,65
2005-06,61
2005-07,47
2005-08,49
2005-09,55
2005-10,56
2005-11,60
2005-12,45
2006-01,50
2006-02,57
2006-03,59
2006-04,54
2006-05,51
2006-06,46
2006-07,41
2006-08,43
2006-09,46
2006-10,48
2006-11,47
2006-12,36
2007-01,39
2007-02,41
2007-03,44
2007-04,47
2007-05,43
2007-06,41
2007-07,39
2007-08,36
2007-09,37
2007-10,43
2007-11,42
2007-12,33
2008-01,36
2008-02,38
2008-03,37
2008-04,39
2008-05,36
2008-06,34
2008-07,32
2008-08,29
2008-09,32
2008-10,34
2008-11,36
2008-12,28
2009-01,32
2009-02,34
2009-03,34
2009-04,32
2009-05,33
2009-06,30
2009-07,30
2009-08,28
2009-09,31
2009-10,33
2009-11,33
2009-12,26
2010-01,26
2010-02,30
2010-03,32
2010-04,31
2010-05,31
2010-06,29
2010-07,25
2010-08,26
2010-09,30
2010-10,28
2010-11,31
2010-12,23
2011-01,25
2011-02,26
2011-03,28
2011-04,28
2011-05,27
2011-06,25
2011-07,23
2011-08,22
2011-09,25
2011-10,25
2011-11,26
2011-12,21
2012-01,24
2012-02,25
2012-03,24
2012-04,24
2012-05,24
2012-06,23
2012-07,24
2012-08,21
2012-09,24
2012-10,27
2012-11,25
2012-12,19
2013-01,21
2013-02,23
2013-03,21
2013-04,24
2013-05,23
2013-06,20
2013-07,19
2013-08,18
2013-09,21
2013-10,21
2013-11,22
2013-12,16
2014-01,19
2014-02,21
2014-03,21
2014-04,21
2014-05,21
2014-06,19
2014-07,17
2014-08,17
2014-09,20
2014-10,20
2014-11,20
2014-12,16
2015-01,17
2015-02,19
2015-03,20
2015-04,19
2015-05,21
2015-06,18
2015-07,16
2015-08,16
2015-09,19
2015-10,18
2015-11,17
2015-12,15
2016-01,18
2016-02,19
2016-03,19
2016-04,19
2016-05,19
2016-06,17
2016-07,15
2016-08,16
2016-09,17
2016-10,19
2016-11,19
2016-12,16
2017-01,17
2017-02,18
2017-03,19
2017-04,19
2017-05,19
2017-06,17
2017-07,15
2017-08,16
2017-09,18
2017-10,19
2017-11,19
2017-12,15
2018-01,16
2018-02,18
2018-03,18
2018-04,18
2018-05,18
2018-06,15
2018-07,16
2018-08,17
2018-09,19
2018-10,19
2018-11,18
2018-12,15
2019-01,18
2019-02,18
2019-03,18
2019-04,19
2019-05,19
2019-06,17
2019-07,17
2019-08,17
2019-09,19
2019-10,19
2019-11,23
2019-12,20
2020-01,22
2020-02,21
2020-03,19
2020-04,16
2020-05,17
2020-06,18
2020-07,19
2020-08,16
2020-09,19
2020-10,22
2020-11,20
2020-12,17
2021-01,17
2021-02,18
2021-03,18
2021-04,20
2021-05,19
2021-06,18
2021-07,17
2021-08,16
2021-09,17
2021-10,17
2021-11,18
2021-12,16
2022-01,17
2022-02,19
2022-03,21
2022-04,18
2022-05,18
2022-06,19
2022-07,16
2022-08,16
2022-09,17
2022-10,17
2022-11,18
2022-12,16
2023-01,17
2023-02,18
2023-03,17
2023-04,16
2023-05,18
2023-06,19
2023-07,17
2023-08,17
2023-09,18
2023-10,20
2023-11,19
2023-12,16
2024-01,19
2024-02,20
2024-03,19
2024-04,18
2024-05,18
2024-06,17
2024-07,17
2024-08,17
2024-09,18
