Month,Outsourcing,Six Sigma
2004-01,74,40
2004-02,87,46
2004-03,96,44
2004-04,100,47
2004-05,85,43
2004-06,73,45
2004-07,70,44
2004-08,71,42
2004-09,83,44
2004-10,85,42
2004-11,78,40
2004-12,65,35
2005-01,61,38
2005-02,65,44
2005-03,75,42
2005-04,68,40
2005-05,69,37
2005-06,60,39
2005-07,57,39
2005-08,52,38
2005-09,60,37
2005-10,58,36
2005-11,60,35
2005-12,46,32
2006-01,52,33
2006-02,59,35
2006-03,62,37
2006-04,57,34
2006-05,54,33
2006-06,48,32
2006-07,42,32
2006-08,45,33
2006-09,46,32
2006-10,52,30
2006-11,49,33
2006-12,36,26
2007-01,40,36
2007-02,44,29
2007-03,45,30
2007-04,46,28
2007-05,44,31
2007-06,41,30
2007-07,40,27
2007-08,38,28
2007-09,39,27
2007-10,45,30
2007-11,43,27
2007-12,34,22
2008-01,37,28
2008-02,39,27
2008-03,39,25
2008-04,43,27
2008-05,37,26
2008-06,35,25
2008-07,33,24
2008-08,31,24
2008-09,34,24
2008-10,35,24
2008-11,36,23
2008-12,30,19
2009-01,31,22
2009-02,35,23
2009-03,34,24
2009-04,36,23
2009-05,35,21
2009-06,32,22
2009-07,29,21
2009-08,30,22
2009-09,31,22
2009-10,35,23
2009-11,34,21
2009-12,26,19
2010-01,29,21
2010-02,35,22
2010-03,33,23
2010-04,33,21
2010-05,32,21
2010-06,29,20
2010-07,26,19
2010-08,26,19
2010-09,30,20
2010-10,29,20
2010-11,30,19
2010-12,22,17
2011-01,24,18
2011-02,27,19
2011-03,28,21
2011-04,28,19
2011-05,29,18
2011-06,26,19
2011-07,23,18
2011-08,23,18
2011-09,25,18
2011-10,26,16
2011-11,27,18
2011-12,22,16
2012-01,25,16
2012-02,27,18
2012-03,26,18
2012-04,24,17
2012-05,27,16
2012-06,24,16
2012-07,24,16
2012-08,22,15
2012-09,25,16
2012-10,29,17
2012-11,26,15
2012-12,19,13
2013-01,21,15
2013-02,24,16
2013-03,22,16
2013-04,24,16
2013-05,23,16
2013-06,21,15
2013-07,19,14
2013-08,18,15
2013-09,21,15
2013-10,22,15
2013-11,22,15
2013-12,18,13
2014-01,20,15
2014-02,22,16
2014-03,22,15
2014-04,21,16
2014-05,22,15
2014-06,20,16
2014-07,19,15
2014-08,19,15
2014-09,20,16
2014-10,21,16
2014-11,21,15
2014-12,17,13
2015-01,19,14
2015-02,20,15
2015-03,21,16
2015-04,21,15
2015-05,20,15
2015-06,18,14
2015-07,17,14
2015-08,17,14
2015-09,19,14
2015-10,19,15
2015-11,19,14
2015-12,16,12
2016-01,18,12
2016-02,20,13
2016-03,19,13
2016-04,20,13
2016-05,20,13
2016-06,18,12
2016-07,16,11
2016-08,17,11
2016-09,19,12
2016-10,19,12
2016-11,19,13
2016-12,17,11
2017-01,18,13
2017-02,19,13
2017-03,20,14
2017-04,20,13
2017-05,20,13
2017-06,17,12
2017-07,16,12
2017-08,16,12
2017-09,19,13
2017-10,20,14
2017-11,20,13
2017-12,15,11
2018-01,17,13
2018-02,19,14
2018-03,18,14
2018-04,18,13
2018-05,18,13
2018-06,15,12
2018-07,16,11
2018-08,17,13
2018-09,19,12
2018-10,19,13
2018-11,19,12
2018-12,16,10
2019-01,19,11
2019-02,18,13
2019-03,19,13
2019-04,19,12
2019-05,20,12
2019-06,18,11
2019-07,17,11
2019-08,17,11
2019-09,21,12
2019-10,19,12
2019-11,23,12
2019-12,21,10
2020-01,23,12
2020-02,21,13
2020-03,19,10
2020-04,16,10
2020-05,17,10
2020-06,18,11
2020-07,19,11
2020-08,16,10
2020-09,19,12
2020-10,22,11
2020-11,21,10
2020-12,18,9
2021-01,18,10
2021-02,18,11
2021-03,19,11
2021-04,21,10
2021-05,19,10
2021-06,19,11
2021-07,18,10
2021-08,17,10
2021-09,18,10
2021-10,18,10
2021-11,19,9
2021-12,16,9
2022-01,18,12
2022-02,20,13
2022-03,21,13
2022-04,19,12
2022-05,19,12
2022-06,19,12
2022-07,16,11
2022-08,16,11
2022-09,18,11
2022-10,17,11
2022-11,18,12
2022-12,16,10
2023-01,17,11
2023-02,19,12
2023-03,19,12
2023-04,16,11
2023-05,20,11
2023-06,18,12
2023-07,18,11
2023-08,18,11
2023-09,18,12
2023-10,19,12
2023-11,19,11
2023-12,17,10
2024-01,19,12
2024-02,20,12
2024-03,18,12
2024-04,18,12
2024-05,19,12
2024-06,18,11
2024-07,18,11
2024-08,18,11
2024-09,18,11
