Month,Project Management
2004-01,98
2004-02,96
2004-03,97
2004-04,100
2004-05,88
2004-06,90
2004-07,94
2004-08,91
2004-09,91
2004-10,91
2004-11,86
2004-12,73
2005-01,90
2005-02,91
2005-03,88
2005-04,83
2005-05,84
2005-06,83
2005-07,81
2005-08,85
2005-09,87
2005-10,84
2005-11,82
2005-12,64
2006-01,80
2006-02,82
2006-03,82
2006-04,74
2006-05,76
2006-06,73
2006-07,71
2006-08,73
2006-09,71
2006-10,67
2006-11,66
2006-12,57
2007-01,69
2007-02,68
2007-03,67
2007-04,66
2007-05,67
2007-06,63
2007-07,64
2007-08,64
2007-09,66
2007-10,67
2007-11,58
2007-12,50
2008-01,65
2008-02,64
2008-03,60
2008-04,61
2008-05,58
2008-06,58
2008-07,59
2008-08,54
2008-09,61
2008-10,60
2008-11,53
2008-12,43
2009-01,54
2009-02,56
2009-03,57
2009-04,53
2009-05,52
2009-06,53
2009-07,53
2009-08,55
2009-09,53
2009-10,56
2009-11,53
2009-12,45
2010-01,56
2010-02,60
2010-03,59
2010-04,55
2010-05,55
2010-06,52
2010-07,49
2010-08,50
2010-09,49
2010-10,50
2010-11,47
2010-12,40
2011-01,49
2011-02,48
2011-03,51
2011-04,48
2011-05,48
2011-06,48
2011-07,43
2011-08,44
2011-09,48
2011-10,47
2011-11,47
2011-12,38
2012-01,47
2012-02,47
2012-03,48
2012-04,45
2012-05,47
2012-06,46
2012-07,44
2012-08,44
2012-09,46
2012-10,46
2012-11,43
2012-12,36
2013-01,45
2013-02,46
2013-03,44
2013-04,46
2013-05,43
2013-06,42
2013-07,42
2013-08,41
2013-09,43
2013-10,44
2013-11,42
2013-12,37
2014-01,43
2014-02,45
2014-03,45
2014-04,43
2014-05,43
2014-06,42
2014-07,40
2014-08,41
2014-09,45
2014-10,44
2014-11,43
2014-12,35
2015-01,40
2015-02,44
2015-03,46
2015-04,44
2015-05,42
2015-06,40
2015-07,42
2015-08,39
2015-09,44
2015-10,42
2015-11,40
2015-12,37
2016-01,38
2016-02,42
2016-03,39
2016-04,39
2016-05,39
2016-06,37
2016-07,33
2016-08,37
2016-09,39
2016-10,39
2016-11,40
2016-12,34
2017-01,40
2017-02,41
2017-03,46
2017-04,41
2017-05,39
2017-06,39
2017-07,37
2017-08,40
2017-09,47
2017-10,52
2017-11,56
2017-12,60
2018-01,68
2018-02,45
2018-03,44
2018-04,41
2018-05,38
2018-06,35
2018-07,37
2018-08,37
2018-09,39
2018-10,40
2018-11,39
2018-12,36
2019-01,43
2019-02,46
2019-03,48
2019-04,44
2019-05,45
2019-06,42
2019-07,42
2019-08,42
2019-09,44
2019-10,44
2019-11,44
2019-12,41
2020-01,44
2020-02,45
2020-03,40
2020-04,38
2020-05,37
2020-06,38
2020-07,40
2020-08,39
2020-09,44
2020-10,41
2020-11,38
2020-12,34
2021-01,36
2021-02,39
2021-03,39
2021-04,38
2021-05,39
2021-06,38
2021-07,38
2021-08,37
2021-09,41
2021-10,39
2021-11,43
2021-12,43
2022-01,55
2022-02,58
2022-03,58
2022-04,54
2022-05,51
2022-06,52
2022-07,46
2022-08,46
2022-09,49
2022-10,48
2022-11,52
2022-12,42
2023-01,50
2023-02,48
2023-03,49
2023-04,50
2023-05,49
2023-06,49
2023-07,45
2023-08,47
2023-09,50
2023-10,51
2023-11,49
2023-12,43
2024-01,52
2024-02,55
2024-03,50
2024-04,52
2024-05,51
2024-06,45
2024-07,48
2024-08,48
2024-09,48
