Mes,Strategic Planning
2004-01,86
2004-02,98
2004-03,100
2004-04,99
2004-05,92
2004-06,86
2004-07,80
2004-08,92
2004-09,90
2004-10,98
2004-11,84
2004-12,72
2005-01,80
2005-02,90
2005-03,82
2005-04,83
2005-05,78
2005-06,74
2005-07,73
2005-08,72
2005-09,74
2005-10,71
2005-11,73
2005-12,60
2006-01,63
2006-02,63
2006-03,67
2006-04,64
2006-05,64
2006-06,56
2006-07,57
2006-08,58
2006-09,59
2006-10,58
2006-11,60
2006-12,45
2007-01,55
2007-02,57
2007-03,56
2007-04,54
2007-05,54
2007-06,53
2007-07,50
2007-08,52
2007-09,52
2007-10,59
2007-11,52
2007-12,40
2008-01,50
2008-02,52
2008-03,50
2008-04,55
2008-05,49
2008-06,44
2008-07,45
2008-08,45
2008-09,50
2008-10,51
2008-11,47
2008-12,39
2009-01,45
2009-02,48
2009-03,46
2009-04,46
2009-05,47
2009-06,44
2009-07,42
2009-08,44
2009-09,48
2009-10,50
2009-11,48
2009-12,39
2010-01,45
2010-02,44
2010-03,51
2010-04,48
2010-05,40
2010-06,44
2010-07,40
2010-08,37
2010-09,43
2010-10,46
2010-11,43
2010-12,35
2011-01,45
2011-02,43
2011-03,42
2011-04,44
2011-05,42
2011-06,40
2011-07,38
2011-08,38
2011-09,43
2011-10,40
2011-11,42
2011-12,35
2012-01,37
2012-02,39
2012-03,38
2012-04,38
2012-05,36
2012-06,38
2012-07,33
2012-08,31
2012-09,38
2012-10,40
2012-11,36
2012-12,27
2013-01,33
2013-02,34
2013-03,36
2013-04,35
2013-05,31
2013-06,31
2013-07,31
2013-08,29
2013-09,35
2013-10,37
2013-11,37
2013-12,28
2014-01,35
2014-02,37
2014-03,34
2014-04,33
2014-05,34
2014-06,27
2014-07,28
2014-08,29
2014-09,33
2014-10,37
2014-11,33
2014-12,27
2015-01,27
2015-02,32
2015-03,37
2015-04,31
2015-05,29
2015-06,30
2015-07,25
2015-08,27
2015-09,34
2015-10,34
2015-11,30
2015-12,25
2016-01,29
2016-02,34
2016-03,32
2016-04,31
2016-05,28
2016-06,27
2016-07,24
2016-08,27
2016-09,30
2016-10,31
2016-11,30
2016-12,26
2017-01,29
2017-02,29
2017-03,33
2017-04,29
2017-05,27
2017-06,22
2017-07,22
2017-08,25
2017-09,31
2017-10,31
2017-11,29
2017-12,23
2018-01,27
2018-02,29
2018-03,28
2018-04,26
2018-05,26
2018-06,24
2018-07,22
2018-08,25
2018-09,29
2018-10,31
2018-11,27
2018-12,21
2019-01,25
2019-02,28
2019-03,29
2019-04,26
2019-05,24
2019-06,21
2019-07,22
2019-08,22
2019-09,30
2019-10,30
2019-11,27
2019-12,22
2020-01,26
2020-02,29
2020-03,22
2020-04,20
2020-05,21
2020-06,21
2020-07,19
2020-08,21
2020-09,29
2020-10,28
2020-11,23
2020-12,20
2021-01,21
2021-02,26
2021-03,28
2021-04,23
2021-05,24
2021-06,22
2021-07,21
2021-08,20
2021-09,26
2021-10,27
2021-11,26
2021-12,23
2022-01,28
2022-02,36
2022-03,39
2022-04,35
2022-05,30
2022-06,27
2022-07,24
2022-08,25
2022-09,33
2022-10,32
2022-11,30
2022-12,26
2023-01,31
2023-02,33
2023-03,30
2023-04,25
2023-05,26
2023-06,24
2023-07,21
2023-08,21
2023-09,30
2023-10,31
2023-11,28
2023-12,23
2024-01,27
2024-02,31
2024-03,28
2024-04,27
2024-05,23
2024-06,20
2024-07,21
2024-08,22
2024-09,29
