Date,Alianzas y Capital de Riesgo
1950-01,0
1951-01,0
1952-01,0
1953-01,0
1954-01,0
1955-01,0
1956-01,0
1957-01,0
1958-01,0
1959-01,0
1960-01,0
1961-01,0
1962-01,0
1963-01,0
1964-01,0
1965-01,0
1966-01,0
1967-01,0
1968-01,0
1969-01,1
1970-01,1
1971-01,0
1972-01,0
1973-01,0
1974-01,0
1975-01,0
1976-01,0
1977-01,0
1978-01,0
1979-01,0
1980-01,2
1981-01,0
1982-01,0
1983-01,0
1984-01,0
1985-01,0
1986-01,1
1987-01,3
1988-01,8
1989-01,4
1990-01,6
1991-01,22
1992-01,17
1993-01,34
1994-01,28
1995-01,41
1996-01,43
1997-01,53
1998-01,43
1999-01,28
2000-01,67
2001-01,42
2002-01,40
2003-01,40
2004-01,56
2005-01,62
2006-01,65
2007-01,58
2008-01,72
2009-01,77
2010-01,64
2011-01,73
2012-01,85
2013-01,77
2014-01,81
2015-01,100
2016-01,80
2017-01,100
2018-01,84
2019-01,83
2020-01,86
2021-01,83
2022-01,114
2023-01,117
2024-01,146
