Date,Benchmarking
1950-01,0
1951-01,0
1952-01,0
1953-01,0
1954-01,0
1955-01,0
1956-01,0
1957-01,0
1958-01,0
1959-01,0
1960-01,0
1961-01,0
1962-01,0
1963-01,0
1964-01,0
1965-01,0
1966-01,0
1967-01,0
1968-01,0
1969-01,1
1970-01,2
1971-01,0
1972-01,0
1973-01,0
1974-01,3
1975-01,0
1976-01,2
1977-01,3
1978-01,1
1979-01,7
1980-01,5
1981-01,0
1982-01,2
1983-01,4
1984-01,3
1985-01,5
1986-01,4
1987-01,7
1988-01,17
1989-01,18
1990-01,26
1991-01,24
1992-01,40
1993-01,49
1994-01,109
1995-01,172
1996-01,155
1997-01,173
1998-01,188
1999-01,192
2000-01,221
2001-01,269
2002-01,243
2003-01,282
2004-01,308
2005-01,303
2006-01,399
2007-01,412
2008-01,426
2009-01,542
2010-01,531
2011-01,559
2012-01,731
2013-01,692
2014-01,777
2015-01,831
2016-01,935
2017-01,1013
2018-01,1132
2019-01,1161
2020-01,1346
2021-01,1500
2022-01,1637
2023-01,1917
2024-01,2325
