Date,Calidad Total
1950-01,0
1951-01,0
1952-01,0
1953-01,0
1954-01,0
1955-01,0
1956-01,0
1957-01,0
1958-01,0
1959-01,0
1960-01,0
1961-01,0
1962-01,0
1963-01,0
1964-01,0
1965-01,0
1966-01,0
1967-01,0
1968-01,1
1969-01,1
1970-01,3
1971-01,0
1972-01,0
1973-01,0
1974-01,2
1975-01,0
1976-01,0
1977-01,1
1978-01,2
1979-01,0
1980-01,0
1981-01,0
1982-01,0
1983-01,1
1984-01,3
1985-01,5
1986-01,2
1987-01,5
1988-01,5
1989-01,84
1990-01,57
1991-01,109
1992-01,158
1993-01,289
1994-01,258
1995-01,255
1996-01,188
1997-01,168
1998-01,149
1999-01,99
2000-01,96
2001-01,91
2002-01,71
2003-01,70
2004-01,76
2005-01,47
2006-01,73
2007-01,45
2008-01,50
2009-01,64
2010-01,80
2011-01,88
2012-01,119
2013-01,133
2014-01,156
2015-01,152
2016-01,164
2017-01,204
2018-01,262
2019-01,282
2020-01,293
2021-01,338
2022-01,332
2023-01,392
2024-01,449
