Date,Competencias Centrales
1950-01,0
1951-01,0
1952-01,0
1953-01,0
1954-01,0
1955-01,0
1956-01,0
1957-01,0
1958-01,0
1959-01,0
1960-01,0
1961-01,0
1962-01,0
1963-01,0
1964-01,0
1965-01,0
1966-01,0
1967-01,0
1968-01,0
1969-01,0
1970-01,1
1971-01,0
1972-01,0
1973-01,0
1974-01,0
1975-01,0
1976-01,1
1977-01,0
1978-01,2
1979-01,3
1980-01,0
1981-01,0
1982-01,0
1983-01,1
1984-01,0
1985-01,0
1986-01,0
1987-01,2
1988-01,0
1989-01,0
1990-01,2
1991-01,2
1992-01,3
1993-01,4
1994-01,7
1995-01,11
1996-01,16
1997-01,17
1998-01,14
1999-01,17
2000-01,30
2001-01,20
2002-01,38
2003-01,29
2004-01,35
2005-01,41
2006-01,43
2007-01,51
2008-01,65
2009-01,90
2010-01,83
2011-01,105
2012-01,99
2013-01,127
2014-01,90
2015-01,125
2016-01,124
2017-01,164
2018-01,154
2019-01,160
2020-01,167
2021-01,196
2022-01,200
2023-01,240
2024-01,290
