Date,Cuadro de Mando Integral
1950-01,0
1951-01,0
1952-01,0
1953-01,0
1954-01,0
1955-01,0
1956-01,0
1957-01,0
1958-01,0
1959-01,0
1960-01,0
1961-01,0
1962-01,0
1963-01,0
1964-01,0
1965-01,0
1966-01,0
1967-01,0
1968-01,0
1969-01,0
1970-01,3
1971-01,0
1972-01,0
1973-01,0
1974-01,0
1975-01,0
1976-01,0
1977-01,0
1978-01,0
1979-01,0
1980-01,0
1981-01,0
1982-01,0
1983-01,0
1984-01,0
1985-01,0
1986-01,0
1987-01,0
1988-01,0
1989-01,0
1990-01,0
1991-01,0
1992-01,0
1993-01,0
1994-01,4
1995-01,2
1996-01,5
1997-01,11
1998-01,20
1999-01,24
2000-01,56
2001-01,68
2002-01,68
2003-01,89
2004-01,99
2005-01,97
2006-01,82
2007-01,99
2008-01,111
2009-01,130
2010-01,166
2011-01,183
2012-01,221
2013-01,193
2014-01,218
2015-01,194
2016-01,238
2017-01,297
2018-01,311
2019-01,396
2020-01,385
2021-01,365
2022-01,377
2023-01,422
2024-01,430
