Date,Estrategias de Crecimiento
1950-01,0
1951-01,0
1952-01,0
1953-01,0
1954-01,0
1955-01,0
1956-01,0
1957-01,0
1958-01,0
1959-01,0
1960-01,0
1961-01,0
1962-01,0
1963-01,0
1964-01,0
1965-01,0
1966-01,0
1967-01,1
1968-01,1
1969-01,1
1970-01,1
1971-01,0
1972-01,0
1973-01,0
1974-01,0
1975-01,2
1976-01,3
1977-01,5
1978-01,2
1979-01,2
1980-01,5
1981-01,4
1982-01,8
1983-01,3
1984-01,6
1985-01,1
1986-01,6
1987-01,6
1988-01,8
1989-01,9
1990-01,3
1991-01,5
1992-01,9
1993-01,4
1994-01,6
1995-01,7
1996-01,20
1997-01,8
1998-01,6
1999-01,7
2000-01,16
2001-01,7
2002-01,13
2003-01,10
2004-01,13
2005-01,21
2006-01,28
2007-01,36
2008-01,43
2009-01,24
2010-01,36
2011-01,54
2012-01,68
2013-01,41
2014-01,60
2015-01,60
2016-01,89
2017-01,89
2018-01,59
2019-01,80
2020-01,77
2021-01,111
2022-01,98
2023-01,139
2024-01,160
