Date,Experiencia del Cliente
1950-01,0
1951-01,0
1952-01,0
1953-01,0
1954-01,0
1955-01,0
1956-01,0
1957-01,1
1958-01,1
1959-01,1
1960-01,0
1961-01,0
1962-01,0
1963-01,0
1964-01,0
1965-01,0
1966-01,0
1967-01,0
1968-01,0
1969-01,0
1970-01,6
1971-01,0
1972-01,1
1973-01,2
1974-01,2
1975-01,2
1976-01,2
1977-01,1
1978-01,0
1979-01,2
1980-01,2
1981-01,0
1982-01,3
1983-01,1
1984-01,1
1985-01,1
1986-01,3
1987-01,0
1988-01,5
1989-01,8
1990-01,5
1991-01,19
1992-01,20
1993-01,13
1994-01,37
1995-01,41
1996-01,47
1997-01,64
1998-01,55
1999-01,65
2000-01,114
2001-01,158
2002-01,155
2003-01,152
2004-01,181
2005-01,149
2006-01,188
2007-01,237
2008-01,318
2009-01,385
2010-01,397
2011-01,490
2012-01,537
2013-01,608
2014-01,598
2015-01,669
2016-01,695
2017-01,833
2018-01,940
2019-01,1271
2020-01,1428
2021-01,1613
2022-01,1864
2023-01,2585
2024-01,2862
