Date,Fusiones y Adquisiciones
1950-01,0
1951-01,0
1952-01,0
1953-01,0
1954-01,0
1955-01,0
1956-01,0
1957-01,0
1958-01,0
1959-01,0
1960-01,0
1961-01,0
1962-01,0
1963-01,2
1964-01,2
1965-01,2
1966-01,0
1967-01,0
1968-01,7
1969-01,1
1970-01,4
1971-01,1
1972-01,2
1973-01,0
1974-01,1
1975-01,3
1976-01,0
1977-01,0
1978-01,1
1979-01,0
1980-01,0
1981-01,1
1982-01,1
1983-01,3
1984-01,1
1985-01,2
1986-01,5
1987-01,5
1988-01,10
1989-01,9
1990-01,20
1991-01,22
1992-01,17
1993-01,8
1994-01,12
1995-01,10
1996-01,15
1997-01,19
1998-01,27
1999-01,29
2000-01,38
2001-01,44
2002-01,53
2003-01,54
2004-01,63
2005-01,61
2006-01,74
2007-01,109
2008-01,110
2009-01,122
2010-01,107
2011-01,159
2012-01,222
2013-01,146
2014-01,182
2015-01,179
2016-01,194
2017-01,239
2018-01,212
2019-01,219
2020-01,251
2021-01,243
2022-01,279
2023-01,286
2024-01,367
