Date,Gestión del Cambio
1950-01,0
1951-01,0
1952-01,0
1953-01,0
1954-01,0
1955-01,0
1956-01,0
1957-01,0
1958-01,0
1959-01,0
1960-01,0
1961-01,0
1962-01,0
1963-01,0
1964-01,0
1965-01,0
1966-01,0
1967-01,0
1968-01,0
1969-01,0
1970-01,1
1971-01,0
1972-01,0
1973-01,0
1974-01,1
1975-01,0
1976-01,0
1977-01,0
1978-01,2
1979-01,1
1980-01,1
1981-01,2
1982-01,2
1983-01,4
1984-01,1
1985-01,1
1986-01,0
1987-01,0
1988-01,1
1989-01,4
1990-01,8
1991-01,4
1992-01,4
1993-01,9
1994-01,6
1995-01,16
1996-01,17
1997-01,22
1998-01,23
1999-01,26
2000-01,48
2001-01,62
2002-01,49
2003-01,74
2004-01,76
2005-01,73
2006-01,91
2007-01,112
2008-01,110
2009-01,127
2010-01,129
2011-01,128
2012-01,171
2013-01,181
2014-01,180
2015-01,198
2016-01,214
2017-01,255
2018-01,252
2019-01,283
2020-01,327
2021-01,353
2022-01,351
2023-01,396
2024-01,496
