Date,Gestión del Conocimiento
1950-01,0
1951-01,0
1952-01,0
1953-01,0
1954-01,0
1955-01,0
1956-01,0
1957-01,0
1958-01,0
1959-01,0
1960-01,0
1961-01,0
1962-01,0
1963-01,0
1964-01,0
1965-01,0
1966-01,0
1967-01,0
1968-01,0
1969-01,1
1970-01,5
1971-01,0
1972-01,0
1973-01,2
1974-01,1
1975-01,4
1976-01,2
1977-01,1
1978-01,2
1979-01,0
1980-01,1
1981-01,0
1982-01,1
1983-01,0
1984-01,3
1985-01,2
1986-01,4
1987-01,10
1988-01,4
1989-01,12
1990-01,6
1991-01,11
1992-01,12
1993-01,9
1994-01,17
1995-01,15
1996-01,28
1997-01,51
1998-01,71
1999-01,191
2000-01,283
2001-01,386
2002-01,487
2003-01,542
2004-01,589
2005-01,658
2006-01,837
2007-01,850
2008-01,1162
2009-01,1197
2010-01,1184
2011-01,1175
2012-01,1169
2013-01,1234
2014-01,1192
2015-01,1143
2016-01,1280
2017-01,1301
2018-01,1484
2019-01,1654
2020-01,1647
2021-01,1787
2022-01,1827
2023-01,1979
2024-01,2316
