Date,Gestión de la Cadena de Suministro
1950-01,0
1951-01,0
1952-01,0
1953-01,0
1954-01,0
1955-01,0
1956-01,0
1957-01,0
1958-01,0
1959-01,0
1960-01,0
1961-01,0
1962-01,0
1963-01,0
1964-01,0
1965-01,0
1966-01,0
1967-01,0
1968-01,0
1969-01,0
1970-01,6
1971-01,0
1972-01,0
1973-01,0
1974-01,0
1975-01,1
1976-01,0
1977-01,0
1978-01,0
1979-01,0
1980-01,0
1981-01,0
1982-01,0
1983-01,0
1984-01,0
1985-01,3
1986-01,0
1987-01,3
1988-01,2
1989-01,1
1990-01,5
1991-01,8
1992-01,7
1993-01,11
1994-01,14
1995-01,35
1996-01,79
1997-01,72
1998-01,136
1999-01,204
2000-01,371
2001-01,428
2002-01,533
2003-01,590
2004-01,779
2005-01,792
2006-01,1261
2007-01,1355
2008-01,1836
2009-01,2147
2010-01,2493
2011-01,2739
2012-01,2699
2013-01,3154
2014-01,3211
2015-01,3313
2016-01,3548
2017-01,3894
2018-01,4764
2019-01,5412
2020-01,6010
2021-01,7876
2022-01,9165
2023-01,10456
2024-01,12577
