Date,Planificación Estratégica
1950-01,1
1951-01,0
1952-01,0
1953-01,0
1954-01,4
1955-01,0
1956-01,1
1957-01,0
1958-01,1
1959-01,0
1960-01,6
1961-01,2
1962-01,1
1963-01,0
1964-01,2
1965-01,1
1966-01,4
1967-01,1
1968-01,1
1969-01,5
1970-01,21
1971-01,17
1972-01,10
1973-01,13
1974-01,14
1975-01,19
1976-01,20
1977-01,22
1978-01,30
1979-01,39
1980-01,41
1981-01,67
1982-01,75
1983-01,91
1984-01,108
1985-01,107
1986-01,133
1987-01,117
1988-01,125
1989-01,128
1990-01,146
1991-01,141
1992-01,156
1993-01,182
1994-01,162
1995-01,168
1996-01,182
1997-01,172
1998-01,199
1999-01,162
2000-01,170
2001-01,159
2002-01,155
2003-01,194
2004-01,222
2005-01,199
2006-01,239
2007-01,304
2008-01,288
2009-01,315
2010-01,318
2011-01,372
2012-01,454
2013-01,492
2014-01,480
2015-01,578
2016-01,660
2017-01,721
2018-01,857
2019-01,1101
2020-01,1160
2021-01,1202
2022-01,1176
2023-01,1450
2024-01,1645
