Date,Planificación de Escenarios
1950-01,0
1951-01,0
1952-01,0
1953-01,0
1954-01,0
1955-01,0
1956-01,0
1957-01,0
1958-01,0
1959-01,0
1960-01,0
1961-01,0
1962-01,0
1963-01,0
1964-01,0
1965-01,0
1966-01,1
1967-01,2
1968-01,0
1969-01,0
1970-01,1
1971-01,3
1972-01,1
1973-01,3
1974-01,2
1975-01,2
1976-01,2
1977-01,5
1978-01,6
1979-01,7
1980-01,6
1981-01,12
1982-01,10
1983-01,26
1984-01,8
1985-01,10
1986-01,9
1987-01,13
1988-01,15
1989-01,17
1990-01,15
1991-01,15
1992-01,14
1993-01,20
1994-01,13
1995-01,27
1996-01,21
1997-01,19
1998-01,14
1999-01,40
2000-01,26
2001-01,22
2002-01,27
2003-01,46
2004-01,44
2005-01,38
2006-01,53
2007-01,55
2008-01,78
2009-01,88
2010-01,97
2011-01,119
2012-01,129
2013-01,138
2014-01,130
2015-01,145
2016-01,181
2017-01,201
2018-01,181
2019-01,212
2020-01,251
2021-01,267
2022-01,281
2023-01,312
2024-01,327
