Date,Presupuesto Base Cero
1950-01,0
1951-01,0
1952-01,0
1953-01,0
1954-01,2
1955-01,1
1956-01,0
1957-01,1
1958-01,0
1959-01,0
1960-01,0
1961-01,1
1962-01,0
1963-01,0
1964-01,0
1965-01,1
1966-01,4
1967-01,4
1968-01,2
1969-01,3
1970-01,1
1971-01,3
1972-01,2
1973-01,4
1974-01,3
1975-01,0
1976-01,1
1977-01,1
1978-01,2
1979-01,0
1980-01,3
1981-01,2
1982-01,0
1983-01,1
1984-01,1
1985-01,0
1986-01,0
1987-01,0
1988-01,0
1989-01,0
1990-01,1
1991-01,1
1992-01,1
1993-01,1
1994-01,0
1995-01,3
1996-01,0
1997-01,1
1998-01,0
1999-01,1
2000-01,1
2001-01,2
2002-01,3
2003-01,2
2004-01,1
2005-01,1
2006-01,0
2007-01,3
2008-01,0
2009-01,2
2010-01,1
2011-01,3
2012-01,4
2013-01,0
2014-01,5
2015-01,6
2016-01,3
2017-01,3
2018-01,2
2019-01,5
2020-01,7
2021-01,9
2022-01,3
2023-01,2
2024-01,1
