Date,Propósito y Visión
1950-01,0
1951-01,0
1952-01,0
1953-01,0
1954-01,0
1955-01,0
1956-01,0
1957-01,0
1958-01,0
1959-01,0
1960-01,0
1961-01,0
1962-01,0
1963-01,0
1964-01,0
1965-01,0
1966-01,0
1967-01,0
1968-01,0
1969-01,0
1970-01,3
1971-01,0
1972-01,0
1973-01,0
1974-01,0
1975-01,0
1976-01,0
1977-01,0
1978-01,0
1979-01,1
1980-01,0
1981-01,0
1982-01,0
1983-01,1
1984-01,1
1985-01,0
1986-01,2
1987-01,6
1988-01,2
1989-01,2
1990-01,2
1991-01,1
1992-01,5
1993-01,3
1994-01,6
1995-01,5
1996-01,5
1997-01,9
1998-01,6
1999-01,3
2000-01,6
2001-01,7
2002-01,7
2003-01,11
2004-01,10
2005-01,8
2006-01,7
2007-01,16
2008-01,10
2009-01,10
2010-01,7
2011-01,12
2012-01,11
2013-01,26
2014-01,17
2015-01,23
2016-01,23
2017-01,28
2018-01,24
2019-01,28
2020-01,41
2021-01,41
2022-01,43
2023-01,49
2024-01,37
