Date,Reingeniería de Procesos
1950-01,0
1951-01,0
1952-01,0
1953-01,0
1954-01,0
1955-01,0
1956-01,0
1957-01,0
1958-01,0
1959-01,0
1960-01,0
1961-01,0
1962-01,0
1963-01,0
1964-01,0
1965-01,0
1966-01,0
1967-01,0
1968-01,0
1969-01,0
1970-01,1
1971-01,0
1972-01,0
1973-01,0
1974-01,0
1975-01,0
1976-01,0
1977-01,0
1978-01,0
1979-01,0
1980-01,0
1981-01,0
1982-01,0
1983-01,0
1984-01,0
1985-01,0
1986-01,1
1987-01,0
1988-01,0
1989-01,2
1990-01,1
1991-01,5
1992-01,7
1993-01,41
1994-01,116
1995-01,163
1996-01,195
1997-01,145
1998-01,142
1999-01,122
2000-01,110
2001-01,74
2002-01,74
2003-01,77
2004-01,61
2005-01,69
2006-01,89
2007-01,77
2008-01,90
2009-01,81
2010-01,98
2011-01,122
2012-01,116
2013-01,121
2014-01,109
2015-01,101
2016-01,104
2017-01,122
2018-01,140
2019-01,143
2020-01,142
2021-01,166
2022-01,147
2023-01,145
2024-01,162
