Date,Segmentación de Clientes
1950-01,0
1951-01,0
1952-01,0
1953-01,0
1954-01,0
1955-01,0
1956-01,1
1957-01,0
1958-01,0
1959-01,0
1960-01,0
1961-01,2
1962-01,0
1963-01,1
1964-01,0
1965-01,1
1966-01,2
1967-01,4
1968-01,4
1969-01,3
1970-01,4
1971-01,6
1972-01,7
1973-01,10
1974-01,12
1975-01,14
1976-01,15
1977-01,15
1978-01,21
1979-01,7
1980-01,14
1981-01,8
1982-01,15
1983-01,13
1984-01,17
1985-01,15
1986-01,15
1987-01,20
1988-01,13
1989-01,18
1990-01,19
1991-01,17
1992-01,24
1993-01,16
1994-01,20
1995-01,27
1996-01,32
1997-01,32
1998-01,29
1999-01,25
2000-01,38
2001-01,36
2002-01,44
2003-01,41
2004-01,39
2005-01,44
2006-01,52
2007-01,66
2008-01,66
2009-01,87
2010-01,99
2011-01,101
2012-01,94
2013-01,100
2014-01,119
2015-01,103
2016-01,107
2017-01,122
2018-01,139
2019-01,145
2020-01,154
2021-01,202
2022-01,249
2023-01,249
2024-01,346
