Source,SourceCode,Tool,ToolCode,Title,Subtitle
Bain & Company Satisfaction,BS,Reingeniería de Procesos,01-BS,Análisis cuantitativo del Índice Perceptivo de Satisfacción - Bain & Co - para ,Revisión del índice de satisfacción de ejecutivos (encuestas Bain & Co.) para medir la valoración subjetiva de utilidad y expectativas
Bain & Company Satisfaction,BS,Gestión de la Cadena de Suministro,02-BS,Análisis cuantitativo del Índice Perceptivo de Satisfacción - Bain & Co - para ,Revisión del índice de satisfacción de ejecutivos (encuestas Bain & Co.) para medir la valoración subjetiva de utilidad y expectativas
Bain & Company Satisfaction,BS,Planificación de Escenarios,03-BS,Análisis cuantitativo del Índice Perceptivo de Satisfacción - Bain & Co - para ,Revisión del índice de satisfacción de ejecutivos (encuestas Bain & Co.) para medir la valoración subjetiva de utilidad y expectativas
Bain & Company Satisfaction,BS,Planificación Estratégica,04-BS,Análisis cuantitativo del Índice Perceptivo de Satisfacción - Bain & Co - para ,Revisión del índice de satisfacción de ejecutivos (encuestas Bain & Co.) para medir la valoración subjetiva de utilidad y expectativas
Bain & Company Satisfaction,BS,Experiencia del Cliente,05-BS,Análisis cuantitativo del Índice Perceptivo de Satisfacción - Bain & Co - para ,Revisión del índice de satisfacción de ejecutivos (encuestas Bain & Co.) para medir la valoración subjetiva de utilidad y expectativas
Bain & Company Satisfaction,BS,Calidad Total,06-BS,Análisis cuantitativo del Índice Perceptivo de Satisfacción - Bain & Co - para ,Revisión del índice de satisfacción de ejecutivos (encuestas Bain & Co.) para medir la valoración subjetiva de utilidad y expectativas
Bain & Company Satisfaction,BS,Propósito y Visión,07-BS,Análisis cuantitativo del Índice Perceptivo de Satisfacción - Bain & Co - para ,Revisión del índice de satisfacción de ejecutivos (encuestas Bain & Co.) para medir la valoración subjetiva de utilidad y expectativas
Bain & Company Satisfaction,BS,Benchmarking,08-BS,Análisis cuantitativo del Índice Perceptivo de Satisfacción - Bain & Co - para ,Revisión del índice de satisfacción de ejecutivos (encuestas Bain & Co.) para medir la valoración subjetiva de utilidad y expectativas
Bain & Company Satisfaction,BS,Competencias Centrales,09-BS,Análisis cuantitativo del Índice Perceptivo de Satisfacción - Bain & Co - para ,Revisión del índice de satisfacción de ejecutivos (encuestas Bain & Co.) para medir la valoración subjetiva de utilidad y expectativas
Bain & Company Satisfaction,BS,Cuadro de Mando Integral,10-BS,Análisis cuantitativo del Índice Perceptivo de Satisfacción - Bain & Co - para ,Revisión del índice de satisfacción de ejecutivos (encuestas Bain & Co.) para medir la valoración subjetiva de utilidad y expectativas
Bain & Company Satisfaction,BS,Alianzas y Capital de Riesgo,11-BS,Análisis cuantitativo del Índice Perceptivo de Satisfacción - Bain & Co - para ,Revisión del índice de satisfacción de ejecutivos (encuestas Bain & Co.) para medir la valoración subjetiva de utilidad y expectativas
Bain & Company Satisfaction,BS,Outsourcing,12-BS,Análisis cuantitativo del Índice Perceptivo de Satisfacción - Bain & Co - para ,Revisión del índice de satisfacción de ejecutivos (encuestas Bain & Co.) para medir la valoración subjetiva de utilidad y expectativas
Bain & Company Satisfaction,BS,Segmentación de Clientes,13-BS,Análisis cuantitativo del Índice Perceptivo de Satisfacción - Bain & Co - para ,Revisión del índice de satisfacción de ejecutivos (encuestas Bain & Co.) para medir la valoración subjetiva de utilidad y expectativas
Bain & Company Satisfaction,BS,Fusiones y Adquisiciones,14-BS,Análisis cuantitativo del Índice Perceptivo de Satisfacción - Bain & Co - para ,Revisión del índice de satisfacción de ejecutivos (encuestas Bain & Co.) para medir la valoración subjetiva de utilidad y expectativas
Bain & Company Satisfaction,BS,Gestión de Costos,15-BS,Análisis cuantitativo del Índice Perceptivo de Satisfacción - Bain & Co - para ,Revisión del índice de satisfacción de ejecutivos (encuestas Bain & Co.) para medir la valoración subjetiva de utilidad y expectativas
Bain & Company Satisfaction,BS,Presupuesto Base Cero,16-BS,Análisis cuantitativo del Índice Perceptivo de Satisfacción - Bain & Co - para ,Revisión del índice de satisfacción de ejecutivos (encuestas Bain & Co.) para medir la valoración subjetiva de utilidad y expectativas
Bain & Company Satisfaction,BS,Estrategias de Crecimiento,17-BS,Análisis cuantitativo del Índice Perceptivo de Satisfacción - Bain & Co - para ,Revisión del índice de satisfacción de ejecutivos (encuestas Bain & Co.) para medir la valoración subjetiva de utilidad y expectativas
Bain & Company Satisfaction,BS,Gestión del Conocimiento,18-BS,Análisis cuantitativo del Índice Perceptivo de Satisfacción - Bain & Co - para ,Revisión del índice de satisfacción de ejecutivos (encuestas Bain & Co.) para medir la valoración subjetiva de utilidad y expectativas
Bain & Company Satisfaction,BS,Gestión del Cambio,19-BS,Análisis cuantitativo del Índice Perceptivo de Satisfacción - Bain & Co - para ,Revisión del índice de satisfacción de ejecutivos (encuestas Bain & Co.) para medir la valoración subjetiva de utilidad y expectativas
Bain & Company Satisfaction,BS,Optimización de Precios,20-BS,Análisis cuantitativo del Índice Perceptivo de Satisfacción - Bain & Co - para ,Revisión del índice de satisfacción de ejecutivos (encuestas Bain & Co.) para medir la valoración subjetiva de utilidad y expectativas
Bain & Company Satisfaction,BS,Lealtad del Cliente,21-BS,Análisis cuantitativo del Índice Perceptivo de Satisfacción - Bain & Co - para ,Revisión del índice de satisfacción de ejecutivos (encuestas Bain & Co.) para medir la valoración subjetiva de utilidad y expectativas
Bain & Company Satisfaction,BS,Innovación Colaborativa,22-BS,Análisis cuantitativo del Índice Perceptivo de Satisfacción - Bain & Co - para ,Revisión del índice de satisfacción de ejecutivos (encuestas Bain & Co.) para medir la valoración subjetiva de utilidad y expectativas
Bain & Company Satisfaction,BS,Talento y Compromiso,23-BS,Análisis cuantitativo del Índice Perceptivo de Satisfacción - Bain & Co - para ,Revisión del índice de satisfacción de ejecutivos (encuestas Bain & Co.) para medir la valoración subjetiva de utilidad y expectativas
Bain & Company Usability,BU,Reingeniería de Procesos,01-BU,Análisis estadístico de la Tasa de adopción y usabilidad - Bain & Co - para ,Examen basado en respuestas de ejecutivos (encuestas Bain & Co.) para medir uso e implementación en el entorno y la práctica organizacional
Bain & Company Usability,BU,Gestión de la Cadena de Suministro,02-BU,Análisis estadístico de la Tasa de adopción y usabilidad - Bain & Co - para ,Examen basado en respuestas de ejecutivos (encuestas Bain & Co.) para medir uso e implementación en el entorno y la práctica organizacional
