Nro.;Cód;Título;Herramienta;Subtítulo
70;01-BU;Análisis estadístico de la Tasa de adopción y usabilidad - Bain & Co - para ;Reingeniería de Procesos;Examen basado en respuestas de ejecutivos (encuestas Bain & Co.) para medir uso e implementación en el entorno y la práctica organizacional
71;02-BU;Análisis estadístico de la Tasa de adopción y usabilidad - Bain & Co - para ;Gestión de la Cadena de Suministro;Examen basado en respuestas de ejecutivos (encuestas Bain & Co.) para medir uso e implementación en el entorno y la práctica organizacional
72;03-BU;Análisis estadístico de la Tasa de adopción y usabilidad - Bain & Co - para ;Planificación de Escenarios;Examen basado en respuestas de ejecutivos (encuestas Bain & Co.) para medir uso e implementación en el entorno y la práctica organizacional
73;04-BU;Análisis estadístico de la Tasa de adopción y usabilidad - Bain & Co - para ;Planificación Estratégica;Examen basado en respuestas de ejecutivos (encuestas Bain & Co.) para medir uso e implementación en el entorno y la práctica organizacional
74;05-BU;Análisis estadístico de la Tasa de adopción y usabilidad - Bain & Co - para ;Experiencia del Cliente;Examen basado en respuestas de ejecutivos (encuestas Bain & Co.) para medir uso e implementación en el entorno y la práctica organizacional
75;06-BU;Análisis estadístico de la Tasa de adopción y usabilidad - Bain & Co - para ;Calidad Total;Examen basado en respuestas de ejecutivos (encuestas Bain & Co.) para medir uso e implementación en el entorno y la práctica organizacional
76;07-BU;Análisis estadístico de la Tasa de adopción y usabilidad - Bain & Co - para ;Propósito y Visión;Examen basado en respuestas de ejecutivos (encuestas Bain & Co.) para medir uso e implementación en el entorno y la práctica organizacional
77;08-BU;Análisis estadístico de la Tasa de adopción y usabilidad - Bain & Co - para ;Benchmarking;Examen basado en respuestas de ejecutivos (encuestas Bain & Co.) para medir uso e implementación en el entorno y la práctica organizacional
78;09-BU;Análisis estadístico de la Tasa de adopción y usabilidad - Bain & Co - para ;Competencias Centrales;Examen basado en respuestas de ejecutivos (encuestas Bain & Co.) para medir uso e implementación en el entorno y la práctica organizacional
79;10-BU;Análisis estadístico de la Tasa de adopción y usabilidad - Bain & Co - para ;Cuadro de Mando Integral;Examen basado en respuestas de ejecutivos (encuestas Bain & Co.) para medir uso e implementación en el entorno y la práctica organizacional
80;11-BU;Análisis estadístico de la Tasa de adopción y usabilidad - Bain & Co - para ;Alianzas y Capital de Riesgo;Examen basado en respuestas de ejecutivos (encuestas Bain & Co.) para medir uso e implementación en el entorno y la práctica organizacional
81;12-BU;Análisis estadístico de la Tasa de adopción y usabilidad - Bain & Co - para ;Outsourcing;Examen basado en respuestas de ejecutivos (encuestas Bain & Co.) para medir uso e implementación en el entorno y la práctica organizacional
82;13-BU;Análisis estadístico de la Tasa de adopción y usabilidad - Bain & Co - para ;Segmentación de Clientes;Examen basado en respuestas de ejecutivos (encuestas Bain & Co.) para medir uso e implementación en el entorno y la práctica organizacional
83;14-BU;Análisis estadístico de la Tasa de adopción y usabilidad - Bain & Co - para ;Fusiones y Adquisiciones;Examen basado en respuestas de ejecutivos (encuestas Bain & Co.) para medir uso e implementación en el entorno y la práctica organizacional
84;15-BU;Análisis estadístico de la Tasa de adopción y usabilidad - Bain & Co - para ;Gestión de Costos;Examen basado en respuestas de ejecutivos (encuestas Bain & Co.) para medir uso e implementación en el entorno y la práctica organizacional
85;16-BU;Análisis estadístico de la Tasa de adopción y usabilidad - Bain & Co - para ;Presupuesto Base Cero;Examen basado en respuestas de ejecutivos (encuestas Bain & Co.) para medir uso e implementación en el entorno y la práctica organizacional
86;17-BU;Análisis estadístico de la Tasa de adopción y usabilidad - Bain & Co - para ;Estrategias de Crecimiento;Examen basado en respuestas de ejecutivos (encuestas Bain & Co.) para medir uso e implementación en el entorno y la práctica organizacional
87;18-BU;Análisis estadístico de la Tasa de adopción y usabilidad - Bain & Co - para ;Gestión del Conocimiento;Examen basado en respuestas de ejecutivos (encuestas Bain & Co.) para medir uso e implementación en el entorno y la práctica organizacional
88;19-BU;Análisis estadístico de la Tasa de adopción y usabilidad - Bain & Co - para ;Gestión del Cambio;Examen basado en respuestas de ejecutivos (encuestas Bain & Co.) para medir uso e implementación en el entorno y la práctica organizacional
89;20-BU;Análisis estadístico de la Tasa de adopción y usabilidad - Bain & Co - para ;Optimización de Precios;Examen basado en respuestas de ejecutivos (encuestas Bain & Co.) para medir uso e implementación en el entorno y la práctica organizacional
90;21-BU;Análisis estadístico de la Tasa de adopción y usabilidad - Bain & Co - para ;Lealtad del Cliente;Examen basado en respuestas de ejecutivos (encuestas Bain & Co.) para medir uso e implementación en el entorno y la práctica organizacional
91;22-BU;Análisis estadístico de la Tasa de adopción y usabilidad - Bain & Co - para ;Innovación Colaborativa;Examen basado en respuestas de ejecutivos (encuestas Bain & Co.) para medir uso e implementación en el entorno y la práctica organizacional
92;23-BU;Análisis estadístico de la Tasa de adopción y usabilidad - Bain & Co - para ;Talento y Compromiso;Examen basado en respuestas de ejecutivos (encuestas Bain & Co.) para medir uso e implementación en el entorno y la práctica organizacional
