Nro.;Cód;Título;Herramienta;Subtítulo
47;01-CR;Análisis bibliométrico de Publicaciones Académicas Indexadas en Crossref.org para;Reingeniería de Procesos;Evaluación de la producción científica reconocida sobre adopción, difusión y uso académico en la investigación revisada por pares
48;02-CR;Análisis bibliométrico de Publicaciones Académicas Indexadas en Crossref.org para;Gestión de la Cadena de Suministro;Evaluación de la producción científica reconocida sobre adopción, difusión y uso académico en la investigación revisada por pares
49;03-CR;Análisis bibliométrico de Publicaciones Académicas Indexadas en Crossref.org para;Planificación de Escenarios;Evaluación de la producción científica reconocida sobre adopción, difusión y uso académico en la investigación revisada por pares
50;04-CR;Análisis bibliométrico de Publicaciones Académicas Indexadas en Crossref.org para;Planificación Estratégica;Evaluación de la producción científica reconocida sobre adopción, difusión y uso académico en la investigación revisada por pares
51;05-CR;Análisis bibliométrico de Publicaciones Académicas Indexadas en Crossref.org para;Experiencia del Cliente;Evaluación de la producción científica reconocida sobre adopción, difusión y uso académico en la investigación revisada por pares
52;06-CR;Análisis bibliométrico de Publicaciones Académicas Indexadas en Crossref.org para;Calidad Total;Evaluación de la producción científica reconocida sobre adopción, difusión y uso académico en la investigación revisada por pares
53;07-CR;Análisis bibliométrico de Publicaciones Académicas Indexadas en Crossref.org para;Propósito y Visión;Evaluación de la producción científica reconocida sobre adopción, difusión y uso académico en la investigación revisada por pares
54;08-CR;Análisis bibliométrico de Publicaciones Académicas Indexadas en Crossref.org para;Benchmarking;Evaluación de la producción científica reconocida sobre adopción, difusión y uso académico en la investigación revisada por pares
55;09-CR;Análisis bibliométrico de Publicaciones Académicas Indexadas en Crossref.org para;Competencias Centrales;Evaluación de la producción científica reconocida sobre adopción, difusión y uso académico en la investigación revisada por pares
56;10-CR;Análisis bibliométrico de Publicaciones Académicas Indexadas en Crossref.org para;Cuadro de Mando Integral;Evaluación de la producción científica reconocida sobre adopción, difusión y uso académico en la investigación revisada por pares
57;11-CR;Análisis bibliométrico de Publicaciones Académicas Indexadas en Crossref.org para;Alianzas y Capital de Riesgo;Evaluación de la producción científica reconocida sobre adopción, difusión y uso académico en la investigación revisada por pares
58;12-CR;Análisis bibliométrico de Publicaciones Académicas Indexadas en Crossref.org para;Outsourcing;Evaluación de la producción científica reconocida sobre adopción, difusión y uso académico en la investigación revisada por pares
59;13-CR;Análisis bibliométrico de Publicaciones Académicas Indexadas en Crossref.org para;Segmentación de Clientes;Evaluación de la producción científica reconocida sobre adopción, difusión y uso académico en la investigación revisada por pares
60;14-CR;Análisis bibliométrico de Publicaciones Académicas Indexadas en Crossref.org para;Fusiones y Adquisiciones;Evaluación de la producción científica reconocida sobre adopción, difusión y uso académico en la investigación revisada por pares
61;15-CR;Análisis bibliométrico de Publicaciones Académicas Indexadas en Crossref.org para;Gestión de Costos;Evaluación de la producción científica reconocida sobre adopción, difusión y uso académico en la investigación revisada por pares
62;16-CR;Análisis bibliométrico de Publicaciones Académicas Indexadas en Crossref.org para;Presupuesto Base Cero;Evaluación de la producción científica reconocida sobre adopción, difusión y uso académico en la investigación revisada por pares
63;17-CR;Análisis bibliométrico de Publicaciones Académicas Indexadas en Crossref.org para;Estrategias de Crecimiento;Evaluación de la producción científica reconocida sobre adopción, difusión y uso académico en la investigación revisada por pares
64;18-CR;Análisis bibliométrico de Publicaciones Académicas Indexadas en Crossref.org para;Gestión del Conocimiento;Evaluación de la producción científica reconocida sobre adopción, difusión y uso académico en la investigación revisada por pares
65;19-CR;Análisis bibliométrico de Publicaciones Académicas Indexadas en Crossref.org para;Gestión del Cambio;Evaluación de la producción científica reconocida sobre adopción, difusión y uso académico en la investigación revisada por pares
66;20-CR;Análisis bibliométrico de Publicaciones Académicas Indexadas en Crossref.org para;Optimización de Precios;Evaluación de la producción científica reconocida sobre adopción, difusión y uso académico en la investigación revisada por pares
67;21-CR;Análisis bibliométrico de Publicaciones Académicas Indexadas en Crossref.org para;Lealtad del Cliente;Evaluación de la producción científica reconocida sobre adopción, difusión y uso académico en la investigación revisada por pares
68;22-CR;Análisis bibliométrico de Publicaciones Académicas Indexadas en Crossref.org para;Innovación Colaborativa;Evaluación de la producción científica reconocida sobre adopción, difusión y uso académico en la investigación revisada por pares
69;23-CR;Análisis bibliométrico de Publicaciones Académicas Indexadas en Crossref.org para;Talento y Compromiso;Evaluación de la producción científica reconocida sobre adopción, difusión y uso académico en la investigación revisada por pares
