Nro.;Cód;Título;Herramienta;Subtítulo
24;01-GB;Análisis de Frecuencia en el Corpus Literario de Google Books Ngram para ;Reingeniería de Procesos;Exploración diacrónico de la frecuencia de términos en libros para identificar patrones de uso, adopción y evolución conceptual en la literatura publicada
25;02-GB;Análisis de Frecuencia en el Corpus Literario de Google Books Ngram para ;Gestión de la Cadena de Suministro;Exploración diacrónico de la frecuencia de términos en libros para identificar patrones de uso, adopción y evolución conceptual en la literatura publicada
26;03-GB;Análisis de Frecuencia en el Corpus Literario de Google Books Ngram para ;Planificación de Escenarios;Exploración diacrónico de la frecuencia de términos en libros para identificar patrones de uso, adopción y evolución conceptual en la literatura publicada
27;04-GB;Análisis de Frecuencia en el Corpus Literario de Google Books Ngram para ;Planificación Estratégica;Exploración diacrónico de la frecuencia de términos en libros para identificar patrones de uso, adopción y evolución conceptual en la literatura publicada
28;05-GB;Análisis de Frecuencia en el Corpus Literario de Google Books Ngram para ;Experiencia del Cliente;Exploración diacrónico de la frecuencia de términos en libros para identificar patrones de uso, adopción y evolución conceptual en la literatura publicada
29;06-GB;Análisis de Frecuencia en el Corpus Literario de Google Books Ngram para ;Calidad Total;Exploración diacrónico de la frecuencia de términos en libros para identificar patrones de uso, adopción y evolución conceptual en la literatura publicada
30;07-GB;Análisis de Frecuencia en el Corpus Literario de Google Books Ngram para ;Propósito y Visión;Exploración diacrónico de la frecuencia de términos en libros para identificar patrones de uso, adopción y evolución conceptual en la literatura publicada
31;08-GB;Análisis de Frecuencia en el Corpus Literario de Google Books Ngram para ;Benchmarking;Exploración diacrónico de la frecuencia de términos en libros para identificar patrones de uso, adopción y evolución conceptual en la literatura publicada
32;09-GB;Análisis de Frecuencia en el Corpus Literario de Google Books Ngram para ;Competencias Centrales;Exploración diacrónico de la frecuencia de términos en libros para identificar patrones de uso, adopción y evolución conceptual en la literatura publicada
33;10-GB;Análisis de Frecuencia en el Corpus Literario de Google Books Ngram para ;Cuadro de Mando Integral;Exploración diacrónico de la frecuencia de términos en libros para identificar patrones de uso, adopción y evolución conceptual en la literatura publicada
34;11-GB;Análisis de Frecuencia en el Corpus Literario de Google Books Ngram para ;Alianzas y Capital de Riesgo;Exploración diacrónico de la frecuencia de términos en libros para identificar patrones de uso, adopción y evolución conceptual en la literatura publicada
35;12-GB;Análisis de Frecuencia en el Corpus Literario de Google Books Ngram para ;Outsourcing;Exploración diacrónico de la frecuencia de términos en libros para identificar patrones de uso, adopción y evolución conceptual en la literatura publicada
36;13-GB;Análisis de Frecuencia en el Corpus Literario de Google Books Ngram para ;Segmentación de Clientes;Exploración diacrónico de la frecuencia de términos en libros para identificar patrones de uso, adopción y evolución conceptual en la literatura publicada
37;14-GB;Análisis de Frecuencia en el Corpus Literario de Google Books Ngram para ;Fusiones y Adquisiciones;Exploración diacrónico de la frecuencia de términos en libros para identificar patrones de uso, adopción y evolución conceptual en la literatura publicada
38;15-GB;Análisis de Frecuencia en el Corpus Literario de Google Books Ngram para ;Gestión de Costos;Exploración diacrónico de la frecuencia de términos en libros para identificar patrones de uso, adopción y evolución conceptual en la literatura publicada
39;16-GB;Análisis de Frecuencia en el Corpus Literario de Google Books Ngram para ;Presupuesto Base Cero;Exploración diacrónico de la frecuencia de términos en libros para identificar patrones de uso, adopción y evolución conceptual en la literatura publicada
40;17-GB;Análisis de Frecuencia en el Corpus Literario de Google Books Ngram para ;Estrategias de Crecimiento;Exploración diacrónico de la frecuencia de términos en libros para identificar patrones de uso, adopción y evolución conceptual en la literatura publicada
41;18-GB;Análisis de Frecuencia en el Corpus Literario de Google Books Ngram para ;Gestión del Conocimiento;Exploración diacrónico de la frecuencia de términos en libros para identificar patrones de uso, adopción y evolución conceptual en la literatura publicada
42;19-GB;Análisis de Frecuencia en el Corpus Literario de Google Books Ngram para ;Gestión del Cambio;Exploración diacrónico de la frecuencia de términos en libros para identificar patrones de uso, adopción y evolución conceptual en la literatura publicada
43;20-GB;Análisis de Frecuencia en el Corpus Literario de Google Books Ngram para ;Optimización de Precios;Exploración diacrónico de la frecuencia de términos en libros para identificar patrones de uso, adopción y evolución conceptual en la literatura publicada
44;21-GB;Análisis de Frecuencia en el Corpus Literario de Google Books Ngram para ;Lealtad del Cliente;Exploración diacrónico de la frecuencia de términos en libros para identificar patrones de uso, adopción y evolución conceptual en la literatura publicada
45;22-GB;Análisis de Frecuencia en el Corpus Literario de Google Books Ngram para ;Innovación Colaborativa;Exploración diacrónico de la frecuencia de términos en libros para identificar patrones de uso, adopción y evolución conceptual en la literatura publicada
46;23-GB;Análisis de Frecuencia en el Corpus Literario de Google Books Ngram para ;Talento y Compromiso;Exploración diacrónico de la frecuencia de términos en libros para identificar patrones de uso, adopción y evolución conceptual en la literatura publicada
