Nro.;Cód;Título;Herramienta;Subtítulo
116;01-IC;Informe complementario: Análisis estadístico comparativo multifuente para;Reingeniería de Procesos;Panorama estadístico: Convergencia de tendencias y correlaciones de métricas del ecosistema de datos (cinco fuentes)
117;02-IC;Informe complementario: Análisis estadístico comparativo multifuente para;Gestión de la Cadena de Suministro;Panorama estadístico: Convergencia de tendencias y correlaciones de métricas del ecosistema de datos (cinco fuentes)
118;03-IC;Informe complementario: Análisis estadístico comparativo multifuente para;Planificación de Escenarios;Panorama estadístico: Convergencia de tendencias y correlaciones de métricas del ecosistema de datos (cinco fuentes)
119;04-IC;Informe complementario: Análisis estadístico comparativo multifuente para;Planificación Estratégica;Panorama estadístico: Convergencia de tendencias y correlaciones de métricas del ecosistema de datos (cinco fuentes)
120;05-IC;Informe complementario: Análisis estadístico comparativo multifuente para;Experiencia del Cliente;Panorama estadístico: Convergencia de tendencias y correlaciones de métricas del ecosistema de datos (cinco fuentes)
121;06-IC;Informe complementario: Análisis estadístico comparativo multifuente para;Calidad Total;Panorama estadístico: Convergencia de tendencias y correlaciones de métricas del ecosistema de datos (cinco fuentes)
122;07-IC;Informe complementario: Análisis estadístico comparativo multifuente para;Propósito y Visión;Panorama estadístico: Convergencia de tendencias y correlaciones de métricas del ecosistema de datos (cinco fuentes)
123;08-IC;Informe complementario: Análisis estadístico comparativo multifuente para;Benchmarking;Panorama estadístico: Convergencia de tendencias y correlaciones de métricas del ecosistema de datos (cinco fuentes)
124;09-IC;Informe complementario: Análisis estadístico comparativo multifuente para;Competencias Centrales;Panorama estadístico: Convergencia de tendencias y correlaciones de métricas del ecosistema de datos (cinco fuentes)
125;10-IC;Informe complementario: Análisis estadístico comparativo multifuente para;Cuadro de Mando Integral;Panorama estadístico: Convergencia de tendencias y correlaciones de métricas del ecosistema de datos (cinco fuentes)
126;11-IC;Informe complementario: Análisis estadístico comparativo multifuente para;Alianzas y Capital de Riesgo;Panorama estadístico: Convergencia de tendencias y correlaciones de métricas del ecosistema de datos (cinco fuentes)
127;12-IC;Informe complementario: Análisis estadístico comparativo multifuente para;Outsourcing;Panorama estadístico: Convergencia de tendencias y correlaciones de métricas del ecosistema de datos (cinco fuentes)
128;13-IC;Informe complementario: Análisis estadístico comparativo multifuente para;Segmentación de Clientes;Panorama estadístico: Convergencia de tendencias y correlaciones de métricas del ecosistema de datos (cinco fuentes)
129;14-IC;Informe complementario: Análisis estadístico comparativo multifuente para;Fusiones y Adquisiciones;Panorama estadístico: Convergencia de tendencias y correlaciones de métricas del ecosistema de datos (cinco fuentes)
130;15-IC;Informe complementario: Análisis estadístico comparativo multifuente para;Gestión de Costos;Panorama estadístico: Convergencia de tendencias y correlaciones de métricas del ecosistema de datos (cinco fuentes)
131;16-IC;Informe complementario: Análisis estadístico comparativo multifuente para;Presupuesto Base Cero;Panorama estadístico: Convergencia de tendencias y correlaciones de métricas del ecosistema de datos (cinco fuentes)
132;17-IC;Informe complementario: Análisis estadístico comparativo multifuente para;Estrategias de Crecimiento;Panorama estadístico: Convergencia de tendencias y correlaciones de métricas del ecosistema de datos (cinco fuentes)
133;18-IC;Informe complementario: Análisis estadístico comparativo multifuente para;Gestión del Conocimiento;Panorama estadístico: Convergencia de tendencias y correlaciones de métricas del ecosistema de datos (cinco fuentes)
134;19-IC;Informe complementario: Análisis estadístico comparativo multifuente para;Gestión del Cambio;Panorama estadístico: Convergencia de tendencias y correlaciones de métricas del ecosistema de datos (cinco fuentes)
135;20-IC;Informe complementario: Análisis estadístico comparativo multifuente para;Optimización de Precios;Panorama estadístico: Convergencia de tendencias y correlaciones de métricas del ecosistema de datos (cinco fuentes)
136;21-IC;Informe complementario: Análisis estadístico comparativo multifuente para;Lealtad del Cliente;Panorama estadístico: Convergencia de tendencias y correlaciones de métricas del ecosistema de datos (cinco fuentes)
137;22-IC;Informe complementario: Análisis estadístico comparativo multifuente para;Innovación Colaborativa;Panorama estadístico: Convergencia de tendencias y correlaciones de métricas del ecosistema de datos (cinco fuentes)
138;23-IC;Informe complementario: Análisis estadístico comparativo multifuente para;Talento y Compromiso;Panorama estadístico: Convergencia de tendencias y correlaciones de métricas del ecosistema de datos (cinco fuentes)
