Nro.;Cód;Título;Herramienta;Subtítulo
093;01-BS;Análisis cuantitativo del Índice Perceptivo de Satisfacción - Bain & Co - para ;Reingeniería de Procesos;Revisión del índice de satisfacción de ejecutivos (encuestas Bain & Co.) para medir la valoración subjetiva de utilidad y expectativas
094;02-BS;Análisis cuantitativo del Índice Perceptivo de Satisfacción - Bain & Co - para ;Gestión de la Cadena de Suministro;Revisión del índice de satisfacción de ejecutivos (encuestas Bain & Co.) para medir la valoración subjetiva de utilidad y expectativas
095;03-BS;Análisis cuantitativo del Índice Perceptivo de Satisfacción - Bain & Co - para ;Planificación de Escenarios;Revisión del índice de satisfacción de ejecutivos (encuestas Bain & Co.) para medir la valoración subjetiva de utilidad y expectativas
096;04-BS;Análisis cuantitativo del Índice Perceptivo de Satisfacción - Bain & Co - para ;Planificación Estratégica;Revisión del índice de satisfacción de ejecutivos (encuestas Bain & Co.) para medir la valoración subjetiva de utilidad y expectativas
097;05-BS;Análisis cuantitativo del Índice Perceptivo de Satisfacción - Bain & Co - para ;Experiencia del Cliente;Revisión del índice de satisfacción de ejecutivos (encuestas Bain & Co.) para medir la valoración subjetiva de utilidad y expectativas
098;06-BS;Análisis cuantitativo del Índice Perceptivo de Satisfacción - Bain & Co - para ;Calidad Total;Revisión del índice de satisfacción de ejecutivos (encuestas Bain & Co.) para medir la valoración subjetiva de utilidad y expectativas
099;07-BS;Análisis cuantitativo del Índice Perceptivo de Satisfacción - Bain & Co - para ;Propósito y Visión;Revisión del índice de satisfacción de ejecutivos (encuestas Bain & Co.) para medir la valoración subjetiva de utilidad y expectativas
100;08-BS;Análisis cuantitativo del Índice Perceptivo de Satisfacción - Bain & Co - para ;Benchmarking;Revisión del índice de satisfacción de ejecutivos (encuestas Bain & Co.) para medir la valoración subjetiva de utilidad y expectativas
101;09-BS;Análisis cuantitativo del Índice Perceptivo de Satisfacción - Bain & Co - para ;Competencias Centrales;Revisión del índice de satisfacción de ejecutivos (encuestas Bain & Co.) para medir la valoración subjetiva de utilidad y expectativas
102;10-BS;Análisis cuantitativo del Índice Perceptivo de Satisfacción - Bain & Co - para ;Cuadro de Mando Integral;Revisión del índice de satisfacción de ejecutivos (encuestas Bain & Co.) para medir la valoración subjetiva de utilidad y expectativas
103;11-BS;Análisis cuantitativo del Índice Perceptivo de Satisfacción - Bain & Co - para ;Alianzas y Capital de Riesgo;Revisión del índice de satisfacción de ejecutivos (encuestas Bain & Co.) para medir la valoración subjetiva de utilidad y expectativas
104;12-BS;Análisis cuantitativo del Índice Perceptivo de Satisfacción - Bain & Co - para ;Outsourcing;Revisión del índice de satisfacción de ejecutivos (encuestas Bain & Co.) para medir la valoración subjetiva de utilidad y expectativas
105;13-BS;Análisis cuantitativo del Índice Perceptivo de Satisfacción - Bain & Co - para ;Segmentación de Clientes;Revisión del índice de satisfacción de ejecutivos (encuestas Bain & Co.) para medir la valoración subjetiva de utilidad y expectativas
106;14-BS;Análisis cuantitativo del Índice Perceptivo de Satisfacción - Bain & Co - para ;Fusiones y Adquisiciones;Revisión del índice de satisfacción de ejecutivos (encuestas Bain & Co.) para medir la valoración subjetiva de utilidad y expectativas
107;15-BS;Análisis cuantitativo del Índice Perceptivo de Satisfacción - Bain & Co - para ;Gestión de Costos;Revisión del índice de satisfacción de ejecutivos (encuestas Bain & Co.) para medir la valoración subjetiva de utilidad y expectativas
108;16-BS;Análisis cuantitativo del Índice Perceptivo de Satisfacción - Bain & Co - para ;Presupuesto Base Cero;Revisión del índice de satisfacción de ejecutivos (encuestas Bain & Co.) para medir la valoración subjetiva de utilidad y expectativas
109;17-BS;Análisis cuantitativo del Índice Perceptivo de Satisfacción - Bain & Co - para ;Estrategias de Crecimiento;Revisión del índice de satisfacción de ejecutivos (encuestas Bain & Co.) para medir la valoración subjetiva de utilidad y expectativas
110;18-BS;Análisis cuantitativo del Índice Perceptivo de Satisfacción - Bain & Co - para ;Gestión del Conocimiento;Revisión del índice de satisfacción de ejecutivos (encuestas Bain & Co.) para medir la valoración subjetiva de utilidad y expectativas
111;19-BS;Análisis cuantitativo del Índice Perceptivo de Satisfacción - Bain & Co - para ;Gestión del Cambio;Revisión del índice de satisfacción de ejecutivos (encuestas Bain & Co.) para medir la valoración subjetiva de utilidad y expectativas
112;20-BS;Análisis cuantitativo del Índice Perceptivo de Satisfacción - Bain & Co - para ;Optimización de Precios;Revisión del índice de satisfacción de ejecutivos (encuestas Bain & Co.) para medir la valoración subjetiva de utilidad y expectativas
113;21-BS;Análisis cuantitativo del Índice Perceptivo de Satisfacción - Bain & Co - para ;Lealtad del Cliente;Revisión del índice de satisfacción de ejecutivos (encuestas Bain & Co.) para medir la valoración subjetiva de utilidad y expectativas
114;22-BS;Análisis cuantitativo del Índice Perceptivo de Satisfacción - Bain & Co - para ;Innovación Colaborativa;Revisión del índice de satisfacción de ejecutivos (encuestas Bain & Co.) para medir la valoración subjetiva de utilidad y expectativas
115;23-BS;Análisis cuantitativo del Índice Perceptivo de Satisfacción - Bain & Co - para ;Talento y Compromiso;Revisión del índice de satisfacción de ejecutivos (encuestas Bain & Co.) para medir la valoración subjetiva de utilidad y expectativas
