Nro.;Cód;Título;Herramienta;Subtítulo
070;01-BU;Análisis estadístico de la Tasa de adopción y usabilidad - Bain & Co - para ;Reingeniería de Procesos;Examen basado en respuestas de ejecutivos (encuestas Bain & Co.) para medir uso e implementación en el entorno y la práctica organizacional
071;02-BU;Análisis estadístico de la Tasa de adopción y usabilidad - Bain & Co - para ;Gestión de la Cadena de Suministro;Examen basado en respuestas de ejecutivos (encuestas Bain & Co.) para medir uso e implementación en el entorno y la práctica organizacional
072;03-BU;Análisis estadístico de la Tasa de adopción y usabilidad - Bain & Co - para ;Planificación de Escenarios;Examen basado en respuestas de ejecutivos (encuestas Bain & Co.) para medir uso e implementación en el entorno y la práctica organizacional
073;04-BU;Análisis estadístico de la Tasa de adopción y usabilidad - Bain & Co - para ;Planificación Estratégica;Examen basado en respuestas de ejecutivos (encuestas Bain & Co.) para medir uso e implementación en el entorno y la práctica organizacional
074;05-BU;Análisis estadístico de la Tasa de adopción y usabilidad - Bain & Co - para ;Experiencia del Cliente;Examen basado en respuestas de ejecutivos (encuestas Bain & Co.) para medir uso e implementación en el entorno y la práctica organizacional
075;06-BU;Análisis estadístico de la Tasa de adopción y usabilidad - Bain & Co - para ;Calidad Total;Examen basado en respuestas de ejecutivos (encuestas Bain & Co.) para medir uso e implementación en el entorno y la práctica organizacional
076;07-BU;Análisis estadístico de la Tasa de adopción y usabilidad - Bain & Co - para ;Propósito y Visión;Examen basado en respuestas de ejecutivos (encuestas Bain & Co.) para medir uso e implementación en el entorno y la práctica organizacional
077;08-BU;Análisis estadístico de la Tasa de adopción y usabilidad - Bain & Co - para ;Benchmarking;Examen basado en respuestas de ejecutivos (encuestas Bain & Co.) para medir uso e implementación en el entorno y la práctica organizacional
078;09-BU;Análisis estadístico de la Tasa de adopción y usabilidad - Bain & Co - para ;Competencias Centrales;Examen basado en respuestas de ejecutivos (encuestas Bain & Co.) para medir uso e implementación en el entorno y la práctica organizacional
079;10-BU;Análisis estadístico de la Tasa de adopción y usabilidad - Bain & Co - para ;Cuadro de Mando Integral;Examen basado en respuestas de ejecutivos (encuestas Bain & Co.) para medir uso e implementación en el entorno y la práctica organizacional
080;11-BU;Análisis estadístico de la Tasa de adopción y usabilidad - Bain & Co - para ;Alianzas y Capital de Riesgo;Examen basado en respuestas de ejecutivos (encuestas Bain & Co.) para medir uso e implementación en el entorno y la práctica organizacional
081;12-BU;Análisis estadístico de la Tasa de adopción y usabilidad - Bain & Co - para ;Outsourcing;Examen basado en respuestas de ejecutivos (encuestas Bain & Co.) para medir uso e implementación en el entorno y la práctica organizacional
082;13-BU;Análisis estadístico de la Tasa de adopción y usabilidad - Bain & Co - para ;Segmentación de Clientes;Examen basado en respuestas de ejecutivos (encuestas Bain & Co.) para medir uso e implementación en el entorno y la práctica organizacional
083;14-BU;Análisis estadístico de la Tasa de adopción y usabilidad - Bain & Co - para ;Fusiones y Adquisiciones;Examen basado en respuestas de ejecutivos (encuestas Bain & Co.) para medir uso e implementación en el entorno y la práctica organizacional
084;15-BU;Análisis estadístico de la Tasa de adopción y usabilidad - Bain & Co - para ;Gestión de Costos;Examen basado en respuestas de ejecutivos (encuestas Bain & Co.) para medir uso e implementación en el entorno y la práctica organizacional
085;16-BU;Análisis estadístico de la Tasa de adopción y usabilidad - Bain & Co - para ;Presupuesto Base Cero;Examen basado en respuestas de ejecutivos (encuestas Bain & Co.) para medir uso e implementación en el entorno y la práctica organizacional
086;17-BU;Análisis estadístico de la Tasa de adopción y usabilidad - Bain & Co - para ;Estrategias de Crecimiento;Examen basado en respuestas de ejecutivos (encuestas Bain & Co.) para medir uso e implementación en el entorno y la práctica organizacional
087;18-BU;Análisis estadístico de la Tasa de adopción y usabilidad - Bain & Co - para ;Gestión del Conocimiento;Examen basado en respuestas de ejecutivos (encuestas Bain & Co.) para medir uso e implementación en el entorno y la práctica organizacional
088;19-BU;Análisis estadístico de la Tasa de adopción y usabilidad - Bain & Co - para ;Gestión del Cambio;Examen basado en respuestas de ejecutivos (encuestas Bain & Co.) para medir uso e implementación en el entorno y la práctica organizacional
089;20-BU;Análisis estadístico de la Tasa de adopción y usabilidad - Bain & Co - para ;Optimización de Precios;Examen basado en respuestas de ejecutivos (encuestas Bain & Co.) para medir uso e implementación en el entorno y la práctica organizacional
090;21-BU;Análisis estadístico de la Tasa de adopción y usabilidad - Bain & Co - para ;Lealtad del Cliente;Examen basado en respuestas de ejecutivos (encuestas Bain & Co.) para medir uso e implementación en el entorno y la práctica organizacional
091;22-BU;Análisis estadístico de la Tasa de adopción y usabilidad - Bain & Co - para ;Innovación Colaborativa;Examen basado en respuestas de ejecutivos (encuestas Bain & Co.) para medir uso e implementación en el entorno y la práctica organizacional
092;23-BU;Análisis estadístico de la Tasa de adopción y usabilidad - Bain & Co - para ;Talento y Compromiso;Examen basado en respuestas de ejecutivos (encuestas Bain & Co.) para medir uso e implementación en el entorno y la práctica organizacional
