Nro.;Cód;Título;Herramienta;Subtítulo
047;01-CR;Análisis bibliométrico de Publicaciones Académicas Indexadas en Crossref.org para ;Reingeniería de Procesos;Evaluación de la producción científica reconocida sobre adopción, difusión y uso académico en la investigación revisada por pares
048;02-CR;Análisis bibliométrico de Publicaciones Académicas Indexadas en Crossref.org para ;Gestión de la Cadena de Suministro;Evaluación de la producción científica reconocida sobre adopción, difusión y uso académico en la investigación revisada por pares
049;03-CR;Análisis bibliométrico de Publicaciones Académicas Indexadas en Crossref.org para ;Planificación de Escenarios;Evaluación de la producción científica reconocida sobre adopción, difusión y uso académico en la investigación revisada por pares
050;04-CR;Análisis bibliométrico de Publicaciones Académicas Indexadas en Crossref.org para ;Planificación Estratégica;Evaluación de la producción científica reconocida sobre adopción, difusión y uso académico en la investigación revisada por pares
051;05-CR;Análisis bibliométrico de Publicaciones Académicas Indexadas en Crossref.org para ;Experiencia del Cliente;Evaluación de la producción científica reconocida sobre adopción, difusión y uso académico en la investigación revisada por pares
052;06-CR;Análisis bibliométrico de Publicaciones Académicas Indexadas en Crossref.org para ;Calidad Total;Evaluación de la producción científica reconocida sobre adopción, difusión y uso académico en la investigación revisada por pares
053;07-CR;Análisis bibliométrico de Publicaciones Académicas Indexadas en Crossref.org para ;Propósito y Visión;Evaluación de la producción científica reconocida sobre adopción, difusión y uso académico en la investigación revisada por pares
054;08-CR;Análisis bibliométrico de Publicaciones Académicas Indexadas en Crossref.org para ;Benchmarking;Evaluación de la producción científica reconocida sobre adopción, difusión y uso académico en la investigación revisada por pares
055;09-CR;Análisis bibliométrico de Publicaciones Académicas Indexadas en Crossref.org para ;Competencias Centrales;Evaluación de la producción científica reconocida sobre adopción, difusión y uso académico en la investigación revisada por pares
056;10-CR;Análisis bibliométrico de Publicaciones Académicas Indexadas en Crossref.org para ;Cuadro de Mando Integral;Evaluación de la producción científica reconocida sobre adopción, difusión y uso académico en la investigación revisada por pares
057;11-CR;Análisis bibliométrico de Publicaciones Académicas Indexadas en Crossref.org para ;Alianzas y Capital de Riesgo;Evaluación de la producción científica reconocida sobre adopción, difusión y uso académico en la investigación revisada por pares
058;12-CR;Análisis bibliométrico de Publicaciones Académicas Indexadas en Crossref.org para ;Outsourcing;Evaluación de la producción científica reconocida sobre adopción, difusión y uso académico en la investigación revisada por pares
059;13-CR;Análisis bibliométrico de Publicaciones Académicas Indexadas en Crossref.org para ;Segmentación de Clientes;Evaluación de la producción científica reconocida sobre adopción, difusión y uso académico en la investigación revisada por pares
060;14-CR;Análisis bibliométrico de Publicaciones Académicas Indexadas en Crossref.org para ;Fusiones y Adquisiciones;Evaluación de la producción científica reconocida sobre adopción, difusión y uso académico en la investigación revisada por pares
061;15-CR;Análisis bibliométrico de Publicaciones Académicas Indexadas en Crossref.org para ;Gestión de Costos;Evaluación de la producción científica reconocida sobre adopción, difusión y uso académico en la investigación revisada por pares
062;16-CR;Análisis bibliométrico de Publicaciones Académicas Indexadas en Crossref.org para ;Presupuesto Base Cero;Evaluación de la producción científica reconocida sobre adopción, difusión y uso académico en la investigación revisada por pares
063;17-CR;Análisis bibliométrico de Publicaciones Académicas Indexadas en Crossref.org para ;Estrategias de Crecimiento;Evaluación de la producción científica reconocida sobre adopción, difusión y uso académico en la investigación revisada por pares
064;18-CR;Análisis bibliométrico de Publicaciones Académicas Indexadas en Crossref.org para ;Gestión del Conocimiento;Evaluación de la producción científica reconocida sobre adopción, difusión y uso académico en la investigación revisada por pares
065;19-CR;Análisis bibliométrico de Publicaciones Académicas Indexadas en Crossref.org para ;Gestión del Cambio;Evaluación de la producción científica reconocida sobre adopción, difusión y uso académico en la investigación revisada por pares
066;20-CR;Análisis bibliométrico de Publicaciones Académicas Indexadas en Crossref.org para ;Optimización de Precios;Evaluación de la producción científica reconocida sobre adopción, difusión y uso académico en la investigación revisada por pares
067;21-CR;Análisis bibliométrico de Publicaciones Académicas Indexadas en Crossref.org para ;Lealtad del Cliente;Evaluación de la producción científica reconocida sobre adopción, difusión y uso académico en la investigación revisada por pares
068;22-CR;Análisis bibliométrico de Publicaciones Académicas Indexadas en Crossref.org para ;Innovación Colaborativa;Evaluación de la producción científica reconocida sobre adopción, difusión y uso académico en la investigación revisada por pares
069;23-CR;Análisis bibliométrico de Publicaciones Académicas Indexadas en Crossref.org para ;Talento y Compromiso;Evaluación de la producción científica reconocida sobre adopción, difusión y uso académico en la investigación revisada por pares
