Nro.;Cód;Título;Herramienta;Subtítulo
024;01-GB;Análisis de Frecuencia en el Corpus Literario de Google Books Ngram para ;Reingeniería de Procesos;Exploración diacrónico de la frecuencia de términos en libros para identificar patrones de uso, adopción y evolución conceptual en la literatura publicada
025;02-GB;Análisis de Frecuencia en el Corpus Literario de Google Books Ngram para ;Gestión de la Cadena de Suministro;Exploración diacrónico de la frecuencia de términos en libros para identificar patrones de uso, adopción y evolución conceptual en la literatura publicada
026;03-GB;Análisis de Frecuencia en el Corpus Literario de Google Books Ngram para ;Planificación de Escenarios;Exploración diacrónico de la frecuencia de términos en libros para identificar patrones de uso, adopción y evolución conceptual en la literatura publicada
027;04-GB;Análisis de Frecuencia en el Corpus Literario de Google Books Ngram para ;Planificación Estratégica;Exploración diacrónico de la frecuencia de términos en libros para identificar patrones de uso, adopción y evolución conceptual en la literatura publicada
028;05-GB;Análisis de Frecuencia en el Corpus Literario de Google Books Ngram para ;Experiencia del Cliente;Exploración diacrónico de la frecuencia de términos en libros para identificar patrones de uso, adopción y evolución conceptual en la literatura publicada
029;06-GB;Análisis de Frecuencia en el Corpus Literario de Google Books Ngram para ;Calidad Total;Exploración diacrónico de la frecuencia de términos en libros para identificar patrones de uso, adopción y evolución conceptual en la literatura publicada
030;07-GB;Análisis de Frecuencia en el Corpus Literario de Google Books Ngram para ;Propósito y Visión;Exploración diacrónico de la frecuencia de términos en libros para identificar patrones de uso, adopción y evolución conceptual en la literatura publicada
031;08-GB;Análisis de Frecuencia en el Corpus Literario de Google Books Ngram para ;Benchmarking;Exploración diacrónico de la frecuencia de términos en libros para identificar patrones de uso, adopción y evolución conceptual en la literatura publicada
032;09-GB;Análisis de Frecuencia en el Corpus Literario de Google Books Ngram para ;Competencias Centrales;Exploración diacrónico de la frecuencia de términos en libros para identificar patrones de uso, adopción y evolución conceptual en la literatura publicada
033;10-GB;Análisis de Frecuencia en el Corpus Literario de Google Books Ngram para ;Cuadro de Mando Integral;Exploración diacrónico de la frecuencia de términos en libros para identificar patrones de uso, adopción y evolución conceptual en la literatura publicada
034;11-GB;Análisis de Frecuencia en el Corpus Literario de Google Books Ngram para ;Alianzas y Capital de Riesgo;Exploración diacrónico de la frecuencia de términos en libros para identificar patrones de uso, adopción y evolución conceptual en la literatura publicada
035;12-GB;Análisis de Frecuencia en el Corpus Literario de Google Books Ngram para ;Outsourcing;Exploración diacrónico de la frecuencia de términos en libros para identificar patrones de uso, adopción y evolución conceptual en la literatura publicada
036;13-GB;Análisis de Frecuencia en el Corpus Literario de Google Books Ngram para ;Segmentación de Clientes;Exploración diacrónico de la frecuencia de términos en libros para identificar patrones de uso, adopción y evolución conceptual en la literatura publicada
037;14-GB;Análisis de Frecuencia en el Corpus Literario de Google Books Ngram para ;Fusiones y Adquisiciones;Exploración diacrónico de la frecuencia de términos en libros para identificar patrones de uso, adopción y evolución conceptual en la literatura publicada
038;15-GB;Análisis de Frecuencia en el Corpus Literario de Google Books Ngram para ;Gestión de Costos;Exploración diacrónico de la frecuencia de términos en libros para identificar patrones de uso, adopción y evolución conceptual en la literatura publicada
039;16-GB;Análisis de Frecuencia en el Corpus Literario de Google Books Ngram para ;Presupuesto Base Cero;Exploración diacrónico de la frecuencia de términos en libros para identificar patrones de uso, adopción y evolución conceptual en la literatura publicada
040;17-GB;Análisis de Frecuencia en el Corpus Literario de Google Books Ngram para ;Estrategias de Crecimiento;Exploración diacrónico de la frecuencia de términos en libros para identificar patrones de uso, adopción y evolución conceptual en la literatura publicada
041;18-GB;Análisis de Frecuencia en el Corpus Literario de Google Books Ngram para ;Gestión del Conocimiento;Exploración diacrónico de la frecuencia de términos en libros para identificar patrones de uso, adopción y evolución conceptual en la literatura publicada
042;19-GB;Análisis de Frecuencia en el Corpus Literario de Google Books Ngram para ;Gestión del Cambio;Exploración diacrónico de la frecuencia de términos en libros para identificar patrones de uso, adopción y evolución conceptual en la literatura publicada
043;20-GB;Análisis de Frecuencia en el Corpus Literario de Google Books Ngram para ;Optimización de Precios;Exploración diacrónico de la frecuencia de términos en libros para identificar patrones de uso, adopción y evolución conceptual en la literatura publicada
044;21-GB;Análisis de Frecuencia en el Corpus Literario de Google Books Ngram para ;Lealtad del Cliente;Exploración diacrónico de la frecuencia de términos en libros para identificar patrones de uso, adopción y evolución conceptual en la literatura publicada
045;22-GB;Análisis de Frecuencia en el Corpus Literario de Google Books Ngram para ;Innovación Colaborativa;Exploración diacrónico de la frecuencia de términos en libros para identificar patrones de uso, adopción y evolución conceptual en la literatura publicada
046;23-GB;Análisis de Frecuencia en el Corpus Literario de Google Books Ngram para ;Talento y Compromiso;Exploración diacrónico de la frecuencia de términos en libros para identificar patrones de uso, adopción y evolución conceptual en la literatura publicada
