Herramienta,DOI,Source,Notes,Links,Keywords
Reingeniería de Procesos,10.5281/zenodo.15339316,Google_Trends,"REINGENIERÍA DE PROCESOS

**Perfil de Usuarios:** Refleja interés público, popularidad de búsqueda y tendencias emergentes en tiempo real en un perfil de usuarios heterogéneos: investigadores, periodistas, profesionales del marketing, empresarios y usuarios generales

**Limitaciones:** No hay correlación directa entre interés en búsquedas e implementación efectiva en organizaciones. La evolución terminológica puede afectar la coherencia longitudinal

Fuente y DOI: https://trends.google.com/trends/explore?date=all&q=%22business%20process%20reengineering%22%20%2B%20%22process%20reengineering%22%20%2B%20%22reengineering%20management%22&hl=es 10.5281/zenodo.15339316",https://trends.google.com/trends/explore?date=all&q=%22business%20process%20reengineering%22%20%2B%20%22process%20reengineering%22%20%2B%20%22reengineering%20management%22&hl=es ,"""business process reengineering"" + ""process reengineering"" + ""reengineering management"""
Reingeniería de Procesos,10.5281/zenodo.15339316,Google_Books,"REINGENIERÍA DE PROCESOS

**Perfil de Usuarios:** Refleja patrones de uso del lenguaje, tendencias académicas y de publicación, e intereses en la literatura y el conocimiento registrado en libros. Usuarios típicos: investigadores, historiadores, lingüistas y otros profesionales interesados en análisis textual y evolución del pensamiento

**Limitaciones:** Representatividad restringida al subconjunto de libros digitalizados por Google Books (Ngram Viewer). Sesgos hacia obras en inglés y publicaciones de grandes editoriales, subrepresentando otros idiomas y obras de menor circulación. Evolución terminológica y cambios en las convenciones de citación pueden afectar la consistencia longitudinal

Fuente y DOI: https://books.google.com/ngrams/graph?content=Reengineering+%2B+Business+Process+Reengineering+%2B+Process+Reengineering&year_start=1950&year_end=2022&corpus=en&smoothing=0 10.5281/zenodo.15339316",https://books.google.com/ngrams/graph?content=Reengineering+%2B+Business+Process+Reengineering+%2B+Process+Reengineering&year_start=1950&year_end=2022&corpus=en&smoothing=0 ,Reengineering + Business Process Reengineering + Process Reengineering
Reingeniería de Procesos,10.5281/zenodo.15339316,IC,,https://doi.org/10.5281/zenodo.15339316,
Reingeniería de Procesos,10.5281/zenodo.15339316,BAIN_Ind_Usabilidad,"REINGENIERÍA DE PROCESOS

**Perfil de Usuarios:** Directivos de alto nivel, consultores estratégicos y profesionales de la gestión interesados en la implementación y adopción de metodologías de gestión con un enfoque en la practicidad y el uso real en el campo empresarial, buscando insights sobre las tendencias de la práctica gerencial. Además, especialistas en optimización de procesos, diseño organizacional y mejora continua que buscan identificar estrategias para aumentar la eficiencia y reducir costos

**Limitaciones:** La variabilidad en el tamaño de la muestra entre los años puede afectar la comparabilidad; el sesgo de selección y autoinforme puede influir en las respuestas; la evolución terminológica puede afectar la consistencia longitudinal; y la medición del uso es un indicador relativo, no absoluto, de la efectividad

Fuente: Bain Usabilidad. Rigby (1994, 2001, 2003); Rigby & Bilodeau (2005, 2007, 2009, 2011, 2013, 2015, 2017); Rigby, Bilodeau, & Ronan (2023). 10.5281/zenodo.15339316",,"Reengineering, Business Process Reengineering"
Reingeniería de Procesos,10.5281/zenodo.15339316,BAIN_Ind_Satisfacción,"REINGENIERÍA DE PROCESOS

**Perfil de Usuarios:** Directivos de alto nivel, consultores estratégicos y profesionales de la gestión interesados en la implementación y adopción de metodologías de gestión con un enfoque en la practicidad y el uso real en el campo empresarial, buscando insights sobre las tendencias de la práctica gerencial. Además, especialistas en optimización de procesos, diseño organizacional y mejora continua que buscan medir el impacto de las estrategias de reingeniería en su organización

**Limitaciones:** El índice de satisfacción es subjetivo y puede estar influenciado por el sesgo de deseabilidad social y autoinforme; la interpretación puede variar entre los encuestados; la terminología puede haber evolucionado y afectar la consistencia longitudinal; y la métrica no mide resultados objetivos ni impacto real

Fuente: Bain Satisfaccion. Rigby (1994, 2001, 2003); Rigby & Bilodeau (2005, 2007, 2009, 2011, 2013, 2015, 2017); Rigby, Bilodeau, & Ronan (2023). 10.5281/zenodo.15339316",,"Reengineering, Business Process Reengineering"
Reingeniería de Procesos,10.5281/zenodo.15339316,Crossref,"REINGENIERÍA DE PROCESOS

**Perfil de Usuarios:** Refleja el interés académico a través de publicaciones revisadas por pares y arbitradas, e indexadas. Usuarios típicos: investigadores, académicos, expertos, estudiantes y profesionales

**Limitaciones:** Dependencia de la exhaustividad y precisión de la indexación de CrossRef. Solo refleja volumen, no calidad, relevancia, impacto o citaciones. Descriptores lógicos pueden introducir sesgos. Cobertura limitada: no incluye todas las publicaciones académicas, solo su indexado. Proporciona DOI (Digital Object Identifier) y metadatos básicos, excluyendo datos bibliométricos adicionales

Fuente y DOI: https://search.crossref.org/search/works?q=(%22business+process+reengineering%22+OR+%22process+reengineering%22+OR+%22reengineering%22)+AND+(%22management%22+OR+%22technique%22+OR+%22methodology%22+OR+%22approach%22)&from_ui=yes 10.5281/zenodo.15339316",https://search.crossref.org/search/works?q=(%22business+process+reengineering%22+OR+%22process+reengineering%22+OR+%22reengineering%22)+AND+(%22management%22+OR+%22technique%22+OR+%22methodology%22+OR+%22approach%22)&from_ui=yes,"(""business process reengineering"" OR ""process reengineering"" OR ""reengineering"") AND (""management"" OR ""technique"" OR ""methodology"" OR ""approach"" OR ""implementation"" OR ""adoption"" OR ""practice"" OR ""framework"" OR ""model"" OR ""tool"" OR ""system"")"
Gestión de la Cadena de Suministro,10.5281/zenodo.15339318,Google_Trends,"GESTIÓN DE LA CADENA DE SUMINISTRO

**Perfil de Usuarios:** Refleja interés público, popularidad de búsqueda y tendencias emergentes en tiempo real en un perfil de usuarios heterogéneos: investigadores, periodistas, profesionales del marketing, empresarios y usuarios generales

**Limitaciones:** No hay correlación directa entre interés en búsquedas e implementación efectiva en organizaciones. La evolución terminológica puede afectar la coherencia longitudinal

Fuente y DOI: https://trends.google.com/trends/explore?date=all&q=%22supply%20chain%20management%22+%2B+%22supply%20chain%20logistics%22+%2B+%22supply%20chain%22&hl=es 10.5281/zenodo.15339318",https://trends.google.com/trends/explore?date=all&q=%22supply%20chain%20management%22+%2B+%22supply%20chain%20logistics%22+%2B+%22supply%20chain%22&hl=es,"""supply chain management"" + ""supply chain logistics"" + ""supply chain"""
Gestión de la Cadena de Suministro,10.5281/zenodo.15339318,Google_Books,"GESTIÓN DE LA CADENA DE SUMINISTRO

**Perfil de Usuarios:** Refleja patrones de uso del lenguaje, tendencias académicas y de publicación, e intereses en la literatura y el conocimiento registrado en libros. Usuarios típicos: investigadores, historiadores, lingüistas y otros profesionales interesados en análisis textual y evolución del pensamiento

**Limitaciones:** Representatividad restringida al subconjunto de libros digitalizados por Google Books (Ngram Viewer). Sesgos hacia obras en inglés y publicaciones de grandes editoriales, subrepresentando otros idiomas y obras de menor circulación. Evolución terminológica y cambios en las convenciones de citación pueden afectar la consistencia longitudinal

Fuente y DOI: https://books.google.com/ngrams/graph?content=Supply+Chain+Management+%2B+Supply+Chain+Integration+%2B+Supply+Chain&year_start=1950&year_end=2022&corpus=en&smoothing=0 10.5281/zenodo.15339318",https://books.google.com/ngrams/graph?content=Supply+Chain+Management+%2B+Supply+Chain+Integration+%2B+Supply+Chain&year_start=1950&year_end=2022&corpus=en&smoothing=0 ,Supply Chain Management + Supply Chain Integration + Supply Chain
Gestión de la Cadena de Suministro,10.5281/zenodo.15339318,IC,,https://doi.org/10.5281/zenodo.15339318,
Gestión de la Cadena de Suministro,10.5281/zenodo.15339318,BAIN_Ind_Usabilidad,"GESTIÓN DE LA CADENA DE SUMINISTRO

**Perfil de Usuarios:** Directivos de alto nivel, consultores estratégicos y profesionales de la gestión interesados en la implementación y adopción de herramientas de planificación logística con un enfoque en la practicidad y el uso real en el campo empresarial, buscando insights sobre las tendencias de la práctica gerencial. Además, especialistas en logística, operaciones y gestión de la cadena de suministro que buscan eficiencias en la distribución y manejo de inventarios

**Limitaciones:** La variabilidad en el tamaño de la muestra entre los años puede afectar la comparabilidad; el sesgo de selección y autoinforme puede influir en las respuestas; la evolución terminológica puede afectar la consistencia longitudinal; y la medición del uso es un indicador relativo, no absoluto, de la efectividad

Fuente: Bain Usabilidad. Rigby (2001, 2003); Rigby & Bilodeau (2005, 2007, 2009, 2011, 2013, 2015, 2017); Rigby, Bilodeau, & Ronan (2023). 10.5281/zenodo.15339318",,"Supply Chain Integration, Supply Chain Management"
