Nro.,Cód,Título,Herramienta,Subtítulo,Source,File
1,1.0-GT,Análisis de Tendencias de Búsqueda en Google Trends para ,Reingeniería de Procesos,"Estudio de la evolución de la frecuencia relativa de búsquedas para identificar tendencias emergentes, picos de popularidad y cambios en el interés público",GT-Portada,GT-Portada/1.png
2,2.0-GT,Análisis de Tendencias de Búsqueda en Google Trends para ,Gestión de la Cadena de Suministro,"Estudio de la evolución de la frecuencia relativa de búsquedas para identificar tendencias emergentes, picos de popularidad y cambios en el interés público",GT-Portada,GT-Portada/2.png
3,3.0-GT,Análisis de Tendencias de Búsqueda en Google Trends para ,Planificación de Escenarios,"Estudio de la evolución de la frecuencia relativa de búsquedas para identificar tendencias emergentes, picos de popularidad y cambios en el interés público",GT-Portada,GT-Portada/3.png
4,4.0-GT,Análisis de Tendencias de Búsqueda en Google Trends para ,Planificación Estratégica,"Estudio de la evolución de la frecuencia relativa de búsquedas para identificar tendencias emergentes, picos de popularidad y cambios en el interés público",GT-Portada,GT-Portada/4.png
5,5.0-GT,Análisis de Tendencias de Búsqueda en Google Trends para ,Experiencia del Cliente,"Estudio de la evolución de la frecuencia relativa de búsquedas para identificar tendencias emergentes, picos de popularidad y cambios en el interés público",GT-Portada,GT-Portada/5.png
6,6.0-GT,Análisis de Tendencias de Búsqueda en Google Trends para ,Calidad Total,"Estudio de la evolución de la frecuencia relativa de búsquedas para identificar tendencias emergentes, picos de popularidad y cambios en el interés público",GT-Portada,GT-Portada/6.png
7,7.0-GT,Análisis de Tendencias de Búsqueda en Google Trends para ,Propósito y Visión,"Estudio de la evolución de la frecuencia relativa de búsquedas para identificar tendencias emergentes, picos de popularidad y cambios en el interés público",GT-Portada,GT-Portada/7.png
8,8.0-GT,Análisis de Tendencias de Búsqueda en Google Trends para ,Benchmarking,"Estudio de la evolución de la frecuencia relativa de búsquedas para identificar tendencias emergentes, picos de popularidad y cambios en el interés público",GT-Portada,GT-Portada/8.png
9,9.0-GT,Análisis de Tendencias de Búsqueda en Google Trends para ,Competencias Centrales,"Estudio de la evolución de la frecuencia relativa de búsquedas para identificar tendencias emergentes, picos de popularidad y cambios en el interés público",GT-Portada,GT-Portada/9.png
10,10.0-GT,Análisis de Tendencias de Búsqueda en Google Trends para ,Cuadro de Mando Integral,"Estudio de la evolución de la frecuencia relativa de búsquedas para identificar tendencias emergentes, picos de popularidad y cambios en el interés público",GT-Portada,GT-Portada/10.png
11,11.0-GT,Análisis de Tendencias de Búsqueda en Google Trends para ,Alianzas y Capital de Riesgo,"Estudio de la evolución de la frecuencia relativa de búsquedas para identificar tendencias emergentes, picos de popularidad y cambios en el interés público",GT-Portada,GT-Portada/11.png
12,12.0-GT,Análisis de Tendencias de Búsqueda en Google Trends para ,Outsourcing,"Estudio de la evolución de la frecuencia relativa de búsquedas para identificar tendencias emergentes, picos de popularidad y cambios en el interés público",GT-Portada,GT-Portada/12.png
13,13.0-GT,Análisis de Tendencias de Búsqueda en Google Trends para ,Segmentación de Clientes,"Estudio de la evolución de la frecuencia relativa de búsquedas para identificar tendencias emergentes, picos de popularidad y cambios en el interés público",GT-Portada,GT-Portada/13.png
14,14.0-GT,Análisis de Tendencias de Búsqueda en Google Trends para ,Fusiones y Adquisiciones,"Estudio de la evolución de la frecuencia relativa de búsquedas para identificar tendencias emergentes, picos de popularidad y cambios en el interés público",GT-Portada,GT-Portada/14.png
15,15.0-GT,Análisis de Tendencias de Búsqueda en Google Trends para ,Gestión de Costos,"Estudio de la evolución de la frecuencia relativa de búsquedas para identificar tendencias emergentes, picos de popularidad y cambios en el interés público",GT-Portada,GT-Portada/15.png
