Herramienta Gerencial,Year,Usabilidad
Reingeniería de Procesos,1993,67
Reingeniería de Procesos,1996,65
Reingeniería de Procesos,2000,44.9
Reingeniería de Procesos,2002,54
Reingeniería de Procesos,2004,61
Reingeniería de Procesos,2006,69
Reingeniería de Procesos,2008,50
Reingeniería de Procesos,2010,38
Reingeniería de Procesos,2012,28
Reingeniería de Procesos,2014,26
Reingeniería de Procesos,2017,28
Reingeniería de Procesos,2022,19
Gestión de la Cadena de Suministro,1999,31
Gestión de la Cadena de Suministro,2000,35.5
Gestión de la Cadena de Suministro,2002,52
Gestión de la Cadena de Suministro,2004,56
Gestión de la Cadena de Suministro,2006,66
Gestión de la Cadena de Suministro,2008,43
Gestión de la Cadena de Suministro,2010,39
Gestión de la Cadena de Suministro,2012,34
Gestión de la Cadena de Suministro,2014,36
Gestión de la Cadena de Suministro,2017,40
Gestión de la Cadena de Suministro,2022,40
Planificación de Escenarios,1993,44
Planificación de Escenarios,1999,28
Planificación de Escenarios,2000,21.5
Planificación de Escenarios,2004,54
Planificación de Escenarios,2006,69
Planificación de Escenarios,2008,42
Planificación de Escenarios,2010,30
Planificación de Escenarios,2012,27
Planificación de Escenarios,2014,18
Planificación de Escenarios,2017,19
Planificación de Escenarios,2022,19
Planificación Estratégica,1996,83
Planificación Estratégica,1999,81
Planificación Estratégica,2000,88.8
Planificación Estratégica,2002,89
Planificación Estratégica,2004,79
Planificación Estratégica,2006,88
Planificación Estratégica,2008,67
Planificación Estratégica,2010,65
Planificación Estratégica,2012,43
Planificación Estratégica,2014,44
Planificación Estratégica,2017,48
Planificación Estratégica,2022,27
Experiencia del Cliente,1993,90
Experiencia del Cliente,1996,79
Experiencia del Cliente,1999,71
Experiencia del Cliente,2000,74.3
Experiencia del Cliente,2002,78
Experiencia del Cliente,2004,75
Experiencia del Cliente,2006,84
Experiencia del Cliente,2008,63
Experiencia del Cliente,2010,58
Experiencia del Cliente,2012,40
Experiencia del Cliente,2014,46
Experiencia del Cliente,2017,48
Experiencia del Cliente,2022,45
Calidad Total,1993,76
Calidad Total,1996,66
Calidad Total,1999,49
Calidad Total,2000,40.7
Calidad Total,2002,57
Calidad Total,2004,61
Calidad Total,2006,64
Calidad Total,2008,34
Calidad Total,2010,38
Calidad Total,2012,30
Calidad Total,2014,29
Calidad Total,2017,34
Calidad Total,2022,36
Propósito y Visión,1993,94
Propósito y Visión,1996,82
Propósito y Visión,1999,79
Propósito y Visión,2000,85
Propósito y Visión,2002,84
Propósito y Visión,2004,72
Propósito y Visión,2006,79
Propósito y Visión,2008,65
Propósito y Visión,2010,63
Propósito y Visión,2012,19
Propósito y Visión,2014,38
Propósito y Visión,2017,32
Propósito y Visión,2022,28
Benchmarking,1993,70
Benchmarking,1996,79
Benchmarking,1999,77
Benchmarking,2000,76.2
Benchmarking,2002,84
Benchmarking,2004,73
Benchmarking,2006,81
Benchmarking,2008,76
Benchmarking,2010,67
Benchmarking,2012,28
Benchmarking,2014,44
Benchmarking,2017,46
Competencias Centrales,1993,57
Competencias Centrales,1996,69
Competencias Centrales,1999,50
Competencias Centrales,2000,52.8
Competencias Centrales,2002,75
Competencias Centrales,2004,65
Competencias Centrales,2006,79
Competencias Centrales,2008,48
Competencias Centrales,2010,46
Competencias Centrales,2012,26
Competencias Centrales,2014,29
Competencias Centrales,2017,30
Cuadro de Mando Integral,2000,43.9
Cuadro de Mando Integral,2002,62
Cuadro de Mando Integral,2004,57
Cuadro de Mando Integral,2006,66
Cuadro de Mando Integral,2008,53
Cuadro de Mando Integral,2010,47
Cuadro de Mando Integral,2012,24
Cuadro de Mando Integral,2014,38
Cuadro de Mando Integral,2017,29
Cuadro de Mando Integral,2022,16
Alianzas y Capital de Riesgo,1993,62
Alianzas y Capital de Riesgo,1996,61
Alianzas y Capital de Riesgo,1999,53
Alianzas y Capital de Riesgo,2000,57
Alianzas y Capital de Riesgo,2002,69
Alianzas y Capital de Riesgo,2004,63
Alianzas y Capital de Riesgo,2006,68
Alianzas y Capital de Riesgo,2008,44
Alianzas y Capital de Riesgo,2010,45
Alianzas y Capital de Riesgo,2012,25
Alianzas y Capital de Riesgo,2014,22
Alianzas y Capital de Riesgo,2017,25
Alianzas y Capital de Riesgo,2022,14
Outsourcing,1999,62
Outsourcing,2000,61.2
Outsourcing,2002,78
Outsourcing,2004,73
Outsourcing,2006,77
Outsourcing,2008,63
Outsourcing,2010,55
Outsourcing,2012,36
Outsourcing,2014,41
Segmentación de Clientes,1999,52
Segmentación de Clientes,2000,53.7
Segmentación de Clientes,2002,79
Segmentación de Clientes,2004,72
Segmentación de Clientes,2006,82
Segmentación de Clientes,2008,53
Segmentación de Clientes,2010,42
Segmentación de Clientes,2012,33
Segmentación de Clientes,2014,30
Segmentación de Clientes,2017,27
Fusiones y Adquisiciones,2006,50
Fusiones y Adquisiciones,2008,46
Fusiones y Adquisiciones,2010,35
Fusiones y Adquisiciones,2012,43
Fusiones y Adquisiciones,2014,28
Fusiones y Adquisiciones,2017,24
Gestión de Costos,1993,48
Gestión de Costos,1999,37
Gestión de Costos,2000,37.9
Gestión de Costos,2002,50
Gestión de Costos,2004,52
Presupuesto Base Cero,2012,10
Presupuesto Base Cero,2014,10
Presupuesto Base Cero,2017,10
Presupuesto Base Cero,2022,12
Estrategias de Crecimiento,1999,55
Estrategias de Crecimiento,1996,55
Estrategias de Crecimiento,2000,64.5
Estrategias de Crecimiento,2002,76
Estrategias de Crecimiento,2004,62
Estrategias de Crecimiento,2006,65
Estrategias de Crecimiento,2008,38
Gestión del Conocimiento,1999,30
Gestión del Conocimiento,2000,28.5
Gestión del Conocimiento,2002,62
Gestión del Conocimiento,2004,54
Gestión del Conocimiento,2006,69
Gestión del Conocimiento,2008,41
Gestión del Conocimiento,2010,38
Gestión del Cambio,2002,64
Gestión del Cambio,2004,59
Gestión del Cambio,2010,46
Gestión del Cambio,2012,36
Gestión del Cambio,2014,34
Gestión del Cambio,2017,34
Gestión del Cambio,2022,27
Optimización de Precios,2004,36
Optimización de Precios,2008,24
Optimización de Precios,2010,21
Optimización de Precios,2012,29
Optimización de Precios,2014,17
Optimización de Precios,2017,20
Lealtad del Cliente,2004,40
Lealtad del Cliente,2006,51
Lealtad del Cliente,2008,17
Lealtad del Cliente,2010,32
Lealtad del Cliente,2012,43
Lealtad del Cliente,2014,24
Innovación Colaborativa,2004,26
Innovación Colaborativa,2006,53
Innovación Colaborativa,2008,24
Innovación Colaborativa,2010,21
Innovación Colaborativa,2012,20
Innovación Colaborativa,2022,16
Talento y Compromiso,2002,78
