Fuente,Herramienta Gerencial,Grupo de Herramientas,Keywords,Link,Notas
Crossref,Reingeniería de Procesos,"Reengineering, Business Process Reengineering","(""business process reengineering"" OR ""process reengineering"" OR ""reengineering"") AND (""management"" OR ""technique"" OR ""methodology"" OR ""approach"" OR ""implementation"" OR ""adoption"" OR ""practice"" OR ""framework"" OR ""model"" OR ""tool"" OR ""system"")",https://search.crossref.org/search/works?q=(%22business+process+reengineering%22+OR+%22process+reengineering%22+OR+%22reengineering%22)+AND+(%22management%22+OR+%22technique%22+OR+%22methodology%22+OR+%22approach%22)&from_ui=yes,"$Herramienta_Gerencial: Descriptores lógicos: $KEYWORDS. Extracción de datos: $Data_Collection_Date. Parámetros de búsqueda: Marco temporal (1950-2025), campos de búsqueda: ""Título"" y ""Resumen (Abstract)"". Índice: La métrica es el número de resultados que coinciden con los descriptores en los metadatos de CrossRef. Refleja el volumen de publicaciones académicas (artículos, libros, conferencias, etc.) indexadas. Metodología: La búsqueda en metadatos de CrossRef usa operadores booleanos. Interpretación centrada en el volumen de publicaciones. Proporciona una medida cuantitativa del interés académico y las investigaciones publicadas. Perfil de Usuarios: Refleja el interés académico a través de publicaciones revisadas por pares y arbitradas, e indexadas. Usuarios típicos: investigadores, académicos, expertos, estudiantes y profesionales. Limitaciones: Dependencia de la exhaustividad y precisión de la indexación de CrossRef. Solo refleja volumen, no calidad, relevancia, impacto o citaciones. Descriptores lógicos pueden introducir sesgos. Cobertura limitada: no incluye todas las publicaciones académicas, solo su indexado. Proporciona DOI (Digital Object Identifier) y metadatos básicos, excluyendo datos bibliométricos adicionales. Fuente: $LINK"
Crossref,Gestión de la Cadena de Suministro,"Supply Chain Integration, Supply Chain Management","(""supply chain management"" OR ""supply chain integration"" OR ""supply chain"") AND (""management"" OR ""strategy"" OR ""planning"" OR ""logistics"" OR ""implementation"" OR ""optimization"" OR ""approach"" OR ""system"" OR ""practice"")",https://search.crossref.org/search/works?q=(%22supply+chain+management%22+OR+%22supply+chain+integration%22+OR+%22supply+chain%22)+AND+(%22management%22+OR+%22strategy%22+OR+%22planning%22+OR+%22logistics%22)&from_ui=yes,"$Herramienta_Gerencial: Descriptores lógicos: $KEYWORDS. Extracción de datos: $Data_Collection_Date. Parámetros de búsqueda: Marco temporal (1950-2025), campos de búsqueda: ""Título"" y ""Resumen (Abstract)"". Índice: La métrica es el número de resultados que coinciden con los descriptores en los metadatos de CrossRef. Refleja el volumen de publicaciones académicas (artículos, libros, conferencias, etc.) indexadas. Metodología: La búsqueda en metadatos de CrossRef usa operadores booleanos. Interpretación centrada en el volumen de publicaciones. Proporciona una medida cuantitativa del interés académico y las investigaciones publicadas. Perfil de Usuarios: Refleja el interés académico a través de publicaciones revisadas por pares y arbitradas, e indexadas. Usuarios típicos: investigadores, académicos, expertos, estudiantes y profesionales. Limitaciones: Dependencia de la exhaustividad y precisión de la indexación de CrossRef. Solo refleja volumen, no calidad, relevancia, impacto o citaciones. Descriptores lógicos pueden introducir sesgos. Cobertura limitada: no incluye todas las publicaciones académicas, solo su indexado. Proporciona DOI (Digital Object Identifier) y metadatos básicos, excluyendo datos bibliométricos adicionales. Fuente: $LINK"
Crossref,Planificación de Escenarios,"Scenario Planning, Scenario and Contingency Planning, Scenario Analysis and Contingency Planning","(""scenario planning"" OR ""scenario analysis"" OR ""contingency planning"" OR ""scenario and contingency planning"") AND (""management"" OR ""strategic"" OR ""business"" OR ""planning"" OR ""implementation"" OR ""approach"" OR ""framework"")",https://search.crossref.org/search/works?q=(%22scenario+planning%22+OR+%22scenario+analysis%22+OR+%22contingency+planning%22)+AND+(%22management%22+OR+%22strategic%22+OR+%22business%22)&from_ui=yes,"$Herramienta_Gerencial: Descriptores lógicos: $KEYWORDS. Extracción de datos: $Data_Collection_Date. Parámetros de búsqueda: Marco temporal (1950-2025), campos de búsqueda: ""Título"" y ""Resumen (Abstract)"". Índice: La métrica es el número de resultados que coinciden con los descriptores en los metadatos de CrossRef. Refleja el volumen de publicaciones académicas (artículos, libros, conferencias, etc.) indexadas. Metodología: La búsqueda en metadatos de CrossRef usa operadores booleanos. Interpretación centrada en el volumen de publicaciones. Proporciona una medida cuantitativa del interés académico y las investigaciones publicadas. Perfil de Usuarios: Refleja el interés académico a través de publicaciones revisadas por pares y arbitradas, e indexadas. Usuarios típicos: investigadores, académicos, expertos, estudiantes y profesionales. Limitaciones: Dependencia de la exhaustividad y precisión de la indexación de CrossRef. Solo refleja volumen, no calidad, relevancia, impacto o citaciones. Descriptores lógicos pueden introducir sesgos. Cobertura limitada: no incluye todas las publicaciones académicas, solo su indexado. Proporciona DOI (Digital Object Identifier) y metadatos básicos, excluyendo datos bibliométricos adicionales. Fuente: $LINK"
Crossref,Planificación Estratégica,"Strategic Planning, Dynamic Strategic Planning and Budgeting","(""strategic planning"" OR ""dynamic strategic planning"" OR ""strategic budgeting"" OR ""strategic management"") AND (""management"" OR ""process"" OR ""implementation"" OR ""approach"" OR ""framework"" OR ""practice"" OR ""adoption"" OR ""evaluation"") OR ""strategic thinking""",https://search.crossref.org/search/works?q=(%22strategic+planning%22+OR+%22dynamic+strategic+planning%22+OR+%22strategic+budgeting%22)+AND+(%22management%22+OR+%22process%22+OR+%22implementation%22)+OR+%22strategic+management%22&from_ui=yes,"$Herramienta_Gerencial: Descriptores lógicos: $KEYWORDS. Extracción de datos: $Data_Collection_Date. Parámetros de búsqueda: Marco temporal (1950-2025), campos de búsqueda: ""Título"" y ""Resumen (Abstract)"". Índice: La métrica es el número de resultados que coinciden con los descriptores en los metadatos de CrossRef. Refleja el volumen de publicaciones académicas (artículos, libros, conferencias, etc.) indexadas. Metodología: La búsqueda en metadatos de CrossRef usa operadores booleanos. Interpretación centrada en el volumen de publicaciones. Proporciona una medida cuantitativa del interés académico y las investigaciones publicadas. Perfil de Usuarios: Refleja el interés académico a través de publicaciones revisadas por pares y arbitradas, e indexadas. Usuarios típicos: investigadores, académicos, expertos, estudiantes y profesionales. Limitaciones: Dependencia de la exhaustividad y precisión de la indexación de CrossRef. Solo refleja volumen, no calidad, relevancia, impacto o citaciones. Descriptores lógicos pueden introducir sesgos. Cobertura limitada: no incluye todas las publicaciones académicas, solo su indexado. Proporciona DOI (Digital Object Identifier) y metadatos básicos, excluyendo datos bibliométricos adicionales. Fuente: $LINK"
Crossref,Experiencia del Cliente,"Customer Satisfaction Surveys, Customer Satisfaction Measurement, Customer Relationship Management, CRM, CRM (Customer Relationship Management), Customer Experience Management","(""customer relationship management"" OR ""customer experience management"" OR ""customer satisfaction"" OR ""customer satisfaction measurement"" OR CRM) AND (""management"" OR ""strategy"" OR ""approach"" OR ""system"" OR ""implementation"" OR ""evaluation"")",https://search.crossref.org/search/works?q=(%22customer+relationship+management%22+OR+%22customer+experience+management%22+OR+%22customer+satisfaction%22+OR+%22customer+satisfaction+measurement%22+OR+CRM)+AND+(%22management%22+OR+%22strategy%22+OR+%22approach%22)&from_ui=yes,"$Herramienta_Gerencial: Descriptores lógicos: $KEYWORDS. Extracción de datos: $Data_Collection_Date. Parámetros de búsqueda: Marco temporal (1950-2025), campos de búsqueda: ""Título"" y ""Resumen (Abstract)"". Índice: La métrica es el número de resultados que coinciden con los descriptores en los metadatos de CrossRef. Refleja el volumen de publicaciones académicas (artículos, libros, conferencias, etc.) indexadas. Metodología: La búsqueda en metadatos de CrossRef usa operadores booleanos. Interpretación centrada en el volumen de publicaciones. Proporciona una medida cuantitativa del interés académico y las investigaciones publicadas. Perfil de Usuarios: Refleja el interés académico a través de publicaciones revisadas por pares y arbitradas, e indexadas. Usuarios típicos: investigadores, académicos, expertos, estudiantes y profesionales. Limitaciones: Dependencia de la exhaustividad y precisión de la indexación de CrossRef. Solo refleja volumen, no calidad, relevancia, impacto o citaciones. Descriptores lógicos pueden introducir sesgos. Cobertura limitada: no incluye todas las publicaciones académicas, solo su indexado. Proporciona DOI (Digital Object Identifier) y metadatos básicos, excluyendo datos bibliométricos adicionales. Fuente: $LINK"
Crossref,Calidad Total,"Total Quality Management, TQM","(""total quality management"" OR ""total quality"" OR TQM) AND (""management"" OR ""system"" OR ""approach"" OR ""implementation"" OR ""practice"" OR ""framework"" OR ""methodology"" OR ""tool"")",https://search.crossref.org/search/works?q=%28%22total+quality+management%22+OR+%22total+quality%22%29+AND+%28%22management%22+OR+%22system%22+OR+%22approach%22%29&from_ui=yes,"$Herramienta_Gerencial: Descriptores lógicos: $KEYWORDS. Extracción de datos: $Data_Collection_Date. Parámetros de búsqueda: Marco temporal (1950-2025), campos de búsqueda: ""Título"" y ""Resumen (Abstract)"". Índice: La métrica es el número de resultados que coinciden con los descriptores en los metadatos de CrossRef. Refleja el volumen de publicaciones académicas (artículos, libros, conferencias, etc.) indexadas. Metodología: La búsqueda en metadatos de CrossRef usa operadores booleanos. Interpretación centrada en el volumen de publicaciones. Proporciona una medida cuantitativa del interés académico y las investigaciones publicadas. Perfil de Usuarios: Refleja el interés académico a través de publicaciones revisadas por pares y arbitradas, e indexadas. Usuarios típicos: investigadores, académicos, expertos, estudiantes y profesionales. Limitaciones: Dependencia de la exhaustividad y precisión de la indexación de CrossRef. Solo refleja volumen, no calidad, relevancia, impacto o citaciones. Descriptores lógicos pueden introducir sesgos. Cobertura limitada: no incluye todas las publicaciones académicas, solo su indexado. Proporciona DOI (Digital Object Identifier) y metadatos básicos, excluyendo datos bibliométricos adicionales. Fuente: $LINK"
Crossref,Propósito y Visión,"Mission/Vision, Mission and Vision Statements, Mission & Vision Statements, Purpose, Mission, and Vision Statements","(""mission statement"" OR ""vision statement"" OR ""purpose statement"" OR ""mission and vision"") AND (""corporate"" OR ""strategic"" OR ""organizational"" OR ""management"" OR ""framework"")",https://search.crossref.org/search/works?q=(%22mission+statement%22+OR+%22vision+statement%22+OR+%22purpose+statement%22+OR+%22mission+and+vision%22)+AND+(%22corporate%22+OR+%22strategic%22+OR+%22organizational%22)&from_ui=yes,"$Herramienta_Gerencial: Descriptores lógicos: $KEYWORDS. Extracción de datos: $Data_Collection_Date. Parámetros de búsqueda: Marco temporal (1950-2025), campos de búsqueda: ""Título"" y ""Resumen (Abstract)"". Índice: La métrica es el número de resultados que coinciden con los descriptores en los metadatos de CrossRef. Refleja el volumen de publicaciones académicas (artículos, libros, conferencias, etc.) indexadas. Metodología: La búsqueda en metadatos de CrossRef usa operadores booleanos. Interpretación centrada en el volumen de publicaciones. Proporciona una medida cuantitativa del interés académico y las investigaciones publicadas. Perfil de Usuarios: Refleja el interés académico a través de publicaciones revisadas por pares y arbitradas, e indexadas. Usuarios típicos: investigadores, académicos, expertos, estudiantes y profesionales. Limitaciones: Dependencia de la exhaustividad y precisión de la indexación de CrossRef. Solo refleja volumen, no calidad, relevancia, impacto o citaciones. Descriptores lógicos pueden introducir sesgos. Cobertura limitada: no incluye todas las publicaciones académicas, solo su indexado. Proporciona DOI (Digital Object Identifier) y metadatos básicos, excluyendo datos bibliométricos adicionales. Fuente: $LINK"
Crossref,Benchmarking,Benchmarking,"""benchmarking"" AND (""process"" OR ""management"" OR ""performance"" OR ""best practices"" OR ""implementation"" OR ""approach"" OR ""evaluation"" OR ""methodology"")",https://search.crossref.org/search/works?q=%22benchmarking%22+AND+(%22process%22+OR+%22management%22+OR+%22performance%22+OR+%22best+practices%22)&from_ui=yes,"$Herramienta_Gerencial: Descriptores lógicos: $KEYWORDS. Extracción de datos: $Data_Collection_Date. Parámetros de búsqueda: Marco temporal (1950-2025), campos de búsqueda: ""Título"" y ""Resumen (Abstract)"". Índice: La métrica es el número de resultados que coinciden con los descriptores en los metadatos de CrossRef. Refleja el volumen de publicaciones académicas (artículos, libros, conferencias, etc.) indexadas. Metodología: La búsqueda en metadatos de CrossRef usa operadores booleanos. Interpretación centrada en el volumen de publicaciones. Proporciona una medida cuantitativa del interés académico y las investigaciones publicadas. Perfil de Usuarios: Refleja el interés académico a través de publicaciones revisadas por pares y arbitradas, e indexadas. Usuarios típicos: investigadores, académicos, expertos, estudiantes y profesionales. Limitaciones: Dependencia de la exhaustividad y precisión de la indexación de CrossRef. Solo refleja volumen, no calidad, relevancia, impacto o citaciones. Descriptores lógicos pueden introducir sesgos. Cobertura limitada: no incluye todas las publicaciones académicas, solo su indexado. Proporciona DOI (Digital Object Identifier) y metadatos básicos, excluyendo datos bibliométricos adicionales. Fuente: $LINK"
Crossref,Competencias Centrales,Core Competencies,"(""core competencies"" OR ""core competence"") AND (""management"" OR ""competitive advantage"" OR ""strategy"" OR ""capabilities"" OR ""resources"" OR ""approach"" OR ""development"")",https://search.crossref.org/search/works?q=(%22core+competencies%22+OR+%22core+competence%22)+AND+(%22management%22+OR+%22competitive+advantage%22+OR+%22strategy%22+OR+%22capabilities%22)&from_ui=yes,"$Herramienta_Gerencial: Descriptores lógicos: $KEYWORDS. Extracción de datos: $Data_Collection_Date. Parámetros de búsqueda: Marco temporal (1950-2025), campos de búsqueda: ""Título"" y ""Resumen (Abstract)"". Índice: La métrica es el número de resultados que coinciden con los descriptores en los metadatos de CrossRef. Refleja el volumen de publicaciones académicas (artículos, libros, conferencias, etc.) indexadas. Metodología: La búsqueda en metadatos de CrossRef usa operadores booleanos. Interpretación centrada en el volumen de publicaciones. Proporciona una medida cuantitativa del interés académico y las investigaciones publicadas. Perfil de Usuarios: Refleja el interés académico a través de publicaciones revisadas por pares y arbitradas, e indexadas. Usuarios típicos: investigadores, académicos, expertos, estudiantes y profesionales. Limitaciones: Dependencia de la exhaustividad y precisión de la indexación de CrossRef. Solo refleja volumen, no calidad, relevancia, impacto o citaciones. Descriptores lógicos pueden introducir sesgos. Cobertura limitada: no incluye todas las publicaciones académicas, solo su indexado. Proporciona DOI (Digital Object Identifier) y metadatos básicos, excluyendo datos bibliométricos adicionales. Fuente: $LINK"
Crossref,Cuadro de Mando Integral,Balanced Scorecard,"""balanced scorecard"" AND (""management"" OR ""performance measurement"" OR ""strategic control"" OR ""strategic"" OR ""implementation"" OR ""system"" OR ""evaluation"")",https://search.crossref.org/search/works?q=%22balanced+scorecard%22+AND+(%22management%22+OR+%22performance+measurement%22+OR+%22strategic+control%22+OR+%22strategic%22)&from_ui=yes,"$Herramienta_Gerencial: Descriptores lógicos: $KEYWORDS. Extracción de datos: $Data_Collection_Date. Parámetros de búsqueda: Marco temporal (1950-2025), campos de búsqueda: ""Título"" y ""Resumen (Abstract)"". Índice: La métrica es el número de resultados que coinciden con los descriptores en los metadatos de CrossRef. Refleja el volumen de publicaciones académicas (artículos, libros, conferencias, etc.) indexadas. Metodología: La búsqueda en metadatos de CrossRef usa operadores booleanos. Interpretación centrada en el volumen de publicaciones. Proporciona una medida cuantitativa del interés académico y las investigaciones publicadas. Perfil de Usuarios: Refleja el interés académico a través de publicaciones revisadas por pares y arbitradas, e indexadas. Usuarios típicos: investigadores, académicos, expertos, estudiantes y profesionales. Limitaciones: Dependencia de la exhaustividad y precisión de la indexación de CrossRef. Solo refleja volumen, no calidad, relevancia, impacto o citaciones. Descriptores lógicos pueden introducir sesgos. Cobertura limitada: no incluye todas las publicaciones académicas, solo su indexado. Proporciona DOI (Digital Object Identifier) y metadatos básicos, excluyendo datos bibliométricos adicionales. Fuente: $LINK"
