Fuente,Herramienta Gerencial,Grupo de Herramientas,Keywords,Link,Notas
Google Books Ngram,Reingeniería de Procesos,"Reengineering, Business Process Reengineering",Reengineering + Business Process Reengineering + Process Reengineering,https://books.google.com/ngrams/graph?content=Reengineering+%2B+Business+Process+Reengineering+%2B+Process+Reengineering&year_start=1950&year_end=2022&corpus=en&smoothing=0 ,"$Herramienta_Gerencial: Descriptores lógicos: $KEYWORDS. Extracción de datos: $Data_Collection_Date. Parámetros de búsqueda: corpus (inglés), marco temporal (1950-2022), Case Insensitive (desactivado), Suavizado (0). Índice: La métrica se calcula como: Frecuencia relativa = (Número de apariciones del término / Total de palabras en el corpus para el año) × 100. Refleja la proporción de apariciones de los términos respecto al total de palabras en el corpus por año. Metodología: La interpretación se centra en tendencias de frecuencia relativa, indicando cambios en la aparición, uso y relevancia de los términos en la literatura publicada. La disponibilidad de datos permite análisis diacrónico contextualizado en la evolución de la literatura y el lenguaje. Perfil de Usuarios: Refleja patrones de uso del lenguaje, tendencias académicas y de publicación, e intereses en la literatura y el conocimiento registrado en libros. Usuarios típicos: investigadores, historiadores, lingüistas y otros profesionales interesados en análisis textual y evolución del pensamiento. Limitaciones: Representatividad restringida al subconjunto de libros digitalizados por Google Books (Ngram Viewer). Sesgos hacia obras en inglés y publicaciones de grandes editoriales, subrepresentando otros idiomas y obras de menor circulación. Evolución terminológica y cambios en las convenciones de citación pueden afectar la consistencia longitudinal. Fuente: $LINK"
Google Books Ngram,Gestión de la Cadena de Suministro,"Supply Chain Integration, Supply Chain Management",Supply Chain Management + Supply Chain Integration + Supply Chain,https://books.google.com/ngrams/graph?content=Supply+Chain+Management+%2B+Supply+Chain+Integration+%2B+Supply+Chain&year_start=1950&year_end=2022&corpus=en&smoothing=0 ,"$Herramienta_Gerencial: Descriptores lógicos: $KEYWORDS. Extracción de datos: $Data_Collection_Date. Parámetros de búsqueda: corpus (inglés), marco temporal (1950-2022), Case Insensitive (desactivado), Suavizado (0). Índice: La métrica se calcula como: Frecuencia relativa = (Número de apariciones del término / Total de palabras en el corpus para el año) × 100. Refleja la proporción de apariciones de los términos respecto al total de palabras en el corpus por año. Metodología: La interpretación se centra en tendencias de frecuencia relativa, indicando cambios en la aparición, uso y relevancia de los términos en la literatura publicada. La disponibilidad de datos permite análisis diacrónico contextualizado en la evolución de la literatura y el lenguaje. Perfil de Usuarios: Refleja patrones de uso del lenguaje, tendencias académicas y de publicación, e intereses en la literatura y el conocimiento registrado en libros. Usuarios típicos: investigadores, historiadores, lingüistas y otros profesionales interesados en análisis textual y evolución del pensamiento. Limitaciones: Representatividad restringida al subconjunto de libros digitalizados por Google Books (Ngram Viewer). Sesgos hacia obras en inglés y publicaciones de grandes editoriales, subrepresentando otros idiomas y obras de menor circulación. Evolución terminológica y cambios en las convenciones de citación pueden afectar la consistencia longitudinal. Fuente: $LINK"
Google Books Ngram,Planificación de Escenarios,"Scenario Planning, Scenario and Contingency Planning, Scenario Analysis and Contingency Planning",Scenario Planning + Scenario Analysis + Contingency Planning + Scenario and Contingency Planning,https://books.google.com/ngrams/graph?content=Scenario+Planning+%2B+Scenario+Analysis+%2B+Contingency+Planning+%2B+Scenario+and+Contingency+Planning&year_start=1950&year_end=2022&corpus=en&smoothing=0,"$Herramienta_Gerencial: Descriptores lógicos: $KEYWORDS. Extracción de datos: $Data_Collection_Date. Parámetros de búsqueda: corpus (inglés), marco temporal (1950-2022), Case Insensitive (desactivado), Suavizado (0). Índice: La métrica se calcula como: Frecuencia relativa = (Número de apariciones del término / Total de palabras en el corpus para el año) × 100. Refleja la proporción de apariciones de los términos respecto al total de palabras en el corpus por año. Metodología: La interpretación se centra en tendencias de frecuencia relativa, indicando cambios en la aparición, uso y relevancia de los términos en la literatura publicada. La disponibilidad de datos permite análisis diacrónico contextualizado en la evolución de la literatura y el lenguaje. Perfil de Usuarios: Refleja patrones de uso del lenguaje, tendencias académicas y de publicación, e intereses en la literatura y el conocimiento registrado en libros. Usuarios típicos: investigadores, historiadores, lingüistas y otros profesionales interesados en análisis textual y evolución del pensamiento. Limitaciones: Representatividad restringida al subconjunto de libros digitalizados por Google Books (Ngram Viewer). Sesgos hacia obras en inglés y publicaciones de grandes editoriales, subrepresentando otros idiomas y obras de menor circulación. Evolución terminológica y cambios en las convenciones de citación pueden afectar la consistencia longitudinal. Fuente: $LINK"
Google Books Ngram,Planificación Estratégica,"Strategic Planning, Dynamic Strategic Planning and Budgeting",Strategic Planning + Dynamic Strategic Planning + Strategic Budgeting + Strategic Thinking + Strategic Management,https://books.google.com/ngrams/graph?content=Strategic+Planning+%2B+Dynamic+Strategic+Planning+%2B+Strategic+Budgeting+%2B+Strategic+Thinking+%2B+Strategic+Management&year_start=1950&year_end=2022&corpus=en&smoothing=0,"$Herramienta_Gerencial: Descriptores lógicos: $KEYWORDS. Extracción de datos: $Data_Collection_Date. Parámetros de búsqueda: corpus (inglés), marco temporal (1950-2022), Case Insensitive (desactivado), Suavizado (0). Índice: La métrica se calcula como: Frecuencia relativa = (Número de apariciones del término / Total de palabras en el corpus para el año) × 100. Refleja la proporción de apariciones de los términos respecto al total de palabras en el corpus por año. Metodología: La interpretación se centra en tendencias de frecuencia relativa, indicando cambios en la aparición, uso y relevancia de los términos en la literatura publicada. La disponibilidad de datos permite análisis diacrónico contextualizado en la evolución de la literatura y el lenguaje. Perfil de Usuarios: Refleja patrones de uso del lenguaje, tendencias académicas y de publicación, e intereses en la literatura y el conocimiento registrado en libros. Usuarios típicos: investigadores, historiadores, lingüistas y otros profesionales interesados en análisis textual y evolución del pensamiento. Limitaciones: Representatividad restringida al subconjunto de libros digitalizados por Google Books (Ngram Viewer). Sesgos hacia obras en inglés y publicaciones de grandes editoriales, subrepresentando otros idiomas y obras de menor circulación. Evolución terminológica y cambios en las convenciones de citación pueden afectar la consistencia longitudinal. Fuente: $LINK"
Google Books Ngram,Experiencia del Cliente,"Customer Satisfaction Surveys, Customer Satisfaction Measurement, Customer Relationship Management, CRM, CRM (Customer Relationship Management), Customer Experience Management",Customer Relationship Management+Customer Experience Management+Customer Satisfaction Measurement+Customer Satisfaction,https://books.google.com/ngrams/graph?content=Customer+Relationship+Management%2BCustomer+Experience+Management%2BCustomer+Satisfaction+Measurement%2BCustomer+Satisfaction&year_start=1950&year_end=2022&corpus=en&smoothing=0,"$Herramienta_Gerencial: Descriptores lógicos: $KEYWORDS. Extracción de datos: $Data_Collection_Date. Parámetros de búsqueda: corpus (inglés), marco temporal (1950-2022), Case Insensitive (desactivado), Suavizado (0). Índice: La métrica se calcula como: Frecuencia relativa = (Número de apariciones del término / Total de palabras en el corpus para el año) × 100. Refleja la proporción de apariciones de los términos respecto al total de palabras en el corpus por año. Metodología: La interpretación se centra en tendencias de frecuencia relativa, indicando cambios en la aparición, uso y relevancia de los términos en la literatura publicada. La disponibilidad de datos permite análisis diacrónico contextualizado en la evolución de la literatura y el lenguaje. Perfil de Usuarios: Refleja patrones de uso del lenguaje, tendencias académicas y de publicación, e intereses en la literatura y el conocimiento registrado en libros. Usuarios típicos: investigadores, historiadores, lingüistas y otros profesionales interesados en análisis textual y evolución del pensamiento. Limitaciones: Representatividad restringida al subconjunto de libros digitalizados por Google Books (Ngram Viewer). Sesgos hacia obras en inglés y publicaciones de grandes editoriales, subrepresentando otros idiomas y obras de menor circulación. Evolución terminológica y cambios en las convenciones de citación pueden afectar la consistencia longitudinal. Fuente: $LINK"
Google Books Ngram,Calidad Total,"Total Quality Management, TQM",Total Quality Management + TQM + Total Quality,https://books.google.com/ngrams/graph?content=Total+Quality+Management+%2B+TQM+%2B+Total+Quality&year_start=1950&year_end=2022&corpus=en&smoothing=0,"$Herramienta_Gerencial: Descriptores lógicos: $KEYWORDS. Extracción de datos: $Data_Collection_Date. Parámetros de búsqueda: corpus (inglés), marco temporal (1950-2022), Case Insensitive (desactivado), Suavizado (0). Índice: La métrica se calcula como: Frecuencia relativa = (Número de apariciones del término / Total de palabras en el corpus para el año) × 100. Refleja la proporción de apariciones de los términos respecto al total de palabras en el corpus por año. Metodología: La interpretación se centra en tendencias de frecuencia relativa, indicando cambios en la aparición, uso y relevancia de los términos en la literatura publicada. La disponibilidad de datos permite análisis diacrónico contextualizado en la evolución de la literatura y el lenguaje. Perfil de Usuarios: Refleja patrones de uso del lenguaje, tendencias académicas y de publicación, e intereses en la literatura y el conocimiento registrado en libros. Usuarios típicos: investigadores, historiadores, lingüistas y otros profesionales interesados en análisis textual y evolución del pensamiento. Limitaciones: Representatividad restringida al subconjunto de libros digitalizados por Google Books (Ngram Viewer). Sesgos hacia obras en inglés y publicaciones de grandes editoriales, subrepresentando otros idiomas y obras de menor circulación. Evolución terminológica y cambios en las convenciones de citación pueden afectar la consistencia longitudinal. Fuente: $LINK"
Google Books Ngram,Propósito y Visión,"Mission/Vision, Mission and Vision Statements, Mission & Vision Statements, Purpose, Mission, and Vision Statements",Mission Statements + Vision Statements + Purpose Statements + Mission and Vision,https://books.google.com/ngrams/graph?content=Mission+Statements+%2B+Vision+Statements+%2B+Purpose+Statements+%2B+Mission+and+Vision&year_start=1950&year_end=2022&corpus=en&smoothing=0,"$Herramienta_Gerencial: Descriptores lógicos: $KEYWORDS. Extracción de datos: $Data_Collection_Date. Parámetros de búsqueda: corpus (inglés), marco temporal (1950-2022), Case Insensitive (desactivado), Suavizado (0). Índice: La métrica se calcula como: Frecuencia relativa = (Número de apariciones del término / Total de palabras en el corpus para el año) × 100. Refleja la proporción de apariciones de los términos respecto al total de palabras en el corpus por año. Metodología: La interpretación se centra en tendencias de frecuencia relativa, indicando cambios en la aparición, uso y relevancia de los términos en la literatura publicada. La disponibilidad de datos permite análisis diacrónico contextualizado en la evolución de la literatura y el lenguaje. Perfil de Usuarios: Refleja patrones de uso del lenguaje, tendencias académicas y de publicación, e intereses en la literatura y el conocimiento registrado en libros. Usuarios típicos: investigadores, historiadores, lingüistas y otros profesionales interesados en análisis textual y evolución del pensamiento. Limitaciones: Representatividad restringida al subconjunto de libros digitalizados por Google Books (Ngram Viewer). Sesgos hacia obras en inglés y publicaciones de grandes editoriales, subrepresentando otros idiomas y obras de menor circulación. Evolución terminológica y cambios en las convenciones de citación pueden afectar la consistencia longitudinal. Fuente: $LINK"
Google Books Ngram,Benchmarking,Benchmarking,Benchmarking,https://books.google.com/ngrams/graph?content=Benchmarking&year_start=1950&year_end=2022&corpus=en&smoothing=0,"$Herramienta_Gerencial: Descriptores lógicos: $KEYWORDS. Extracción de datos: $Data_Collection_Date. Parámetros de búsqueda: corpus (inglés), marco temporal (1950-2022), Case Insensitive (desactivado), Suavizado (0). Índice: La métrica se calcula como: Frecuencia relativa = (Número de apariciones del término / Total de palabras en el corpus para el año) × 100. Refleja la proporción de apariciones de los términos respecto al total de palabras en el corpus por año. Metodología: La interpretación se centra en tendencias de frecuencia relativa, indicando cambios en la aparición, uso y relevancia de los términos en la literatura publicada. La disponibilidad de datos permite análisis diacrónico contextualizado en la evolución de la literatura y el lenguaje. Perfil de Usuarios: Refleja patrones de uso del lenguaje, tendencias académicas y de publicación, e intereses en la literatura y el conocimiento registrado en libros. Usuarios típicos: investigadores, historiadores, lingüistas y otros profesionales interesados en análisis textual y evolución del pensamiento. Limitaciones: Representatividad restringida al subconjunto de libros digitalizados por Google Books (Ngram Viewer). Sesgos hacia obras en inglés y publicaciones de grandes editoriales, subrepresentando otros idiomas y obras de menor circulación. Evolución terminológica y cambios en las convenciones de citación pueden afectar la consistencia longitudinal. Fuente: $LINK"
Google Books Ngram,Competencias Centrales,Core Competencies,Core Competencies + Core Competence,https://books.google.com/ngrams/graph?content=Core+Competencies+%2B+Core+Competence&year_start=1950&year_end=2022&corpus=en&smoothing=0 ,"$Herramienta_Gerencial: Descriptores lógicos: $KEYWORDS. Extracción de datos: $Data_Collection_Date. Parámetros de búsqueda: corpus (inglés), marco temporal (1950-2022), Case Insensitive (desactivado), Suavizado (0). Índice: La métrica se calcula como: Frecuencia relativa = (Número de apariciones del término / Total de palabras en el corpus para el año) × 100. Refleja la proporción de apariciones de los términos respecto al total de palabras en el corpus por año. Metodología: La interpretación se centra en tendencias de frecuencia relativa, indicando cambios en la aparición, uso y relevancia de los términos en la literatura publicada. La disponibilidad de datos permite análisis diacrónico contextualizado en la evolución de la literatura y el lenguaje. Perfil de Usuarios: Refleja patrones de uso del lenguaje, tendencias académicas y de publicación, e intereses en la literatura y el conocimiento registrado en libros. Usuarios típicos: investigadores, historiadores, lingüistas y otros profesionales interesados en análisis textual y evolución del pensamiento. Limitaciones: Representatividad restringida al subconjunto de libros digitalizados por Google Books (Ngram Viewer). Sesgos hacia obras en inglés y publicaciones de grandes editoriales, subrepresentando otros idiomas y obras de menor circulación. Evolución terminológica y cambios en las convenciones de citación pueden afectar la consistencia longitudinal. Fuente: $LINK"
Google Books Ngram,Cuadro de Mando Integral,Balanced Scorecard,Balanced Scorecard,https://books.google.com/ngrams/graph?content=Balanced+Scorecard&year_start=1950&year_end=2022&corpus=en&smoothing=0 ,"$Herramienta_Gerencial: Descriptores lógicos: $KEYWORDS. Extracción de datos: $Data_Collection_Date. Parámetros de búsqueda: corpus (inglés), marco temporal (1950-2022), Case Insensitive (desactivado), Suavizado (0). Índice: La métrica se calcula como: Frecuencia relativa = (Número de apariciones del término / Total de palabras en el corpus para el año) × 100. Refleja la proporción de apariciones de los términos respecto al total de palabras en el corpus por año. Metodología: La interpretación se centra en tendencias de frecuencia relativa, indicando cambios en la aparición, uso y relevancia de los términos en la literatura publicada. La disponibilidad de datos permite análisis diacrónico contextualizado en la evolución de la literatura y el lenguaje. Perfil de Usuarios: Refleja patrones de uso del lenguaje, tendencias académicas y de publicación, e intereses en la literatura y el conocimiento registrado en libros. Usuarios típicos: investigadores, historiadores, lingüistas y otros profesionales interesados en análisis textual y evolución del pensamiento. Limitaciones: Representatividad restringida al subconjunto de libros digitalizados por Google Books (Ngram Viewer). Sesgos hacia obras en inglés y publicaciones de grandes editoriales, subrepresentando otros idiomas y obras de menor circulación. Evolución terminológica y cambios en las convenciones de citación pueden afectar la consistencia longitudinal. Fuente: $LINK"
