Fecha,Hora,Provider,Model_Short,Model_Full,Tokens_Input,Tokens_Output,Total_Input,Total_Output,Total_Transaction
2025-07-15,19:11:55,Gemini,pro,gemini-2.5-pro,72923,11189,0.182308,0.167835,0.350143
2025-07-15,19:14:02,Gemini,pro,gemini-2.5-pro,30676,11193,0.076690,0.167895,0.244585
2025-07-15,19:15:48,Gemini,pro,gemini-2.5-pro,218014,5515,0.545035,0.082725,0.627760
2025-07-15,19:17:19,Gemini,pro,gemini-2.5-pro,25002,5515,0.062505,0.082725,0.145230
2025-07-15,19:19:00,Gemini,pro,gemini-2.5-pro,126535,4549,0.316338,0.068235,0.384573
2025-07-15,19:20:25,Gemini,pro,gemini-2.5-pro,24036,4548,0.060090,0.068220,0.128310
2025-07-15,19:21:35,Gemini,pro,gemini-2.5-pro,44392,2320,0.110980,0.034800,0.145780
2025-07-15,19:22:21,Gemini,pro,gemini-2.5-pro,21807,2320,0.054517,0.034800,0.089317
2025-07-15,19:22:45,Gemini,pro,gemini-2.5-pro,43197,367,0.107992,0.005505,0.113497
2025-07-15,19:23:20,Gemini,pro,gemini-2.5-pro,510,373,0.001275,0.005595,0.006870
2025-07-15,20:07:41,Gemini,pro,gemini-2.5-pro,72262,10004,0.090328,0.100040,0.190368
2025-07-15,20:09:48,Gemini,pro,gemini-2.5-pro,29491,10018,0.036864,0.100180,0.137044
2025-07-15,20:12:02,Gemini,pro,gemini-2.5-pro,216669,6485,0.541673,0.097275,0.638948
2025-07-15,20:13:29,Gemini,pro,gemini-2.5-pro,25972,6485,0.032465,0.064850,0.097315
2025-07-15,20:15:06,Gemini,pro,gemini-2.5-pro,126568,4863,0.158210,0.048630,0.206840
2025-07-15,20:16:23,Gemini,pro,gemini-2.5-pro,24350,4860,0.030437,0.048600,0.079037
2025-07-15,20:17:42,Gemini,pro,gemini-2.5-pro,44491,2813,0.055614,0.028130,0.083744
2025-07-15,20:18:32,Gemini,pro,gemini-2.5-pro,22300,2813,0.027875,0.028130,0.056005
2025-07-15,20:19:15,Gemini,pro,gemini-2.5-pro,43791,311,0.054739,0.003110,0.057849
2025-07-15,20:19:53,Gemini,pro,gemini-2.5-pro,454,427,0.000567,0.004270,0.004838
2025-08-11,19:38:41,Gemini,pro,gemini-2.5-pro,68203,11400,0.085254,0.114000,0.199254
2025-08-11,20:11:04,Gemini,pro,gemini-2.5-pro,68203,10638,0.085254,0.106380,0.191634
2025-08-11,20:13:23,Gemini,pro,gemini-2.5-pro,30173,10616,0.037716,0.106160,0.143876
2025-08-11,20:15:18,Gemini,pro,gemini-2.5-pro,204177,6803,0.510443,0.102045,0.612488
2025-08-11,20:16:53,Gemini,pro,gemini-2.5-pro,26338,6736,0.032923,0.067360,0.100282
2025-08-11,20:18:30,Gemini,pro,gemini-2.5-pro,125048,5131,0.156310,0.051310,0.207620
2025-08-11,20:19:49,Gemini,pro,gemini-2.5-pro,24666,5090,0.030832,0.050900,0.081732
2025-08-11,20:21:02,Gemini,pro,gemini-2.5-pro,45759,2746,0.057199,0.027460,0.084659
2025-08-11,20:22:23,Gemini,pro,gemini-2.5-pro,22281,2714,0.027851,0.027140,0.054991
2025-08-11,20:22:53,Gemini,pro,gemini-2.5-pro,44992,337,0.056240,0.003370,0.059610
2025-08-11,20:23:32,Gemini,pro,gemini-2.5-pro,480,456,0.000600,0.004560,0.005160
2025-08-11,20:26:50,Gemini,pro,gemini-2.5-pro,70107,9716,0.087634,0.097160,0.184794
