Fecha,Hora,Tokens_Input,Tokens_Output,Total_Input,Total_Output,Total_Transaction
2025-07-15,19:11:55,72923,11189,0.182308,0.167835,0.350143
2025-07-15,19:14:02,30676,11193,0.076690,0.167895,0.244585
2025-07-15,19:15:48,218014,5515,0.545035,0.082725,0.627760
2025-07-15,19:17:19,25002,5515,0.062505,0.082725,0.145230
2025-07-15,19:19:00,126535,4549,0.316338,0.068235,0.384573
2025-07-15,19:20:25,24036,4548,0.060090,0.068220,0.128310
2025-07-15,19:21:35,44392,2320,0.110980,0.034800,0.145780
2025-07-15,19:22:21,21807,2320,0.054517,0.034800,0.089317
2025-07-15,19:22:45,43197,367,0.107992,0.005505,0.113497
2025-07-15,19:23:20,510,373,0.001275,0.005595,0.006870
2025-07-15,20:07:41,72262,10004,0.090328,0.100040,0.190368
2025-07-15,20:09:48,29491,10018,0.036864,0.100180,0.137044
2025-07-15,20:12:02,216669,6485,0.541673,0.097275,0.638948
2025-07-15,20:13:29,25972,6485,0.032465,0.064850,0.097315
2025-07-15,20:15:06,126568,4863,0.158210,0.048630,0.206840
2025-07-15,20:16:23,24350,4860,0.030437,0.048600,0.079037
2025-07-15,20:17:42,44491,2813,0.055614,0.028130,0.083744
2025-07-15,20:18:32,22300,2813,0.027875,0.028130,0.056005
2025-07-15,20:19:15,43791,311,0.054739,0.003110,0.057849
2025-07-15,20:19:53,454,427,0.000567,0.004270,0.004838
2025-08-11,19:38:41,68203,11400,0.085254,0.114000,0.199254
2025-08-11,20:11:04,68203,10638,0.085254,0.106380,0.191634
2025-08-11,20:13:23,30173,10616,0.037716,0.106160,0.143876
2025-08-11,20:15:18,204177,6803,0.510443,0.102045,0.612488
2025-08-11,20:16:53,26338,6736,0.032923,0.067360,0.100282
2025-08-11,20:18:30,125048,5131,0.156310,0.051310,0.207620
2025-08-11,20:19:49,24666,5090,0.030832,0.050900,0.081732
2025-08-11,20:21:02,45759,2746,0.057199,0.027460,0.084659
2025-08-11,20:22:23,22281,2714,0.027851,0.027140,0.054991
2025-08-11,20:22:53,44992,337,0.056240,0.003370,0.059610
2025-08-11,20:23:32,480,456,0.000600,0.004560,0.005160
2025-08-11,20:26:50,70107,9716,0.087634,0.097160,0.184794
2025-08-11,20:28:59,29251,9687,0.036564,0.096870,0.133434
2025-08-11,20:30:39,211857,5706,0.529643,0.085590,0.615233
2025-08-11,20:32:18,25241,5569,0.031551,0.055690,0.087241
2025-08-11,20:33:56,125148,4784,0.156435,0.047840,0.204275
2025-08-11,20:35:18,24319,4784,0.030399,0.047840,0.078239
2025-08-11,20:36:22,43393,2142,0.054241,0.021420,0.075661
2025-08-11,20:37:12,21677,2142,0.027096,0.021420,0.048516
2025-08-11,20:37:40,42022,335,0.052527,0.003350,0.055877
2025-08-11,20:38:38,478,440,0.000598,0.004400,0.004998
2025-08-11,20:42:00,72863,9884,0.091079,0.098840,0.189919
2025-08-11,20:44:07,29419,9859,0.036774,0.098590,0.135364
2025-08-11,20:45:47,217713,5217,0.544283,0.078255,0.622537
2025-08-11,20:47:14,24752,5218,0.030940,0.052180,0.083120
2025-08-11,20:48:58,125015,4895,0.156269,0.048950,0.205219
2025-08-11,20:50:21,24430,4910,0.030538,0.049100,0.079637
2025-08-11,20:51:36,43183,2619,0.053979,0.026190,0.080169
2025-08-11,20:52:40,22154,2626,0.027693,0.026260,0.053953
2025-08-11,20:53:05,42289,326,0.052861,0.003260,0.056121
2025-08-11,20:53:55,469,445,0.000586,0.004450,0.005036
2025-08-11,20:57:30,71869,11590,0.089836,0.115900,0.205736
2025-08-11,20:59:38,31125,11393,0.038906,0.113930,0.152836
2025-08-11,21:01:17,215330,5250,0.538325,0.078750,0.617075
2025-08-11,21:02:33,24785,5257,0.030981,0.052570,0.083551
2025-08-11,21:04:20,125048,4154,0.156310,0.041540,0.197850
2025-08-11,21:05:31,23689,4121,0.029611,0.041210,0.070821
2025-08-11,21:06:42,44181,2364,0.055226,0.023640,0.078866
2025-08-11,21:08:24,21899,2366,0.027374,0.023660,0.051034
2025-08-11,21:08:49,43032,312,0.053790,0.003120,0.056910
2025-08-11,21:09:30,455,408,0.000569,0.004080,0.004649
2025-08-11,21:12:54,80444,10941,0.100555,0.109410,0.209965
2025-08-11,21:15:05,30476,10892,0.038095,0.108920,0.147015
2025-08-11,21:18:09,70873,10155,0.088591,0.101550,0.190141
2025-08-11,21:20:21,29690,10151,0.037112,0.101510,0.138623
2025-08-11,21:22:10,210825,5359,0.527062,0.080385,0.607448
2025-08-11,21:23:31,24894,5365,0.031117,0.053650,0.084767
2025-08-11,21:25:14,124949,4853,0.156186,0.048530,0.204716
2025-08-11,21:26:27,24388,4860,0.030485,0.048600,0.079085
2025-08-11,21:27:48,43554,3221,0.054443,0.032210,0.086653
2025-08-11,21:28:56,22756,3221,0.028445,0.032210,0.060655
2025-08-11,21:29:26,43262,375,0.054078,0.003750,0.057828
2025-08-11,21:30:28,518,496,0.000648,0.004960,0.005607
2025-08-11,21:33:37,72143,9690,0.090179,0.096900,0.187079
2025-08-11,21:35:38,29225,9658,0.036531,0.096580,0.133111
2025-08-11,21:37:34,215663,5716,0.539157,0.085740,0.624897
2025-08-11,21:39:17,25251,5653,0.031564,0.056530,0.088094
2025-08-11,21:40:58,125015,4123,0.156269,0.041230,0.197499
2025-08-11,21:42:21,23658,4119,0.029572,0.041190,0.070763
2025-08-11,21:43:31,42716,2717,0.053395,0.027170,0.080565
2025-08-11,21:44:56,22252,2721,0.027815,0.027210,0.055025
